Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT2G02130,3.76,0,0,4
AT3G59370,3.69,5.4212E-268,1.0039E-263,4
AT1G75750,3.00,0,0,4
AT4G11210,2.77,0,0,4
AT4G34050,2.74,3.5755E-277,6.6211E-273,4
AT4G14130,2.57,0,0,4
AT2G37040,2.48,5.5898E-214,1.0351E-209,4
AT1G62380,2.30,0,0,4
AT2G45470,2.28,0,0,4
AT3G21770,2.23,5.7827E-272,1.0708E-267,4
AT1G62480,2.20,1.0596E-265,1.9621E-261,4
AT2G18800,2.15,2.2029E-261,4.0794E-257,4
AT4G22212,2.10,0,0,4
AT2G13820,2.03,7.4271E-257,1.3753E-252,4
AT1G55330,1.89,1.977E-204,3.661E-200,4
AT4G39675,1.89,3.82831E-91,7.08926E-87,4
AT4G14010,1.85,6.4685E-307,1.1978E-302,4
AT3G53980,1.83,4.03668E-61,7.47513E-57,4
AT3G19450,1.82,3.0937E-205,5.7289E-201,4
AT3G49780,1.79,8.24322E-64,1.52648E-59,4
AT5G59090,1.72,8.1944E-141,1.5174E-136,4
AT3G53420,1.72,4.3006E-245,7.9638E-241,4
AT1G52760,1.70,2.5519E-269,4.7256E-265,4
AT1G32100,1.68,5.3441E-178,9.8963E-174,4
AT1G26450,1.68,5.964E-157,1.1044E-152,4
AT1G72430,1.63,6.6077E-232,1.2236E-227,4
AT5G19875,1.63,2.0553E-227,3.806E-223,4
AT3G03780,1.59,2.0642E-219,3.8224E-215,4
AT2G43910,1.58,9.1822E-303,1.7004E-298,4
AT2G31085,1.57,9.822E-163,1.8188E-158,4
AT1G13670,1.56,3.0284E-273,5.608E-269,4
AT1G72230,1.55,2.19367E-68,4.06224E-64,4
AT1G64660,1.55,1.7629E-157,3.2646E-153,4
AT5G53250,1.52,6.1871E-116,1.1457E-111,4
AT2G40890,1.50,1.4497E-162,2.6846E-158,4
AT4G34230,1.50,3.7296E-187,6.9066E-183,4
AT1G77690,1.49,1.27264E-61,2.35668E-57,4
AT3G14310,1.49,2.6661E-244,4.937E-240,4
AT3G12110,1.47,4.1944E-219,7.7671E-215,4
AT4G11211,1.46,2.0175E-263,3.7361E-259,4
AT5G03610,1.45,1.0998E-295,2.0365E-291,4
AT2G44300,1.44,1.7745E-189,3.2861E-185,4
AT5G60200,1.44,9.9827E-121,1.8486E-116,4
AT4G34600,1.44,4.3804E-210,8.1117E-206,4
AT5G05790,1.43,2.6944E-245,4.9894E-241,4
AT1G48600,1.43,1.9117E-298,3.54E-294,4
AT3G11930,1.43,1.9159E-183,3.548E-179,4
AT4G18510,1.42,3.4104E-215,6.3154E-211,4
AT4G09030,1.41,6.0485E-219,1.1201E-214,4
AT5G20885,1.41,2.3324E-260,4.3192E-256,4
AT1G65960,1.41,4.2353E-248,7.843E-244,4
AT3G45700,1.41,7.8118E-233,1.4466E-228,4
AT3G18280,1.40,1.28532E-57,2.38015E-53,4
AT1G70670,1.40,3.1768E-187,5.8828E-183,4
AT4G24060,1.39,3.6649E-226,6.7867E-222,4
AT1G15950,1.39,1.8794E-273,3.4803E-269,4
AT1G72150,1.38,6.1139E-155,1.1322E-150,4
AT2G33310,1.38,2.5929E-172,4.8016E-168,4
AT3G57010,1.38,2.4424E-206,4.5229E-202,4
AT5G24800,1.38,1.7714E-139,3.2802E-135,4
AT1G51680,1.38,1.0825E-129,2.0046E-125,4
AT5G40980,1.36,2.4651E-222,4.5649E-218,4
AT5G66815,1.36,1.8761E-191,3.4742E-187,4
AT3G52920,1.36,8.1916E-187,1.5169E-182,4
AT2G46680,1.35,2.968E-112,5.4961E-108,4
AT3G03990,1.35,1.9511E-135,3.6131E-131,4
AT1G55210,1.35,1.3045E-133,2.4157E-129,4
AT1G70990,1.35,1.5805E-169,2.9268E-165,4
AT5G51780,1.34,4.7329E-186,8.7644E-182,4
AT5G19260,1.34,2.8014E-236,5.1876E-232,4
AT5G54160,1.33,9.0431E-117,1.6746E-112,4
AT1G23760,1.33,4.324E-194,8.0073E-190,4
AT2G37180,1.32,1.1227E-103,2.079E-99,4
AT5G47370,1.32,2.2034E-133,4.0803E-129,4
AT5G24760,1.31,1.7911E-248,3.3168E-244,4
AT1G22410,1.29,8.459E-262,1.5664E-257,4
AT2G30490,1.29,6.9817E-180,1.2929E-175,4
AT3G02770,1.28,7.4517E-216,1.3799E-211,4
AT1G60710,1.27,2.7389E-241,5.072E-237,4
AT4G37790,1.27,1.08223E-52,2.00408E-48,4
AT2G36830,1.26,4.0672E-162,7.5316E-158,4
AT5G48930,1.25,2.5374E-141,4.6987E-137,4
AT3G21240,1.25,1.2136E-164,2.2473E-160,4
AT5G16600,1.25,1.224E-204,2.2665E-200,4
AT5G47450,1.24,2.67116E-97,4.94646E-93,4
AT1G71880,1.23,2.185E-254,4.0462E-250,4
AT2G31083,1.22,9.94674E-51,1.84194E-46,4
AT5G18690,1.22,6.2889E-203,1.1646E-198,4
AT2G37170,1.20,5.4143E-150,1.0026E-145,4
AT5G25890,1.20,1.0618E-132,1.9663E-128,4
AT1G75500,1.19,5.9503E-115,1.1019E-110,4
AT1G76410,1.18,1.3027E-164,2.4124E-160,4
AT1G48750,1.18,1.65395E-86,3.06278E-82,4
AT3G49940,1.16,5.3732E-161,9.95E-157,4
AT2G36290,1.16,7.6883E-217,1.4237E-212,4
AT1G02500,1.16,4.6711E-172,8.65E-168,4
AT5G37660,1.16,4.9237E-100,9.11777E-96,4
AT1G04240,1.16,9.6651E-102,1.78978E-97,4
AT3G56240,1.15,7.7018E-208,1.4262E-203,4
AT5G13910,1.15,2.3299E-123,4.3146E-119,4
AT3G62690,1.14,1.7873E-159,3.3098E-155,4
AT1G80690,1.14,3.741E-238,6.9275E-234,4
AT4G22570,1.13,1.0954E-287,2.0284E-283,4
AT5G57685,1.13,2.186E-135,4.048E-131,4
AT5G37540,1.13,7.75908E-74,1.43683E-69,4
AT3G05900,1.13,6.4714E-153,1.1984E-148,4
AT3G55370,1.12,6.2016E-228,1.1484E-223,4
AT2G46890,1.12,9.2089E-213,1.7053E-208,4
AT1G74660,1.11,4.5453E-140,8.417E-136,4
AT3G12090,1.11,3.4263E-298,6.3448E-294,4
AT2G44160,1.11,5.6468E-252,1.0457E-247,4
AT4G02590,1.11,3.0537E-117,5.6549E-113,4
AT5G08350,1.10,1.3216E-118,2.4474E-114,4
AT2G36410,1.10,4.4061E-177,8.1592E-173,4
AT1G69295,1.09,5.8836E-152,1.0895E-147,4
AT2G30520,1.09,6.3114E-149,1.1687E-144,4
AT4G33550,1.08,1.85257E-67,3.43059E-63,4
AT4G29100,1.08,1.2048E-252,2.231E-248,4
AT4G16980,1.08,1.7393E-174,3.2209E-170,4
AT1G78090,1.08,2.637E-214,4.8833E-210,4
AT5G14340,1.08,3.7289E-191,6.9051E-187,4
AT1G67360,1.06,5.6356E-128,1.0436E-123,4
AT5G24580,1.06,1.25597E-98,2.3258E-94,4
AT5G04080,1.05,5.69488E-83,1.05458E-78,4
AT2G38310,1.04,4.8398E-145,8.9624E-141,4
AT1G01620,1.04,2.1098E-218,3.9069E-214,4
AT3G10340,1.04,8.1141E-124,1.5026E-119,4
AT4G28290,1.03,8.30244E-72,1.53745E-67,4
AT5G66440,1.02,5.2651E-152,9.75E-148,4
AT3G14780,1.02,6.067E-120,1.1235E-115,4
AT3G53260,1.02,2.0045E-130,3.712E-126,4
AT4G17220,1.02,1.0211E-123,1.8909E-119,4
AT3G55420,1.01,1.4984E-206,2.7748E-202,4
AT4G15340,1.01,1.828E-112,3.3851E-108,4
AT3G23090,1.01,1.57517E-95,2.91689E-91,4
AT1G11740,1.01,6.4658E-129,1.1973E-124,4
AT3G22840,1.01,9.41891E-90,1.74419E-85,4
AT2G44790,1.00,6.8946E-167,1.2767E-162,4
AT1G11580,1.00,5.1137E-115,9.4695E-111,4
AT5G05690,1.00,2.3616E-167,4.3732E-163,4
AT1G77020,1.00,1.1726E-223,2.1714E-219,4
AT5G07030,0.99,1.7952E-122,3.3243E-118,4
AT2G26730,0.99,3.0855E-160,5.7137E-156,4
AT2G44940,0.99,2.14108E-92,3.96485E-88,4
AT5G19120,0.99,2.60517E-72,4.82425E-68,4
AT2G41130,0.99,4.2839E-157,7.9329E-153,4
AT5G65660,0.99,6.57086E-57,1.21679E-52,4
AT1G70940,0.98,3.1505E-168,5.8342E-164,4
AT1G18880,0.98,7.6718E-229,1.4207E-224,4
AT1G78110,0.98,2.0743E-187,3.8411E-183,4
AT5G09440,0.97,5.44604E-66,1.0085E-61,4
AT2G45820,0.97,6.9949E-168,1.2953E-163,4
AT5G54980,0.97,1.3218E-169,2.4477E-165,4
AT1G24130,0.97,2.0744E-111,3.8414E-107,4
AT2G36880,0.97,6.4219E-116,1.1892E-111,4
AT1G22530,0.97,1.4799E-149,2.7406E-145,4
AT5G23360,0.96,2.1057E-146,3.8994E-142,4
AT5G43180,0.96,1.58104E-62,2.92778E-58,4
AT1G07640,0.95,6.0422E-127,1.1189E-122,4
AT3G14990,0.95,3.05865E-94,5.66401E-90,4
AT1G44800,0.94,1.82497E-95,3.37948E-91,4
AT1G10380,0.94,1.1682E-127,2.1633E-123,4
AT1G33470,0.94,5.0672E-162,9.3835E-158,4
AT5G57770,0.94,1.95217E-82,3.61502E-78,4
AT5G37550,0.93,5.8951E-178,1.0916E-173,4
AT5G40450,0.93,3.0335E-140,5.6175E-136,4
AT3G17609,0.93,2.5445E-139,4.7119E-135,4
AT3G61060,0.93,5.15399E-49,9.54416E-45,4
AT4G27260,0.93,3.42017E-63,6.33348E-59,4
AT3G23800,0.92,4.92164E-87,9.1139E-83,4
AT2G30930,0.92,3.43695E-85,6.36454E-81,4
AT3G25710,0.92,4.51714E-79,8.36484E-75,4
AT2G05830,0.92,7.0083E-253,1.2978E-248,4
AT5G21105,0.92,9.147E-148,1.6938E-143,4
AT3G12830,0.92,6.239E-116,1.1553E-111,4
AT1G27130,0.92,7.454E-214,1.3803E-209,4
AT3G16570,0.91,9.4341E-135,1.747E-130,4
AT4G13930,0.90,1.0559E-101,1.95528E-97,4
AT1G29050,0.90,2.4991E-114,4.6279E-110,4
AT2G45290,0.90,1.666E-170,3.0851E-166,4
AT1G66190,0.90,7.9714E-195,1.4762E-190,4
AT4G27410,0.90,1.37715E-59,2.55021E-55,4
AT1G63180,0.89,3.1631E-105,5.8575E-101,4
AT1G22230,0.89,4.6487E-159,8.6084E-155,4
AT5G10430,0.89,4.89436E-53,9.06338E-49,4
AT5G23370,0.89,5.8789E-133,1.0887E-128,4
AT1G61660,0.88,4.9238E-102,9.11784E-98,4
AT1G48850,0.88,5.9762E-177,1.1067E-172,4
AT4G30460,0.88,2.28591E-18,4.23304E-14,4
AT3G26610,0.88,4.6401E-130,8.5925E-126,4
AT3G47510,0.87,1.18202E-78,2.18887E-74,4
AT5G46730,0.87,5.5448E-157,1.0268E-152,4
AT4G31110,0.87,4.4083E-226,8.1633E-222,4
AT1G66180,0.87,1.19267E-50,2.20859E-46,4
AT2G46600,0.87,8.48564E-83,1.57137E-78,4
AT3G51950,0.86,6.3436E-167,1.1747E-162,4
AT5G62070,0.86,9.7918E-85,1.81324E-80,4
AT3G06590,0.86,1.4069E-120,2.6053E-116,4
AT1G09970,0.86,2.57543E-55,4.76918E-51,4
AT5G28080,0.85,5.1599E-210,9.5551E-206,4
AT5G65670,0.85,2.9176E-137,5.4029E-133,4
AT4G29905,0.85,2.69297E-28,4.98685E-24,4
AT1G49310,0.85,1.16009E-98,2.14826E-94,4
AT5G47920,0.85,2.73082E-88,5.05693E-84,4
AT5G40730,0.84,8.9613E-107,1.6595E-102,4
AT4G27450,0.84,7.255E-107,1.3435E-102,4
AT2G04800,0.84,1.0607E-124,1.9643E-120,4
AT1G06550,0.84,7.6396E-120,1.4147E-115,4
AT1G63420,0.84,8.1353E-137,1.5065E-132,4
AT2G32720,0.83,1.4447E-174,2.6753E-170,4
AT4G30960,0.83,2.43615E-63,4.51126E-59,4
AT2G18196,0.83,3.6842E-111,6.8224E-107,4
