Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT4G12545,2.05,2.51045E-91,4.64885E-87,3
AT2G33790,1.87,2.3303E-162,4.3152E-158,3
AT2G37130,1.85,1.5226E-155,2.8196E-151,3
AT1G70850,1.70,3.723E-128,6.8943E-124,3
AT4G19030,1.49,1.664E-178,3.0814E-174,3
AT4G12550,1.38,4.22654E-38,7.82671E-34,3
AT1G65310,1.34,2.3032E-100,4.26507E-96,3
AT4G22230,1.32,3.186E-282,5.8997E-278,3
AT3G08030,1.30,9.0521E-263,1.6763E-258,3
AT5G44585,1.28,1.6947E-262,3.1382E-258,3
AT4G12880,1.13,1.0313E-184,1.9098E-180,3
AT1G27950,1.10,2.8835E-203,5.3397E-199,3
AT1G54890,1.06,9.9771E-209,1.8476E-204,3
AT3G16400,1.06,2.9856E-151,5.5287E-147,3
AT3G26520,1.03,3.42027E-98,6.33365E-94,3
AT1G14960,1.02,5.83926E-48,1.08131E-43,3
AT4G38740,1.02,1.331E-158,2.4647E-154,3
AT4G22666,1.00,5.5275E-38,1.02358E-33,3
AT1G04040,0.98,1.03012E-78,1.90758E-74,3
AT1G41830,0.98,1.3288E-160,2.4606E-156,3
AT1G63220,0.94,2.8543E-143,5.2855E-139,3
AT5G64100,0.93,4.8259E-15,8.93659E-11,3
AT3G09260,0.92,3.0504E-191,5.6487E-187,3
AT2G39530,0.92,1.74448E-34,3.23042E-30,3
AT4G31470,0.92,1.6979E-27,3.14417E-23,3
AT2G18980,0.91,9.8352E-95,1.82128E-90,3
AT1G20010,0.90,3.8138E-162,7.0623E-158,3
AT4G22235,0.90,7.9563E-179,1.4734E-174,3
AT3G29250,0.89,3.4998E-162,6.481E-158,3
AT4G03190,0.89,4.2789E-176,7.9237E-172,3
AT1G75780,0.88,6.0607E-121,1.1223E-116,3
AT2G43150,0.87,3.02286E-87,5.59773E-83,3
AT3G60530,0.86,5.0538E-109,9.3586E-105,3
AT2G25810,0.86,5.36784E-81,9.94017E-77,3
AT3G44300,0.84,2.8362E-114,5.2521E-110,3
AT4G22010,0.84,1.0603E-148,1.9635E-144,3
AT5G39320,0.84,1.0051E-139,1.8612E-135,3
AT1G73260,0.83,1.59452E-72,2.95272E-68,3
AT1G47128,0.83,3.39179E-74,6.28091E-70,3
AT4G25250,0.83,2.2734E-116,4.2099E-112,3
AT4G22930,0.80,3.3706E-167,6.2417E-163,3
AT5G63800,0.80,3.2393E-206,5.9986E-202,3
AT3G01220,0.80,8.9715E-121,1.6613E-116,3
AT3G01190,0.79,3.49059E-23,6.46387E-19,3
AT4G34260,0.79,8.9252E-115,1.6528E-110,3
AT2G21045,0.77,3.13298E-74,5.80165E-70,3
AT1G78040,0.76,5.339E-186,9.8869E-182,3
AT2G30930,0.76,1.72101E-20,3.18697E-16,3
AT4G34720,0.76,5.2828E-134,9.7826E-130,3
AT4G30190,0.75,6.70913E-60,1.2424E-55,3
AT4G00430,0.75,7.20609E-41,1.33442E-36,3
