Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT5G02380,1.46,2.5534E-115,4.7284E-111,6
AT4G29690,1.46,7.4882E-224,1.3867E-219,6
AT2G43535,1.45,1.598E-200,2.9592E-196,6
AT2G43480,1.41,2.2739E-227,4.2107E-223,6
AT5G62340,1.29,4.2091E-138,7.7945E-134,6
AT3G57950,1.13,4.5625E-153,8.4489E-149,6
AT1G78520,1.13,1.2289E-159,2.2757E-155,6
AT1G33750,1.10,5.2992E-161,9.8131E-157,6
AT3G14530,1.07,2.1319E-166,3.9478E-162,6
AT4G24275,1.05,2.89E-135,5.3517E-131,6
AT2G25980,1.05,1.93E-139,3.574E-135,6
AT2G40470,0.99,2.7767E-120,5.1419E-116,6
AT1G36060,0.94,3.04039E-91,5.63019E-87,6
AT5G12940,0.93,6.707E-120,1.242E-115,6
AT5G07040,0.92,3.8957E-136,7.214E-132,6
AT1G54000,0.92,3.2461E-118,6.0111E-114,6
AT1G10530,0.91,4.23937E-80,7.85047E-76,6
AT1G56680,0.90,2.69218E-81,4.98538E-77,6
AT5G56320,0.86,2.3682E-58,4.38544E-54,6
AT3G09260,0.85,8.7067E-147,1.6123E-142,6
AT2G39210,0.85,3.7855E-112,7.0099E-108,6
AT5G54470,0.83,2.9985E-108,5.5527E-104,6
AT2G40475,0.82,1.2889E-114,2.3869E-110,6
AT1G54030,0.82,2.0805E-111,3.8526E-107,6
AT1G68560,0.81,1.1601E-124,2.1483E-120,6
AT4G08950,0.81,2.37733E-71,4.40234E-67,6
AT3G48000,0.80,1.6176E-124,2.9954E-120,6
AT1G06980,0.80,8.4827E-61,1.57083E-56,6
AT1G06040,0.77,5.1741E-108,9.5814E-104,6
AT4G39840,0.76,2.0291E-107,3.7574E-103,6
AT4G23750,0.76,2.0716E-86,3.83619E-82,6
AT4G15390,0.75,2.45283E-53,4.54215E-49,6
AT5G47990,0.73,6.45917E-79,1.19611E-74,6
AT5G14750,0.73,3.90466E-80,7.23065E-76,6
AT2G39700,0.73,2.67645E-61,4.95625E-57,6
AT5G39820,0.73,3.1436E-101,5.82141E-97,6
AT1G32640,0.72,4.836E-105,8.9553E-101,6
AT5G66690,0.72,3.34685E-78,6.1977E-74,6
AT3G60900,0.72,4.69105E-94,8.68689E-90,6
AT3G14510,0.71,2.2561E-103,4.1778E-99,6
AT1G26870,0.71,4.9652E-111,9.1945E-107,6
AT4G32890,0.70,7.30986E-86,1.35364E-81,6
AT4G16140,0.70,1.0197E-87,1.88828E-83,6
AT1G11670,0.68,3.00868E-87,5.57148E-83,6
AT5G66170,0.68,4.613E-64,8.54235E-60,6
AT1G77200,0.67,3.44442E-87,6.37838E-83,6
AT2G24570,0.67,7.63876E-75,1.41454E-70,6
AT5G57090,0.66,3.78224E-79,7.00395E-75,6
AT3G16450,0.65,2.81592E-72,5.21452E-68,6
AT5G19520,0.65,3.34892E-73,6.20154E-69,6
AT5G19160,0.65,1.3418E-109,2.4847E-105,6
AT2G41070,0.65,3.21888E-75,5.96073E-71,6
AT5G17520,0.64,1.20338E-85,2.22843E-81,6
AT3G48100,0.64,4.13671E-57,7.66035E-53,6
AT4G21960,0.64,1.3635E-60,2.52492E-56,6
AT5G45920,0.63,1.8766E-80,3.47509E-76,6
AT5G22630,0.62,3.28362E-50,6.08061E-46,6
AT2G47130,0.62,1.39796E-71,2.58875E-67,6
AT1G30550,0.62,4.52437E-85,8.37823E-81,6
AT4G00820,0.62,4.2724E-87,7.91162E-83,6
AT4G38430,0.62,2.77002E-89,5.12952E-85,6
AT1G67030,0.61,2.80401E-53,5.19247E-49,6
AT1G74840,0.61,1.2128E-63,2.24586E-59,6
AT3G14990,0.61,1.77244E-39,3.28221E-35,6
AT3G52870,0.61,2.68129E-44,4.96522E-40,6
AT5G48500,0.60,9.43432E-67,1.74705E-62,6
AT4G15248,0.60,2.56125E-63,4.74292E-59,6
AT2G41650,0.59,1.26152E-69,2.33609E-65,6
AT2G45430,0.58,6.18409E-78,1.14517E-73,6
AT1G69526,0.58,8.96245E-62,1.65967E-57,6
AT2G18230,0.58,1.56362E-67,2.89551E-63,6
AT4G35030,0.57,1.12753E-91,2.08797E-87,6
AT5G66800,0.57,5.13821E-62,9.51493E-58,6
AT2G28760,0.57,1.60582E-74,2.97366E-70,6
AT2G28900,0.56,1.86718E-34,3.45765E-30,6
AT1G01300,0.56,1.11705E-67,2.06855E-63,6
AT3G62630,0.56,4.94137E-72,9.15043E-68,6
AT1G32190,0.56,5.31298E-73,9.83858E-69,6
AT1G28290,0.55,3.97875E-68,7.36785E-64,6
AT5G08590,0.55,4.17394E-80,7.7293E-76,6
AT5G62180,0.55,2.48422E-52,4.60029E-48,6
AT4G16141,0.55,1.3708E-47,2.53844E-43,6
AT4G17460,0.55,3.08939E-40,5.72094E-36,6
AT4G00770,0.54,1.24924E-73,2.31334E-69,6
AT2G16500,0.54,4.28533E-55,7.93558E-51,6
AT2G23050,0.54,8.84999E-48,1.63884E-43,6
AT2G24300,0.54,2.01223E-66,3.72624E-62,6
AT4G26760,0.54,4.03818E-74,7.47789E-70,6
AT5G14690,0.53,2.45472E-59,4.54565E-55,6
AT3G55760,0.53,3.45569E-69,6.39924E-65,6
AT5G15950,0.52,1.98326E-28,3.6726E-24,6
AT3G10940,0.52,9.38441E-69,1.73781E-64,6
AT2G21060,0.52,1.95503E-68,3.62033E-64,6
AT5G48110,0.52,8.89261E-53,1.64673E-48,6
AT4G33800,0.52,3.73601E-51,6.91834E-47,6
AT3G10780,0.51,3.70608E-44,6.86292E-40,6
AT1G66270,0.51,1.64634E-53,3.04869E-49,6
AT1G76790,0.51,2.47102E-44,4.57584E-40,6
AT1G56280,0.50,9.39903E-41,1.74051E-36,6
AT1G70550,0.50,1.06362E-60,1.96962E-56,6
AT5G21020,0.50,6.48299E-29,1.20052E-24,6
AT5G13870,0.49,3.62352E-20,6.71003E-16,6
AT2G24790,0.49,4.09175E-62,7.57711E-58,6
AT3G24520,0.49,4.01348E-31,7.43217E-27,6
AT2G45050,0.49,1.65528E-35,3.06525E-31,6
AT1G44180,0.49,1.14688E-72,2.12379E-68,6
AT5G14800,0.49,1.32919E-55,2.4614E-51,6
AT1G15170,0.49,6.96213E-62,1.28925E-57,6
AT4G30080,0.48,2.96124E-54,5.48363E-50,6
AT1G70000,0.48,1.02946E-45,1.90635E-41,6
AT2G34170,0.48,9.60556E-69,1.77876E-64,6
AT2G23810,0.48,6.32365E-26,1.17101E-21,6
AT3G44735,0.48,1.51334E-41,2.80241E-37,6
AT1G30440,0.48,2.64005E-55,4.88884E-51,6
AT2G34020,0.48,1.80046E-51,3.3341E-47,6
AT5G26290,0.48,5.82578E-41,1.07882E-36,6
AT2G20515,0.48,1.44054E-47,2.6676E-43,6
AT4G21910,0.48,2.90373E-54,5.37713E-50,6
AT1G29340,0.48,4.49797E-40,8.32934E-36,6
AT3G22930,0.48,1.56878E-47,2.90508E-43,6
AT1G15500,0.47,4.59295E-40,8.50523E-36,6
AT2G12646,0.47,1.76182E-39,3.26253E-35,6
AT5G09590,0.47,6.08886E-33,1.12753E-28,6
AT4G18335,0.47,2.80289E-70,5.19038E-66,6
AT4G16670,0.47,4.91686E-55,9.10504E-51,6
AT4G32870,0.46,6.69976E-37,1.24066E-32,6
AT5G02500,0.46,1.76794E-72,3.27387E-68,6
AT5G18170,0.46,1.1857E-31,2.19568E-27,6
AT1G69700,0.46,3.35024E-45,6.20397E-41,6
AT1G76340,0.46,5.78494E-57,1.07126E-52,6
AT2G22770,0.45,1.05555E-48,1.95466E-44,6
AT1G74500,0.45,2.13351E-35,3.95084E-31,6
AT4G18030,0.45,2.61811E-43,4.84822E-39,6
AT5G59450,0.45,5.46966E-40,1.01287E-35,6
AT5G20950,0.45,5.52893E-42,1.02385E-37,6
AT3G20590,0.45,3.33587E-52,6.17736E-48,6
AT5G26670,0.45,1.42244E-48,2.63408E-44,6
AT4G34160,0.45,4.15283E-59,7.69022E-55,6
AT4G28220,0.45,1.91888E-61,3.55338E-57,6
AT2G32030,0.45,2.68405E-49,4.97033E-45,6
AT4G37410,0.45,1.38123E-71,2.55776E-67,6
AT3G17160,0.44,3.4613E-39,6.40964E-35,6
AT5G44460,0.44,8.85795E-41,1.64032E-36,6
AT3G50070,0.44,3.30395E-52,6.11825E-48,6
AT4G20850,0.44,1.31137E-41,2.42839E-37,6
AT4G13990,0.43,1.78116E-67,3.29836E-63,6
AT4G22250,0.43,1.71583E-48,3.17738E-44,6
AT1G30110,0.43,5.20476E-34,9.63817E-30,6
AT5G66580,0.43,3.00207E-21,5.55923E-17,6
AT4G23570,0.43,5.59852E-35,1.03673E-30,6
AT3G08680,0.43,3.20257E-56,5.93052E-52,6
AT3G63200,0.43,3.54944E-29,6.57286E-25,6
AT5G18460,0.43,1.3203E-45,2.44493E-41,6
AT5G19340,0.43,2.55462E-35,4.73065E-31,6
AT3G01840,0.43,4.58063E-52,8.48241E-48,6
AT1G14210,0.42,1.54145E-38,2.85446E-34,6
