Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT3G16450,1.49,0,5.0348E-307,0
AT2G43535,1.31,4.1526E-249,7.6897E-245,0
AT4G15390,1.28,4.9134E-203,9.0987E-199,0
AT5G15970,1.26,4.0384E-166,7.4783E-162,0
AT1G28290,1.21,2.5352E-235,4.6947E-231,0
AT1G03220,1.18,2.0924E-255,3.8746E-251,0
AT1G21120,1.09,5.31294E-71,9.8385E-67,0
AT5G26280,1.08,1.726E-209,3.1963E-205,0
AT5G03240,1.02,1.6029E-221,2.9682E-217,0
AT3G10985,1.01,1.1648E-161,2.157E-157,0
AT5G62340,0.97,1.8739E-122,3.4701E-118,0
AT3G12490,0.96,3.7408E-203,6.9272E-199,0
AT2G25980,0.95,1.3784E-189,2.5526E-185,0
AT1G56280,0.94,3.2207E-158,5.9641E-154,0
AT3G44320,0.93,4.4872E-169,8.3093E-165,0
AT1G28330,0.93,1.293E-111,2.3944E-107,0
AT1G54030,0.91,1.2217E-189,2.2624E-185,0
AT2G23810,0.91,2.1163E-88,3.91897E-84,0
AT1G77330,0.87,6.7949E-108,1.2583E-103,0
AT5G47950,0.87,3.4759E-117,6.4367E-113,0
AT4G37410,0.86,3.9133E-138,7.2466E-134,0
AT3G16420,0.86,1.6204E-217,3.0006E-213,0
AT4G16490,0.86,5.4359E-124,1.0066E-119,0
AT1G80920,0.85,1.1765E-104,2.1787E-100,0
AT3G09260,0.84,1.3628E-220,2.5235E-216,0
AT3G16460,0.84,1.164E-227,2.1555E-223,0
AT5G62180,0.83,1.1277E-146,2.0883E-142,0
AT5G42600,0.83,1.91532E-59,3.5468E-55,0
AT1G53625,0.81,6.6551E-102,1.23239E-97,0
AT5G48000,0.81,2.5208E-108,4.6679E-104,0
AT2G32070,0.81,1.4417E-206,2.6698E-202,0
AT2G28760,0.78,1.9465E-161,3.6045E-157,0
AT3G04720,0.78,4.95865E-91,9.18242E-87,0
AT3G29250,0.76,6.75595E-89,1.25107E-84,0
AT5G01350,0.76,1.2524E-200,2.3193E-196,0
AT5G47990,0.76,2.82656E-96,5.23422E-92,0
AT1G14080,0.76,4.4175E-122,8.1802E-118,0
AT5G41700,0.76,1.717E-134,3.1795E-130,0
AT2G38400,0.75,1.43784E-85,2.66259E-81,0
AT1G53633,0.75,7.0844E-105,1.3119E-100,0
AT3G48360,0.73,1.84645E-81,3.41925E-77,0
AT3G48000,0.73,6.3251E-139,1.1713E-134,0
AT1G66800,0.72,7.06249E-76,1.30783E-71,0
AT3G50740,0.71,1.7787E-126,3.2938E-122,0
AT2G39518,0.71,6.11734E-60,1.13281E-55,0
AT5G66170,0.70,2.2322E-105,4.1336E-101,0
AT1G66270,0.70,4.0745E-177,7.5451E-173,0
AT5G63030,0.69,1.2831E-131,2.3761E-127,0
AT4G00360,0.69,5.35901E-93,9.92382E-89,0
AT2G22880,0.69,6.17962E-43,1.14434E-38,0
AT3G48890,0.68,5.9229E-136,1.0968E-131,0
AT5G21020,0.68,2.43642E-86,4.51177E-82,0
AT3G24503,0.68,3.6603E-117,6.7782E-113,0
AT1G54000,0.68,1.1404E-117,2.1118E-113,0
AT5G08590,0.68,2.8071E-146,5.1981E-142,0
AT1G65720,0.67,5.3842E-148,9.9705E-144,0
AT5G66690,0.67,3.3953E-96,6.28742E-92,0
AT5G53300,0.67,5.0212E-168,9.2983E-164,0
AT2G15490,0.67,2.9012E-131,5.3724E-127,0
AT2G30440,0.66,5.0844E-134,9.4154E-130,0
AT1G04250,0.66,5.69564E-44,1.05472E-39,0
AT4G34180,0.66,8.8818E-120,1.6447E-115,0
AT5G43520,0.66,3.03004E-47,5.61102E-43,0
AT4G01610,0.66,2.1811E-114,4.0389E-110,0
AT2G37750,0.65,9.54991E-74,1.76845E-69,0
AT4G30850,0.65,8.1548E-118,1.5101E-113,0
AT5G64260,0.65,1.5843E-121,2.9338E-117,0
AT1G65845,0.65,1.14415E-58,2.11873E-54,0
AT5G02380,0.65,9.21242E-97,1.70596E-92,0
AT3G62270,0.64,1.72623E-95,3.19662E-91,0
AT5G12940,0.64,8.18627E-76,1.51593E-71,0
AT4G35750,0.64,1.02122E-83,1.8911E-79,0
AT2G29430,0.64,3.8206E-74,7.07499E-70,0
AT3G52400,0.64,3.93434E-82,7.28561E-78,0
AT3G46440,0.63,8.0099E-101,1.48326E-96,0
AT3G51920,0.63,3.13302E-71,5.80172E-67,0
AT2G47130,0.63,1.37352E-95,2.54349E-91,0
AT1G54410,0.63,2.2755E-116,4.2138E-112,0
AT5G18170,0.63,4.8315E-101,8.94689E-97,0
AT1G07590,0.63,8.50731E-75,1.57538E-70,0
AT5G19230,0.62,3.1087E-100,5.75674E-96,0
AT2G24570,0.62,1.76811E-84,3.27418E-80,0
AT2G40470,0.62,6.35638E-85,1.17707E-80,0
