Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT1G07590,2.30,6.644E-276,1.2303E-271,1
AT1G06760,2.04,2.7815E-286,5.1509E-282,1
AT2G17500,1.84,7.9494E-230,1.4721E-225,1
AT1G02920,1.83,7.22961E-82,1.33878E-77,1
AT3G15450,1.81,1.301E-180,2.4092E-176,1
AT2G15490,1.67,0,0,1
AT2G33830,1.63,1.3535E-108,2.5064E-104,1
AT3G53730,1.58,1.5369E-221,2.8461E-217,1
AT1G03220,1.54,3.6752E-301,6.8058E-297,1
AT5G15970,1.53,7.6737E-123,1.421E-118,1
AT1G73260,1.49,4.4258E-107,8.1956E-103,1
AT4G35750,1.48,1.4717E-251,2.7252E-247,1
AT2G26670,1.45,1.3076E-231,2.4215E-227,1
AT5G23830,1.44,9.7038E-264,1.797E-259,1
AT2G15220,1.43,2.46351E-83,4.56193E-79,1
AT3G57020,1.42,1.2682E-163,2.3485E-159,1
AT2G31570,1.41,1.6117E-207,2.9845E-203,1
AT4G16190,1.38,5.1735E-137,9.5804E-133,1
AT5G44610,1.38,3.4629E-102,6.41268E-98,1
AT3G04720,1.37,1.0133E-167,1.8764E-163,1
AT4G37410,1.37,2.1531E-159,3.9872E-155,1
AT1G02930,1.37,2.24123E-93,4.15031E-89,1
AT1G08880,1.37,8.4442E-183,1.5637E-178,1
AT2G37470,1.36,7.9339E-164,1.4692E-159,1
AT3G51730,1.35,1.5039E-287,2.785E-283,1
AT2G43000,1.34,4.259E-109,7.8869E-105,1
AT3G60140,1.32,3.94806E-67,7.31102E-63,1
AT5G59690,1.31,9.05792E-78,1.67735E-73,1
AT1G23040,1.30,2.4093E-165,4.4615E-161,1
AT3G01290,1.29,1.7848E-128,3.3051E-124,1
AT4G34180,1.29,3.5837E-269,6.6362E-265,1
AT2G36320,1.24,2.6704E-260,4.9451E-256,1
AT3G62650,1.23,1.1381E-274,2.1076E-270,1
AT3G15580,1.22,0,0,1
AT5G20250,1.17,1.3062E-153,2.4188E-149,1
AT4G38470,1.16,8.0179E-216,1.4847E-211,1
AT4G16260,1.15,2.96506E-61,5.4907E-57,1
AT1G65720,1.15,7.5567E-261,1.3993E-256,1
AT4G35770,1.15,1.32663E-53,2.45665E-49,1
AT4G24990,1.14,1.0701E-283,1.9817E-279,1
AT3G04730,1.13,3.294E-190,6.0999E-186,1
AT4G37530,1.13,8.5521E-106,1.5837E-101,1
AT5G23530,1.12,4.03731E-70,7.47629E-66,1
AT3G16450,1.12,3.7185E-145,6.8859E-141,1
AT1G09740,1.11,1.9258E-223,3.5662E-219,1
AT3G54420,1.11,3.1201E-120,5.7777E-116,1
AT3G05937,1.11,6.4364E-157,1.1919E-152,1
AT1G15380,1.09,6.58456E-57,1.21933E-52,1
AT1G25230,1.09,1.38019E-83,2.55583E-79,1
AT5G48010,1.08,1.53822E-93,2.84848E-89,1
AT2G43510,1.08,2.84236E-62,5.26348E-58,1
AT5G17380,1.07,5.3776E-238,9.9582E-234,1
AT3G14690,1.07,1.28456E-92,2.37876E-88,1
AT4G21980,1.07,2.1178E-217,3.9217E-213,1
AT5G03240,1.07,1.403E-226,2.5981E-222,1
AT1G15040,1.07,1.63715E-45,3.03167E-41,1
AT5G27670,1.06,1.8111E-160,3.3537E-156,1
AT4G37010,1.06,4.3304E-117,8.0189E-113,1
AT5G19230,1.06,4.7285E-132,8.7563E-128,1
AT3G12490,1.05,3.9887E-215,7.3862E-211,1
AT2G41380,1.03,1.359E-123,2.5167E-119,1
AT2G35770,1.03,3.18248E-88,5.89332E-84,1
AT3G48450,1.03,6.51822E-68,1.20704E-63,1
AT1G65820,1.03,8.851E-224,1.639E-219,1
AT2G39530,1.03,4.14309E-66,7.67218E-62,1
AT1G10480,1.03,5.16074E-77,9.55665E-73,1
AT4G14880,1.02,5.174E-135,9.5812E-131,1
AT5G63030,1.02,7.2831E-188,1.3487E-183,1
AT3G10500,1.01,2.1908E-172,4.0569E-168,1
AT1G02360,1.01,7.73972E-79,1.43324E-74,1
AT1G80920,1.01,2.6012E-123,4.8168E-119,1
AT1G65690,1.01,1.67185E-53,3.09593E-49,1
AT3G01470,1.01,1.4529E-139,2.6905E-135,1
AT4G20860,1.01,1.74354E-82,3.22869E-78,1
AT5G64260,1.00,1.0874E-96,2.01364E-92,1
AT5G55850,1.00,3.6011E-215,6.6685E-211,1
AT1G07820,1.00,2.28033E-87,4.22272E-83,1
AT3G48890,0.98,1.9626E-226,3.6343E-222,1
AT1G32460,0.98,9.1221E-206,1.6892E-201,1
AT4G40040,0.97,7.4753E-215,1.3843E-210,1
AT4G20260,0.97,9.26763E-62,1.71618E-57,1
AT1G01550,0.96,7.3638E-189,1.3636E-184,1
AT3G46030,0.96,9.4169E-120,1.7438E-115,1
AT5G37740,0.96,1.1492E-167,2.128E-163,1
AT4G37520,0.95,3.5104E-103,6.5005E-99,1
AT4G16520,0.95,7.6327E-173,1.4134E-168,1
AT5G42600,0.95,2.4032E-51,4.45025E-47,1
AT5G40690,0.94,2.13079E-58,3.94579E-54,1
AT5G65020,0.93,4.9479E-142,9.1626E-138,1
AT4G34350,0.93,8.3697E-229,1.5499E-224,1
AT1G70850,0.93,4.08243E-37,7.55985E-33,1
AT2G22780,0.93,3.225E-217,5.9721E-213,1
AT3G07720,0.92,4.1514E-170,7.6876E-166,1
AT4G17800,0.92,7.6098E-202,1.4092E-197,1
AT3G16420,0.92,7.1763E-149,1.3289E-144,1
AT4G13510,0.92,4.0896E-116,7.5731E-112,1
AT4G27230,0.92,2.25897E-87,4.18316E-83,1
AT3G14595,0.92,2.7799E-157,5.1479E-153,1
AT4G04800,0.91,2.4607E-214,4.5568E-210,1
AT3G45980,0.91,2.9061E-109,5.3815E-105,1
AT5G65210,0.91,2.4092E-153,4.4614E-149,1
AT4G32150,0.90,2.9469E-170,5.4571E-166,1
AT3G61070,0.90,1.0157E-247,1.8809E-243,1
AT1G77330,0.90,2.577E-57,4.77209E-53,1
AT5G21090,0.89,3.8283E-190,7.0893E-186,1
AT2G01490,0.89,4.4086E-231,8.1639E-227,1
AT1G09200,0.89,7.49607E-51,1.38812E-46,1
AT4G22820,0.89,4.3582E-175,8.0706E-171,1
AT1G60810,0.88,4.7149E-185,8.731E-181,1
AT5G35680,0.88,5.7535E-228,1.0654E-223,1
AT1G51060,0.88,9.468E-87,1.75328E-82,1
AT1G12780,0.88,1.69067E-90,3.13079E-86,1
AT5G11520,0.87,7.9142E-232,1.4655E-227,1
AT5G24530,0.87,2.59901E-91,4.81284E-87,1
AT2G31390,0.87,1.358E-199,2.5148E-195,1
AT1G75950,0.87,4.2203E-235,7.8151E-231,1
AT1G53910,0.87,1.3227E-202,2.4494E-198,1
AT3G51130,0.87,7.194E-193,1.3322E-188,1
AT5G45410,0.86,1.4156E-206,2.6215E-202,1
AT3G50740,0.86,1.3677E-109,2.5328E-105,1
AT5G47180,0.86,1.4061E-176,2.6037E-172,1
AT5G16880,0.86,9.2337E-195,1.7099E-190,1
AT2G22770,0.86,1.4151E-114,2.6204E-110,1
AT1G75270,0.85,1.9281E-195,3.5704E-191,1
AT5G07370,0.85,7.2775E-200,1.3477E-195,1
AT1G32700,0.85,3.3274E-102,6.16173E-98,1
AT1G17290,0.85,5.6828E-207,1.0523E-202,1
AT5G49460,0.85,4.4247E-160,8.1936E-156,1
AT2G23090,0.84,7.1515E-228,1.3243E-223,1
AT5G54500,0.84,4.4305E-103,8.2044E-99,1
AT3G16430,0.84,1.87149E-75,3.46563E-71,1
