Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT2G28790,0.39,3.20147E-09,4.68663E-05,1
AT1G25260,0.39,6.05626E-17,8.86576E-13,1
AT1G26800,0.39,7.39312E-11,1.08228E-06,1
AT5G22300,0.39,2.12921E-15,3.11696E-11,1
AT4G40040,0.39,1.33896E-10,1.9601E-06,1
AT4G30440,0.38,9.19952E-13,1.34672E-08,1
AT5G39850,0.38,2.3355E-09,3.41893E-05,1
AT2G38810,0.38,2.56772E-07,0.003758883,1
AT3G49780,0.37,1.94742E-09,2.85083E-05,1
AT4G15248,0.36,7.03778E-14,1.03026E-09,1
AT4G09830,0.36,2.40421E-12,3.51952E-08,1
AT4G34620,0.36,2.41967E-14,3.54215E-10,1
AT1G35516,0.36,5.58229E-11,8.17191E-07,1
AT1G17530,0.36,1.53359E-11,2.24503E-07,1
AT3G23490,0.35,5.21753E-15,7.63795E-11,1
AT3G18830,0.35,2.5263E-12,3.69825E-08,1
AT2G26190,0.35,2.37369E-08,0.000347484,1
AT3G16640,0.35,2.09927E-22,3.07312E-18,1
AT4G39800,0.35,2.36679E-12,3.46474E-08,1
AT2G22770,0.35,1.00663E-10,1.4736E-06,1
AT1G52740,0.35,7.65048E-23,1.11995E-18,1
AT3G04730,0.35,3.96546E-10,5.80504E-06,1
AT5G20160,0.35,1.78497E-11,2.61301E-07,1
AT2G33830,0.35,2.93019E-08,0.000428951,1
AT2G37340,0.35,6.05937E-15,8.87032E-11,1
AT5G03630,0.35,4.68198E-08,0.000685396,1
AT3G07350,0.35,2.45453E-12,3.59318E-08,1
AT3G49940,0.35,3.30567E-10,4.83918E-06,1
AT5G47710,0.35,5.28237E-16,7.73287E-12,1
AT2G38400,0.34,1.08457E-10,1.5877E-06,1
AT2G25900,0.34,4.11213E-10,6.01975E-06,1
AT5G04590,0.34,1.97488E-12,2.89103E-08,1
AT1G13380,0.34,7.44215E-14,1.08946E-09,1
AT5G14000,0.34,9.11686E-10,1.33462E-05,1
AT5G03230,0.34,1.7551E-11,2.5693E-07,1
AT5G54470,0.33,5.9155E-12,8.6597E-08,1
AT1G33110,0.33,1.20301E-17,1.76108E-13,1
AT4G35100,0.33,7.06019E-08,0.001033542,1
AT5G48100,0.33,1.6483E-13,2.41295E-09,1
AT1G63830,0.33,2.40003E-12,3.5134E-08,1
AT1G26470,0.33,1.07863E-12,1.579E-08,1
AT3G51880,0.33,4.95099E-12,7.24776E-08,1
AT3G15240,0.32,1.2592E-13,1.84334E-09,1
AT2G46680,0.32,4.85378E-21,7.10545E-17,1
AT3G48560,0.32,2.3081E-07,0.003378823,1
AT4G15390,0.32,2.38827E-07,0.003496186,1
AT5G02490,0.32,2.98521E-08,0.000437005,1
AT2G34690,0.32,3.53367E-11,5.17294E-07,1
AT3G61260,0.32,3.09184E-11,4.52614E-07,1
AT3G48360,0.31,4.7215E-13,6.9118E-09,1
AT1G51200,0.31,4.07747E-11,5.96901E-07,1
AT5G24530,0.31,2.24047E-12,3.27982E-08,1
AT3G23000,0.31,1.03501E-08,0.000151515,1
AT1G25550,0.31,1.70053E-10,2.4894E-06,1
AT4G15780,0.31,8.52894E-11,1.24855E-06,1
AT4G38060,0.31,9.96945E-08,0.001459428,1
AT2G15490,0.31,2.3842E-08,0.000349023,1
AT4G08950,0.31,1.79461E-07,0.002627131,1
AT1G09970,0.30,2.37195E-18,3.4723E-14,1
AT3G18490,0.30,1.73322E-10,2.53726E-06,1
AT3G46600,0.30,3.27792E-11,4.79855E-07,1
AT5G06360,0.30,2.47376E-10,3.62133E-06,1
AT3G26980,0.30,5.42463E-14,7.94111E-10,1
AT3G12490,0.30,7.37125E-11,1.07908E-06,1
AT3G44720,0.30,2.95888E-14,4.3315E-10,1
AT2G47130,0.30,1.53891E-09,2.25281E-05,1
AT1G14740,0.30,8.38179E-10,1.22701E-05,1
AT2G14880,0.30,1.31032E-11,1.91818E-07,1
AT1G19000,0.30,3.91322E-12,5.72857E-08,1
AT1G69526,0.30,5.77733E-07,0.008457428,1
AT2G04520,0.30,2.36175E-11,3.45737E-07,1
AT1G30820,0.30,1.58916E-08,0.000232637,1
AT4G13010,0.30,1.25574E-12,1.83829E-08,1
AT5G37740,0.30,5.33159E-11,7.80492E-07,1
AT3G30350,0.29,1.49078E-11,2.18236E-07,1
AT5G13370,0.29,1.14672E-13,1.67868E-09,1
AT4G09320,0.29,3.66189E-13,5.36065E-09,1
AT3G13580,0.29,6.43507E-15,9.4203E-11,1
AT1G72040,0.29,7.86143E-10,1.15083E-05,1
AT3G27210,0.29,1.20984E-17,1.77108E-13,1
AT3G08760,0.29,6.81888E-12,9.98216E-08,1
AT5G52420,0.29,9.08292E-13,1.32965E-08,1
AT1G23860,0.29,7.98499E-11,1.16892E-06,1
AT1G15420,0.29,3.88098E-11,5.68137E-07,1
AT2G34750,0.29,2.31308E-10,3.38611E-06,1
AT2G03830,0.29,8.12806E-09,0.000118987,1
AT5G60340,0.29,3.03333E-10,4.4405E-06,1
AT3G44735,0.29,1.95753E-12,2.86564E-08,1
AT4G01150,0.28,1.22112E-11,1.7876E-07,1
AT1G15170,0.28,8.06377E-10,1.18046E-05,1
AT1G29340,0.28,1.46019E-08,0.000213758,1
AT5G46780,0.28,9.24048E-15,1.35271E-10,1
AT1G64970,0.28,3.58635E-12,5.25005E-08,1
AT1G01800,0.28,3.6021E-08,0.000527311,1
AT5G05640,0.28,7.41573E-10,1.08559E-05,1
AT4G33145,0.28,4.97744E-11,7.28648E-07,1
AT5G64080,0.28,1.24193E-08,0.000181806,1
AT3G47470,0.28,1.26339E-12,1.84948E-08,1
AT2G13360,0.27,6.06216E-07,0.008874394,1
AT5G59440,0.27,3.38317E-07,0.004952623,1
AT3G59600,0.27,1.38219E-10,2.02338E-06,1
AT1G24170,0.27,2.99589E-09,4.38568E-05,1
AT4G30760,0.27,2.87126E-10,4.20324E-06,1
AT1G17370,0.27,5.35749E-10,7.84283E-06,1
AT3G03150,0.27,2.94583E-09,4.31239E-05,1
AT3G22930,0.27,2.53294E-07,0.003707966,1
AT5G14640,0.27,2.30653E-07,0.003376523,1
AT4G27490,0.27,6.88973E-10,1.00859E-05,1
AT1G15340,0.27,3.35888E-08,0.000491706,1
AT4G23750,0.27,5.98259E-10,8.75791E-06,1
AT3G09900,0.27,2.78627E-10,4.07882E-06,1
AT1G12440,0.27,2.94497E-14,4.31113E-10,1
AT1G04480,0.27,9.73488E-17,1.42509E-12,1
AT1G27650,0.27,5.49083E-09,8.03803E-05,1
AT2G01490,0.26,2.29267E-14,3.35623E-10,1
AT4G16830,0.26,5.43063E-09,7.94989E-05,1
AT1G09250,0.26,1.14963E-11,1.68294E-07,1
AT1G04870,0.26,1.72464E-07,0.002524694,1
AT2G34900,0.26,6.26199E-09,9.16693E-05,1
AT2G14910,0.26,3.06392E-13,4.48527E-09,1
AT5G20520,0.26,9.87578E-08,0.001445715,1
AT2G46500,0.26,3.15881E-12,4.62418E-08,1
AT5G08240,0.26,6.46218E-07,0.009459979,1
AT2G19270,0.25,2.24317E-12,3.28378E-08,1
AT3G59940,0.25,2.48831E-09,3.64264E-05,1
AT4G30270,0.25,5.84849E-13,8.56161E-09,1
AT5G25280,0.25,3.35041E-08,0.000490466,1
AT1G56580,0.25,1.0302E-07,0.001508112,1
AT1G56110,0.49,1.20785E-13,1.76817E-09,2
AT3G44750,0.44,4.37774E-12,6.40858E-08,2
AT4G12600,0.41,5.35872E-16,7.84463E-12,2
AT3G57150,0.40,1.06149E-11,1.55392E-07,2
AT2G20490,0.39,7.6312E-14,1.11713E-09,2
AT3G06700,0.39,2.2582E-17,3.30578E-13,2
AT3G56020,0.38,1.45027E-12,2.12305E-08,2
AT3G60245,0.37,1.10094E-22,1.61167E-18,2
AT2G37600,0.37,9.36726E-16,1.37127E-11,2
AT4G13850,0.37,1.99729E-14,2.92384E-10,2
AT1G80070,0.37,2.06611E-12,3.02458E-08,2
AT3G02790,0.36,1.27878E-07,0.001872003,2
AT3G11964,0.36,1.09834E-12,1.60786E-08,2
AT2G20450,0.35,2.95505E-18,4.32589E-14,2
AT3G15357,0.35,1.58522E-11,2.3206E-07,2
AT3G06680,0.35,6.49684E-14,9.51073E-10,2
AT3G52140,0.35,3.48164E-09,5.09677E-05,2
AT5G27120,0.33,7.40658E-08,0.00108425,2
AT2G40205,0.32,1.09743E-08,0.000160653,2
AT4G17520,0.32,8.14028E-11,1.19166E-06,2
AT3G23830,0.32,1.50568E-22,2.20417E-18,2
AT1G20960,0.32,1.04217E-08,0.000152564,2
AT3G16080,0.31,4.04507E-17,5.92158E-13,2
ATCG00170,0.31,1.33897E-07,0.001960116,2
AT5G56710,0.31,1.77457E-26,2.59779E-22,2
AT3G16780,0.31,4.19251E-13,6.13742E-09,2
AT2G27710,0.31,3.44686E-20,5.04586E-16,2
AT1G09590,0.31,5.49158E-16,8.03912E-12,2
AT3G06530,0.30,2.30114E-07,0.003368632,2
AT3G12860,0.30,9.69883E-08,0.001419812,2
AT1G77940,0.30,6.32972E-19,9.26608E-15,2
AT2G25210,0.30,3.03102E-10,4.43711E-06,2
AT1G26880,0.29,1.39242E-12,2.03836E-08,2
AT4G25890,0.29,3.42474E-11,5.01348E-07,2
AT5G67510,0.29,1.08656E-12,1.59061E-08,2
AT4G29410,0.29,8.44895E-15,1.23684E-10,2
AT1G74560,0.29,2.1466E-09,3.14241E-05,2
AT1G49410,0.29,1.24832E-07,0.001827414,2
AT5G18790,0.29,1.97994E-08,0.000289844,2
AT2G36620,0.29,6.38988E-14,9.35414E-10,2
AT5G64140,0.29,3.26401E-10,4.77818E-06,2
AT2G35605,0.29,4.89071E-08,0.000715952,2
AT5G27330,0.28,6.20653E-08,0.000908574,2
AT4G17390,0.28,1.05554E-24,1.5452E-20,2
AT1G18540,0.28,2.23964E-14,3.27861E-10,2
AT2G09990,0.28,1.02726E-18,1.5038E-14,2
AT3G44590,0.28,9.72766E-10,1.42403E-05,2
AT4G33865,0.27,3.2929E-08,0.000482047,2
AT3G09200,0.27,2.43704E-09,3.56758E-05,2
AT1G20220,0.27,2.76896E-08,0.000405348,2
AT1G15250,0.27,1.28658E-07,0.00188342,2
AT4G30990,0.27,3.01124E-09,4.40815E-05,2
AT3G58700,0.27,3.75939E-15,5.50337E-11,2
AT4G13170,0.26,3.90606E-09,5.71808E-05,2
AT1G14980,0.26,5.77116E-07,0.008448404,2
AT3G23390,0.26,2.40091E-08,0.00035147,2
AT1G07930,0.26,2.35443E-08,0.000344665,2
AT2G04390,0.26,2.18597E-08,0.000320004,2
AT1G41880,0.26,1.35389E-09,1.98197E-05,2
AT1G06670,0.26,2.00992E-08,0.000294233,2
AT5G56670,0.26,4.76145E-10,6.97029E-06,2
AT5G61170,0.25,8.18906E-13,1.1988E-08,2
AT4G29390,0.25,1.09737E-08,0.000160644,2
AT1G23100,0.25,2.83631E-07,0.004152069,2
AT3G53740,0.25,7.46978E-16,1.0935E-11,2
AT1G66270,1.54,1.53168E-51,2.24222E-47,3
AT1G54000,1.38,6.15279E-51,9.00707E-47,3
AT1G21750,1.17,7.10186E-55,1.03964E-50,3
AT5G42020,1.12,1.67432E-37,2.45104E-33,3
AT1G21310,1.12,3.35401E-22,4.90994E-18,3
AT3G54960,1.10,1.26972E-58,1.85875E-54,3
AT3G18780,1.01,2.40064E-46,3.5143E-42,3
AT1G56340,1.00,3.83934E-35,5.62041E-31,3
AT3G16460,0.97,5.62526E-35,8.23482E-31,3
AT1G54410,0.96,2.78291E-42,4.0739E-38,3
AT1G58270,0.96,2.84487E-31,4.16461E-27,3
AT3G02230,0.92,9.06924E-47,1.32765E-42,3
AT1G09210,0.92,1.23273E-35,1.8046E-31,3
AT1G28290,0.90,2.85903E-21,4.18533E-17,3
AT5G39320,0.89,2.17092E-43,3.17802E-39,3
AT3G04120,0.89,7.91429E-52,1.15857E-47,3
AT1G54890,0.79,2.85625E-34,4.18127E-30,3
AT3G17390,0.78,3.90777E-39,5.72059E-35,3
AT3G26520,0.78,3.70667E-20,5.42619E-16,3
AT1G49240,0.78,3.25341E-39,4.76267E-35,3
AT5G61790,0.77,7.58001E-29,1.10964E-24,3
AT3G16420,0.76,7.5534E-24,1.10574E-19,3
AT4G13930,0.76,8.42715E-36,1.23365E-31,3
AT3G20370,0.76,8.48333E-29,1.24187E-24,3
AT2G45050,0.75,5.67019E-34,8.30059E-30,3
AT3G60530,0.74,6.83996E-34,1.0013E-29,3
AT5G14030,0.74,2.18738E-39,3.2021E-35,3
AT2G44060,0.73,3.67046E-35,5.37319E-31,3
AT1G41830,0.72,2.88898E-26,4.22918E-22,3
AT1G63000,0.71,1.41107E-37,2.06566E-33,3
AT5G28540,0.71,1.08729E-18,1.59168E-14,3
AT3G03250,0.71,1.30223E-35,1.90633E-31,3
AT2G21160,0.71,4.82433E-37,7.06233E-33,3
AT2G04780,0.70,1.54082E-37,2.2556E-33,3
AT5G48580,0.69,1.71985E-34,2.51769E-30,3
AT1G56330,0.68,4.24115E-36,6.20863E-32,3
AT3G15950,0.66,9.22963E-17,1.35113E-12,3
AT4G24190,0.65,1.27891E-17,1.87219E-13,3
AT1G03870,0.64,1.0553E-33,1.54485E-29,3
AT5G17920,0.64,7.0332E-26,1.02959E-21,3
AT2G22170,0.64,1.11289E-22,1.62916E-18,3
AT1G76240,0.64,5.88515E-22,8.61527E-18,3
AT5G62340,0.64,4.66126E-12,6.82362E-08,3
AT2G32380,0.64,2.53266E-27,3.70757E-23,3
AT2G47470,0.63,2.76744E-23,4.05125E-19,3
AT4G12880,0.62,1.53409E-25,2.24576E-21,3
AT4G34720,0.61,4.91733E-30,7.19847E-26,3
AT5G44585,0.61,8.92153E-14,1.30602E-09,3
AT4G24920,0.61,3.13024E-27,4.58236E-23,3
AT3G62600,0.60,3.74741E-25,5.48584E-21,3
AT5G65020,0.60,2.86669E-29,4.19655E-25,3
AT1G65930,0.59,3.83929E-33,5.62034E-29,3
AT2G44790,0.59,6.80114E-20,9.95619E-16,3
AT1G27330,0.59,1.36177E-24,1.9935E-20,3
AT5G60460,0.58,4.35677E-24,6.37787E-20,3
AT3G25220,0.58,3.83516E-28,5.61428E-24,3
AT3G06300,0.57,2.50647E-29,3.66923E-25,3
AT4G29520,0.57,2.48734E-27,3.64121E-23,3
AT5G39570,0.56,3.80678E-25,5.57274E-21,3
AT2G17720,0.56,4.2545E-27,6.22817E-23,3
AT1G10630,0.55,5.41763E-31,7.93087E-27,3
AT5G50460,0.55,2.53983E-18,3.71805E-14,3
AT3G17780,0.55,2.71915E-23,3.98057E-19,3
AT2G29960,0.55,9.75533E-21,1.42808E-16,3
AT3G15730,0.55,8.19512E-25,1.19968E-20,3
AT1G13950,0.55,4.56936E-20,6.68909E-16,3
AT3G52930,0.55,1.13259E-27,1.658E-23,3
AT2G45790,0.54,5.87462E-27,8.59986E-23,3
AT2G41780,0.54,1.22004E-22,1.78602E-18,3
AT5G54500,0.54,2.90966E-14,4.25946E-10,3
AT4G38920,0.53,4.00491E-26,5.86279E-22,3
AT1G04410,0.53,1.92575E-25,2.8191E-21,3
AT4G23710,0.53,7.37702E-23,1.07992E-18,3
AT2G36880,0.53,6.46202E-21,9.45975E-17,3
AT4G11010,0.52,6.62571E-28,9.69938E-24,3
AT1G02500,0.52,1.33743E-24,1.95786E-20,3
AT2G47650,0.52,4.51822E-25,6.61423E-21,3
AT2G45070,0.52,2.27032E-24,3.32353E-20,3
AT2G36530,0.51,1.45627E-25,2.13183E-21,3
AT4G23470,0.51,4.22626E-25,6.18683E-21,3
AT1G78900,0.51,2.42698E-20,3.55286E-16,3
AT5G04470,0.51,7.14992E-22,1.04668E-17,3
AT2G17420,0.51,6.72462E-26,9.84417E-22,3
AT2G16510,0.51,4.52386E-23,6.62248E-19,3
AT5G19760,0.51,8.63483E-23,1.26405E-18,3
AT4G02500,0.50,3.9493E-26,5.78139E-22,3
AT4G22930,0.50,5.02378E-23,7.35431E-19,3
AT1G04820,0.50,1.81162E-16,2.65203E-12,3
AT5G58710,0.50,4.01489E-18,5.8774E-14,3
AT4G13940,0.50,1.81155E-27,2.65194E-23,3
AT4G11150,0.49,2.9673E-28,4.34383E-24,3
AT4G22010,0.49,3.46805E-16,5.07688E-12,3
AT3G05020,0.49,4.46842E-20,6.54132E-16,3
AT4G31340,0.49,1.49031E-23,2.18166E-19,3
AT3G51160,0.49,3.30536E-21,4.83872E-17,3
AT5G07350,0.48,8.8064E-21,1.28917E-16,3
AT3G43810,0.48,4.11065E-19,6.01758E-15,3
AT1G23490,0.48,4.50643E-22,6.59696E-18,3
AT5G44110,0.48,1.77734E-19,2.60184E-15,3
AT2G34250,0.47,7.01586E-20,1.02705E-15,3
AT2G46000,0.47,3.34708E-22,4.89979E-18,3
AT4G22230,0.47,1.10022E-16,1.61061E-12,3
AT1G19910,0.47,7.21957E-24,1.05687E-19,3
AT2G41110,0.47,5.70379E-16,8.34978E-12,3
AT1G63220,0.47,2.17256E-13,3.18041E-09,3
AT2G20760,0.46,1.35145E-23,1.97839E-19,3
AT3G19820,0.46,1.85908E-17,2.72151E-13,3
AT1G74380,0.46,7.41004E-24,1.08476E-19,3
AT3G54770,0.46,3.04448E-16,4.45681E-12,3
AT1G54030,0.46,2.36449E-16,3.46137E-12,3
AT1G62810,0.46,1.50703E-19,2.20615E-15,3
AT2G27860,0.46,2.30168E-19,3.36943E-15,3
AT2G03120,0.46,4.44506E-20,6.50712E-16,3
AT1G10670,0.46,3.63278E-20,5.31802E-16,3
AT1G50430,0.45,4.50819E-18,6.59954E-14,3
AT1G65820,0.45,6.79001E-15,9.93989E-11,3
AT3G55440,0.45,1.10709E-19,1.62067E-15,3
AT1G79340,0.45,2.2587E-20,3.30652E-16,3
AT5G14040,0.45,1.4957E-17,2.18956E-13,3
AT1G04980,0.45,8.65132E-19,1.26647E-14,3
AT5G26280,0.45,5.78805E-10,8.47313E-06,3
AT1G50010,0.45,2.58226E-15,3.78017E-11,3
AT1G62660,0.45,3.3061E-22,4.8398E-18,3
AT1G69510,0.45,2.23357E-20,3.26973E-16,3
AT1G09780,0.44,4.37211E-17,6.40033E-13,3
AT5G60920,0.44,5.8439E-19,8.55489E-15,3
AT1G30630,0.44,2.80017E-19,4.09917E-15,3
AT1G27140,0.44,1.95787E-13,2.86613E-09,3
AT1G32210,0.44,1.88339E-22,2.75709E-18,3
AT2G25110,0.43,3.1076E-16,4.54922E-12,3
AT5G59290,0.43,2.12938E-18,3.1172E-14,3
AT3G17940,0.43,7.88778E-21,1.15469E-16,3
AT4G14960,0.43,5.28172E-15,7.73191E-11,3
AT1G66410,0.43,9.91632E-20,1.45165E-15,3
AT3G09820,0.43,3.14496E-20,4.6039E-16,3
AT4G16660,0.43,4.32407E-17,6.33E-13,3
AT2G34300,0.42,3.97327E-18,5.81647E-14,3
AT1G07890,0.42,8.23608E-21,1.20568E-16,3
AT4G21150,0.42,8.85098E-15,1.29569E-10,3
AT1G29470,0.42,7.53239E-14,1.10267E-09,3
AT3G08580,0.42,3.20562E-24,4.69271E-20,3
AT3G49720,0.42,2.57318E-12,3.76688E-08,3
AT5G48810,0.42,4.11484E-22,6.02371E-18,3
AT5G25830,0.42,2.81055E-29,4.11436E-25,3
AT3G62120,0.42,5.03268E-17,7.36733E-13,3
AT5G17190,0.42,1.87768E-14,2.74873E-10,3
AT1G61790,0.41,5.11978E-15,7.49485E-11,3
AT4G17100,0.41,1.45327E-26,2.12744E-22,3
AT5G66680,0.41,2.37602E-14,3.47826E-10,3
AT1G09560,0.41,5.00978E-14,7.33381E-10,3
AT1G70490,0.41,7.12359E-16,1.04282E-11,3
AT1G67730,0.41,1.80089E-16,2.63633E-12,3
AT1G29310,0.41,1.27152E-20,1.86138E-16,3
AT1G47640,0.41,1.33924E-17,1.96052E-13,3
AT3G07680,0.41,1.26055E-17,1.84532E-13,3
AT5G45510,0.41,1.22092E-12,1.78731E-08,3
AT5G25100,0.40,2.10048E-19,3.07489E-15,3
AT1G78570,0.40,9.66239E-17,1.41448E-12,3
AT1G79990,0.40,3.99419E-16,5.84709E-12,3
AT1G52600,0.40,2.9712E-14,4.34953E-10,3
AT2G33470,0.40,4.55453E-18,6.66737E-14,3
AT5G19250,0.40,1.34633E-16,1.97089E-12,3
AT2G32920,0.40,4.58122E-17,6.70644E-13,3
AT5G02270,0.40,8.02554E-17,1.17486E-12,3
AT2G32520,0.40,2.14117E-14,3.13446E-10,3
AT1G19360,0.40,9.74342E-16,1.42634E-11,3
AT2G05710,0.39,2.40531E-14,3.52114E-10,3
AT1G01630,0.39,4.14349E-20,6.06566E-16,3
AT4G29130,0.39,6.08444E-17,8.90702E-13,3
AT5G48230,0.39,9.14454E-15,1.33867E-10,3
AT1G27350,0.39,4.40515E-17,6.4487E-13,3
AT4G30980,0.39,1.48662E-15,2.17626E-11,3
AT5G12250,0.39,5.29114E-16,7.7457E-12,3
AT4G34870,0.39,1.32797E-18,1.94402E-14,3
AT2G27030,0.39,3.92058E-15,5.73934E-11,3
AT4G24330,0.39,1.22721E-13,1.79652E-09,3
AT1G20010,0.39,4.02702E-17,5.89515E-13,3
AT5G10780,0.39,2.92928E-17,4.28817E-13,3
AT4G30610,0.39,3.51567E-29,5.14659E-25,3
AT5G35630,0.39,4.56824E-16,6.68744E-12,3
AT1G74030,0.38,4.22359E-13,6.18291E-09,3
AT1G14010,0.38,4.95434E-18,7.25265E-14,3
AT2G47320,0.38,4.81402E-15,7.04724E-11,3
AT5G19690,0.38,6.93226E-14,1.01481E-09,3
AT5G10840,0.38,3.48761E-15,5.10551E-11,3
AT1G79550,0.38,2.91148E-14,4.26211E-10,3
AT2G35610,0.38,1.14279E-16,1.67293E-12,3
AT4G02620,0.38,1.11014E-14,1.62514E-10,3
AT2G14890,0.38,2.28702E-10,3.34797E-06,3
AT1G64640,0.37,2.61768E-14,3.83203E-10,3
AT4G32530,0.37,2.08557E-14,3.05307E-10,3
AT3G46440,0.37,1.05968E-16,1.55127E-12,3
AT2G22425,0.37,7.91598E-12,1.15882E-07,3
AT3G17210,0.37,2.86457E-12,4.19345E-08,3
AT2G18160,0.37,6.72458E-11,9.84411E-07,3
AT1G78040,0.37,9.75268E-15,1.42769E-10,3
AT5G66280,0.37,4.80201E-20,7.02966E-16,3
AT1G05620,0.37,3.06917E-15,4.49296E-11,3
AT5G42420,0.37,2.28916E-15,3.3511E-11,3
AT5G37780,0.37,4.62915E-14,6.77662E-10,3
AT5G17770,0.37,8.32644E-15,1.21891E-10,3
AT4G37450,0.37,2.47407E-09,3.6218E-05,3
AT2G47170,0.37,8.42208E-15,1.23291E-10,3
AT5G66590,0.37,6.02855E-11,8.82519E-07,3
AT5G28050,0.37,9.24894E-12,1.35395E-07,3
AT3G08590,0.37,3.09186E-09,4.52618E-05,3
AT2G01720,0.37,2.25199E-13,3.29668E-09,3
AT1G53240,0.36,5.6775E-13,8.31129E-09,3
AT3G23470,0.36,7.88809E-10,1.15474E-05,3
AT5G46290,0.36,2.1075E-13,3.08517E-09,3
AT1G14670,0.36,7.02469E-14,1.02834E-09,3
AT5G05010,0.36,5.62362E-12,8.23241E-08,3
AT5G11280,0.36,6.61012E-13,9.67656E-09,3
AT3G03160,0.36,4.35264E-15,6.37183E-11,3
AT5G15530,0.36,1.60047E-17,2.34293E-13,3
AT4G33360,0.36,3.13903E-14,4.59523E-10,3
AT3G62830,0.35,4.3846E-13,6.41861E-09,3
AT4G18030,0.35,1.09044E-11,1.59629E-07,3
AT1G07670,0.35,1.38325E-12,2.02493E-08,3
AT5G13870,0.35,3.00181E-09,4.39435E-05,3
AT1G04690,0.35,5.12781E-15,7.50659E-11,3
