Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT5G02380,1.81,1.31415E-34,1.92379E-30,1
AT5G15970,1.61,9.17586E-36,1.34325E-31,1
AT1G11580,0.87,3.14961E-26,4.61071E-22,1
AT5G65660,0.85,4.56387E-18,6.68105E-14,1
AT3G15450,0.84,5.44735E-22,7.97438E-18,1
AT5G03240,0.82,2.15216E-23,3.15054E-19,1
AT1G32640,0.79,1.58514E-29,2.32049E-25,1
AT2G22880,0.79,9.41724E-13,1.37859E-08,1
AT5G64260,0.76,1.04971E-27,1.53667E-23,1
AT5G66170,0.75,4.44221E-22,6.50295E-18,1
AT1G28330,0.75,4.09271E-22,5.99132E-18,1
AT4G05070,0.73,2.65434E-24,3.88569E-20,1
AT2G23810,0.70,1.38916E-20,2.03359E-16,1
AT2G41100,0.69,8.26568E-15,1.21001E-10,1
AT4G09030,0.69,3.96564E-16,5.8053E-12,1
AT1G11670,0.68,6.40755E-30,9.38002E-26,1
AT1G67810,0.66,9.44574E-31,1.38276E-26,1
AT5G19120,0.64,2.97948E-20,4.36166E-16,1
AT1G80920,0.61,2.01405E-18,2.94836E-14,1
AT5G21020,0.61,4.02048E-24,5.88559E-20,1
AT4G28240,0.61,3.29737E-15,4.82702E-11,1
AT1G56280,0.59,1.49079E-21,2.18237E-17,1
AT2G36320,0.59,8.48407E-18,1.24198E-13,1
AT5G15230,0.56,4.15465E-07,0.006081991,1
AT5G22630,0.56,2.7259E-24,3.99045E-20,1
AT5G41700,0.55,5.78191E-25,8.46414E-21,1
AT3G10985,0.54,9.73777E-18,1.42551E-13,1
AT2G41410,0.54,1.95606E-22,2.86348E-18,1
AT4G37410,0.54,1.54767E-10,2.26563E-06,1
AT2G31200,0.53,8.42987E-19,1.23405E-14,1
AT2G24550,0.52,1.749E-11,2.56036E-07,1
AT3G14990,0.52,2.99154E-08,0.000437931,1
AT2G21060,0.52,3.78609E-21,5.54246E-17,1
AT2G45820,0.51,2.05804E-18,3.01276E-14,1
AT1G01550,0.51,7.34586E-20,1.07536E-15,1
AT4G34881,0.50,1.14409E-21,1.67483E-17,1
AT5G19230,0.50,4.94661E-11,7.24134E-07,1
AT1G64720,0.49,4.10729E-17,6.01266E-13,1
AT3G19030,0.49,1.81587E-20,2.65825E-16,1
AT1G03220,0.49,6.01339E-13,8.80301E-09,1
AT5G61600,0.49,7.11039E-14,1.04089E-09,1
AT4G04620,0.48,5.50626E-22,8.06061E-18,1
AT4G28703,0.48,4.89084E-18,7.1597E-14,1
AT2G37410,0.48,1.16264E-20,1.70199E-16,1
AT3G52870,0.48,9.66826E-19,1.41534E-14,1
AT1G64230,0.47,6.01439E-23,8.80447E-19,1
AT1G74840,0.47,2.91934E-15,4.27362E-11,1
AT3G12630,0.46,8.29186E-15,1.21385E-10,1
AT4G15910,0.45,6.60063E-17,9.66266E-13,1
AT3G57870,0.45,5.93726E-18,8.69156E-14,1
AT4G36620,0.45,1.11519E-14,1.63252E-10,1
AT1G56200,0.45,1.17365E-17,1.71811E-13,1
AT4G22380,0.45,8.4164E-19,1.23208E-14,1
AT1G07590,0.44,8.82632E-08,0.001292085,1
AT2G47710,0.44,2.5984E-20,3.80379E-16,1
AT4G22820,0.44,1.15003E-19,1.68353E-15,1
AT5G19875,0.44,1.28502E-14,1.88114E-10,1
AT5G44210,0.43,1.39152E-19,2.03705E-15,1
AT5G01350,0.43,1.77964E-16,2.60521E-12,1
AT3G48000,0.43,2.54819E-20,3.73029E-16,1
AT3G12320,0.42,8.50517E-21,1.24507E-16,1
AT2G46600,0.42,2.61609E-14,3.82969E-10,1
AT1G69700,0.41,3.21237E-16,4.70259E-12,1
AT1G69295,0.41,1.81864E-16,2.66231E-12,1
AT2G36930,0.41,1.34744E-17,1.97252E-13,1
AT5G53300,0.40,1.12383E-19,1.64518E-15,1
AT5G19520,0.40,1.3807E-11,2.02121E-07,1
AT4G30960,0.39,1.73629E-10,2.54176E-06,1
AT1G67340,0.39,1.21648E-21,1.7808E-17,1
AT5G13490,0.39,7.84631E-16,1.14862E-11,1
