Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT1G21120,2.76,1.60873E-66,2.97904E-62,14
AT1G14540,2.71,2.37924E-61,4.40587E-57,14
AT5G27420,2.45,7.1525E-106,1.3245E-101,14
AT4G14630,2.40,9.02183E-51,1.67066E-46,14
AT2G18690,2.15,5.52096E-82,1.02237E-77,14
AT1G02930,2.12,4.03324E-62,7.46875E-58,14
AT3G51920,2.00,4.0265E-101,7.45635E-97,14
AT3G07195,1.91,1.10879E-93,2.05325E-89,14
AT1G02360,1.88,1.12903E-38,2.09073E-34,14
AT4G39940,1.83,6.96645E-74,1.29005E-69,14
AT1G02920,1.81,5.11689E-24,9.47545E-20,14
AT4G39950,1.74,2.53198E-22,4.68871E-18,14
AT4G28703,1.72,2.8239E-96,5.22929E-92,14
AT3G18710,1.71,7.99943E-83,1.48133E-78,14
AT1G21130,1.71,3.55762E-39,6.588E-35,14
AT5G67450,1.71,1.3454E-96,2.49141E-92,14
AT1G53625,1.68,5.68604E-52,1.05294E-47,14
AT3G48450,1.67,9.19042E-20,1.70188E-15,14
AT1G65845,1.67,2.078E-56,3.84804E-52,14
AT2G22880,1.59,7.44527E-33,1.37872E-28,14
AT3G52400,1.54,1.52233E-61,2.81905E-57,14
AT2G31345,1.54,2.4562E-21,4.54839E-17,14
AT3G13433,1.52,5.10414E-54,9.45185E-50,14
AT2G41100,1.49,9.46337E-27,1.75243E-22,14
AT2G01670,1.48,3.55051E-33,6.57483E-29,14
AT5G54500,1.48,2.92169E-60,5.41038E-56,14
AT2G43000,1.45,1.24871E-27,2.31236E-23,14
AT4G28150,1.44,6.86311E-43,1.27091E-38,14
AT5G19240,1.44,2.79082E-44,5.16804E-40,14
AT1G13520,1.44,2.91454E-48,5.39714E-44,14
AT2G38790,1.44,5.14149E-27,9.52101E-23,14
AT5G47710,1.43,6.74874E-75,1.24973E-70,14
AT3G07600,1.43,1.63945E-60,3.03593E-56,14
AT5G61210,1.43,8.45376E-61,1.56547E-56,14
AT2G32030,1.41,3.74105E-74,6.92768E-70,14
AT5G42440,1.39,3.10825E-98,5.75586E-94,14
AT4G38550,1.36,4.25386E-63,7.87729E-59,14
AT5G66675,1.30,4.59303E-86,8.50537E-82,14
AT1G51700,1.29,2.98695E-50,5.53123E-46,14
AT4G31550,1.28,3.12187E-47,5.78107E-43,14
AT3G05200,1.25,2.38462E-47,4.41584E-43,14
AT1G14550,1.25,1.09571E-28,2.02903E-24,14
AT1G75000,1.25,8.86967E-44,1.64249E-39,14
AT2G24570,1.24,1.51269E-41,2.80121E-37,14
AT5G47910,1.24,3.29933E-37,6.10971E-33,14
AT5G27765,1.24,1.70393E-51,3.15534E-47,14
AT5G22630,1.24,3.34883E-36,6.20137E-32,14
AT4G28460,1.22,4.10662E-47,7.60464E-43,14
AT2G35000,1.22,1.27031E-61,2.35236E-57,14
AT3G21520,1.20,1.64305E-22,3.04259E-18,14
AT1G11670,1.18,6.75086E-34,1.25012E-29,14
AT1G10340,1.18,3.87309E-57,7.17218E-53,14
AT3G46700,1.18,4.11606E-23,7.62211E-19,14
AT2G05940,1.16,1.98117E-35,3.66874E-31,14
AT5G48657,1.16,5.41196E-32,1.00219E-27,14
AT4G34180,1.14,8.01439E-37,1.4841E-32,14
AT5G19230,1.13,1.02863E-26,1.90481E-22,14
AT3G61390,1.13,6.36787E-24,1.1792E-19,14
AT5G39670,1.13,2.24942E-18,4.16547E-14,14
AT5G25280,1.13,4.30673E-41,7.9752E-37,14
AT2G48010,1.13,9.69021E-65,1.79443E-60,14
AT4G23190,1.13,1.41105E-50,2.61298E-46,14
AT2G44370,1.13,1.39944E-21,2.59149E-17,14
AT3G28940,1.12,5.95861E-34,1.10341E-29,14
AT3G27210,1.12,6.15967E-38,1.14065E-33,14
AT2G26560,1.11,1.63299E-16,3.02396E-12,14
AT2G01180,1.11,1.67333E-54,3.09867E-50,14
AT5G58430,1.10,2.67672E-54,4.95675E-50,14
AT3G21070,1.10,1.80577E-29,3.34392E-25,14
AT5G18150,1.10,7.9619E-49,1.47438E-44,14
AT1G21110,1.09,3.74456E-17,6.93418E-13,14
AT1G76360,1.09,7.36129E-51,1.36316E-46,14
AT1G52200,1.09,1.66826E-16,3.08928E-12,14
AT2G24180,1.09,7.35362E-35,1.36174E-30,14
AT2G36690,1.09,1.12941E-40,2.09144E-36,14
AT4G20780,1.08,4.49643E-28,8.32649E-24,14
AT4G02410,1.08,3.8052E-52,7.04647E-48,14
AT2G15220,1.07,3.8397E-08,0.000711036,14
AT2G47130,1.07,5.02971E-36,9.31402E-32,14
AT5G12940,1.07,9.91322E-30,1.83573E-25,14
AT2G26190,1.06,1.05539E-35,1.95438E-31,14
AT1G61560,1.05,2.34379E-36,4.34024E-32,14
AT3G16450,1.05,9.61514E-36,1.78053E-31,14
AT5G01710,1.05,6.9185E-52,1.28117E-47,14
AT1G24145,1.05,1.89306E-46,3.50556E-42,14
AT1G53708,1.05,1.12504E-17,2.08334E-13,14
AT1G30720,1.05,1.56646E-16,2.90078E-12,14
AT5G58750,1.04,9.11166E-34,1.6873E-29,14
AT5G61600,1.04,2.666E-20,4.93691E-16,14
AT4G11850,1.04,2.89204E-44,5.35548E-40,14
AT1G32640,1.04,3.48329E-24,6.45035E-20,14
AT5G03630,1.02,9.34027E-31,1.72963E-26,14
AT5G46295,1.02,4.76592E-50,8.82554E-46,14
AT5G66280,1.02,1.4472E-21,2.67993E-17,14
AT4G34138,1.02,9.82802E-24,1.81995E-19,14
AT1G58420,1.01,1.01827E-50,1.88563E-46,14
AT3G17410,1.00,1.04864E-33,1.94187E-29,14
AT1G24150,1.00,7.75208E-38,1.43553E-33,14
AT1G06137,0.99,1.34551E-32,2.49161E-28,14
AT1G55775,0.99,3.84621E-24,7.12241E-20,14
AT5G19340,0.98,8.89365E-33,1.64693E-28,14
AT1G10480,0.98,1.62587E-08,0.000301079,14
AT1G21450,0.98,6.8355E-30,1.2658E-25,14
AT3G52430,0.97,4.59065E-30,8.50097E-26,14
AT1G10530,0.97,4.15964E-14,7.70283E-10,14
AT5G54470,0.95,3.18579E-29,5.89944E-25,14
AT1G67800,0.95,2.17576E-29,4.02907E-25,14
AT5G25250,0.94,2.38547E-17,4.41742E-13,14
AT5G48380,0.93,1.6869E-43,3.12381E-39,14
