Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT1G20850,3.83,1.1092E-187,2.0541E-183,12
AT4G23690,3.77,1.4124E-231,2.6154E-227,12
AT4G35350,3.27,7.2715E-99,1.34654E-94,12
AT5G03170,2.95,5.1756E-245,9.5842E-241,12
AT3G27200,2.82,5.12967E-81,9.49913E-77,12
AT3G56240,2.71,1.3292E-128,2.4614E-124,12
AT1G55210,2.69,1.6782E-130,3.1076E-126,12
AT2G13820,2.63,9.7941E-139,1.8137E-134,12
AT5G51890,2.59,2.91835E-30,5.4042E-26,12
AT5G02640,2.57,2.8164E-214,5.2154E-210,12
AT3G10080,2.45,3.3728E-185,6.2458E-181,12
AT1G77690,2.36,5.3367E-127,9.8826E-123,12
AT1G12080,2.32,3.2474E-135,6.0135E-131,12
AT2G28410,2.26,6.8199E-200,1.2629E-195,12
AT4G11210,2.17,8.28965E-70,1.53508E-65,12
AT5G15490,2.08,8.3847E-180,1.5527E-175,12
AT4G30670,2.06,1.8621E-119,3.4483E-115,12
AT2G27740,2.05,5.67894E-61,1.05163E-56,12
AT3G16920,2.02,1.10864E-27,2.05298E-23,12
AT5G59290,2.01,2.8435E-139,5.2656E-135,12
AT1G72230,1.99,1.17403E-97,2.17407E-93,12
AT3G18280,1.99,1.50688E-36,2.79043E-32,12
AT5G08370,1.98,2.4998E-154,4.6292E-150,12
AT2G04780,1.96,1.3829E-216,2.5609E-212,12
AT5G12870,1.95,2.64411E-61,4.89637E-57,12
AT2G04850,1.94,6.0084E-219,1.1126E-214,12
AT3G51030,1.94,2.1304E-209,3.945E-205,12
AT3G12110,1.92,4.8475E-164,8.9767E-160,12
AT5G60490,1.88,8.4746E-175,1.5693E-170,12
AT3G62020,1.86,2.36828E-90,4.38559E-86,12
AT5G26330,1.85,1.2131E-108,2.2464E-104,12
AT1G75280,1.81,3.15477E-69,5.842E-65,12
AT4G08685,1.78,2.7985E-187,5.1822E-183,12
AT3G51670,1.78,8.2045E-172,1.5193E-167,12
AT1G68810,1.76,8.2181E-188,1.5218E-183,12
AT3G21550,1.73,1.34729E-33,2.49491E-29,12
AT2G28315,1.72,5.83037E-65,1.07967E-60,12
AT3G55990,1.71,3.4997E-123,6.4807E-119,12
AT3G52900,1.70,8.77572E-69,1.62509E-64,12
AT5G44030,1.70,1.86438E-98,3.45246E-94,12
AT1G55330,1.69,5.2853E-102,9.78724E-98,12
AT1G62480,1.68,6.22507E-76,1.15276E-71,12
AT5G38610,1.67,3.46346E-37,6.41363E-33,12
AT4G27435,1.67,1.44269E-57,2.67156E-53,12
AT5G16490,1.66,5.09757E-75,9.43968E-71,12
AT1G63120,1.65,1.47257E-63,2.72691E-59,12
AT4G24780,1.65,1.6667E-135,3.0864E-131,12
AT2G36355,1.64,4.00799E-67,7.422E-63,12
AT1G29050,1.64,3.26694E-80,6.04971E-76,12
AT5G60020,1.60,2.35629E-23,4.36338E-19,12
AT1G32100,1.60,8.46933E-32,1.56835E-27,12
AT4G15802,1.60,3.7639E-226,6.97E-222,12
AT2G40320,1.59,1.1718E-156,2.17E-152,12
AT2G38080,1.59,2.18837E-29,4.05243E-25,12
AT4G09890,1.58,2.5694E-135,4.758E-131,12
AT5G43700,1.58,2.71515E-81,5.02792E-77,12
AT1G79620,1.57,1.9999E-132,3.7035E-128,12
AT2G31360,1.55,6.58975E-95,1.22029E-90,12
AT4G37450,1.52,1.68357E-65,3.11763E-61,12
AT5G03260,1.49,1.00869E-24,1.8679E-20,12
AT5G17420,1.48,3.91028E-63,7.24106E-59,12
AT2G38320,1.48,1.59384E-74,2.95147E-70,12
AT3G29360,1.47,1.1002E-157,2.0374E-153,12
AT5G14510,1.45,3.03083E-51,5.6125E-47,12
AT5G61340,1.43,1.47528E-98,2.73193E-94,12
AT1G02640,1.43,6.74192E-67,1.24847E-62,12
AT1G47410,1.42,4.6391E-139,8.5907E-135,12
AT1G58070,1.42,6.48796E-33,1.20144E-28,12
AT2G04800,1.42,1.5466E-126,2.8641E-122,12
AT2G14890,1.40,7.8094E-107,1.4462E-102,12
AT1G72150,1.40,1.37594E-74,2.54797E-70,12
AT5G60650,1.37,9.11175E-95,1.68731E-90,12
AT1G62981,1.36,3.05004E-83,5.64806E-79,12
AT3G18660,1.34,1.8366E-128,3.4009E-124,12
AT3G50220,1.34,1.0455E-23,1.93606E-19,12
AT4G14130,1.33,2.13515E-45,3.95388E-41,12
AT2G26730,1.33,3.3163E-116,6.1411E-112,12
