Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT4G34970,3.53,1.1558E-113,2.1404E-109,11
AT2G04025,3.20,1.5605E-182,2.8897E-178,11
AT1G13620,2.87,9.84472E-95,1.82305E-90,11
AT1G04610,2.86,9.9563E-162,1.8437E-157,11
AT2G30860,2.54,6.3921E-114,1.1837E-109,11
AT2G01420,2.17,6.8779E-208,1.2736E-203,11
AT5G02380,1.93,6.8415E-112,1.2669E-107,11
AT4G39950,1.93,2.79385E-83,5.17365E-79,11
AT2G39700,1.87,3.9951E-113,7.398E-109,11
AT5G09960,1.85,5.2444E-227,9.7115E-223,11
AT2G28790,1.85,1.00147E-84,1.85452E-80,11
AT5G57420,1.74,2.5592E-103,4.7391E-99,11
AT1G78520,1.67,1.97192E-71,3.6516E-67,11
AT4G31500,1.56,1.79484E-93,3.32369E-89,11
AT2G03830,1.52,1.1961E-119,2.215E-115,11
AT3G01840,1.43,1.5096E-124,2.7955E-120,11
AT2G28900,1.43,4.4725E-130,8.2822E-126,11
AT4G14690,1.43,9.5536E-110,1.7691E-105,11
AT5G51550,1.40,2.6618E-125,4.9291E-121,11
AT3G60650,1.36,2.4471E-111,4.5316E-107,11
AT1G06980,1.36,5.07403E-91,9.39608E-87,11
AT4G37940,1.36,2.9967E-150,5.5494E-146,11
AT1G17400,1.33,1.4842E-102,2.74842E-98,11
AT3G14362,1.31,7.24042E-60,1.34078E-55,11
AT1G56680,1.28,1.77846E-67,3.29335E-63,11
AT3G53040,1.27,3.32277E-63,6.1531E-59,11
AT4G27520,1.21,3.17687E-76,5.88293E-72,11
AT2G21050,1.21,6.12911E-83,1.13499E-78,11
AT1G09570,1.20,7.3321E-138,1.3578E-133,11
AT2G18230,1.18,2.7996E-100,5.18428E-96,11
AT3G24520,1.17,1.28411E-79,2.37791E-75,11
AT5G59790,1.15,3.50216E-80,6.4853E-76,11
AT1G18250,1.13,4.43282E-83,8.2087E-79,11
AT4G15248,1.11,1.34459E-83,2.4899E-79,11
AT3G60900,1.10,9.3051E-99,1.72311E-94,11
AT5G02070,1.08,3.1485E-100,5.83044E-96,11
AT2G05330,1.06,1.8582E-106,3.441E-102,11
AT1G10530,1.05,6.25613E-41,1.15851E-36,11
AT3G20840,1.04,1.3278E-114,2.4588E-110,11
AT1G26680,1.02,3.74826E-66,6.94103E-62,11
AT3G10780,1.01,6.60016E-93,1.22222E-88,11
AT2G46990,1.00,4.80409E-56,8.89621E-52,11
AT1G56170,0.99,6.43489E-61,1.19161E-56,11
AT5G39820,0.98,1.2537E-48,2.3216E-44,11
AT4G35720,0.98,1.16535E-81,2.15799E-77,11
AT2G23050,0.98,6.124E-79,1.13404E-74,11
AT1G06040,0.96,4.69202E-66,8.68869E-62,11
AT3G23570,0.95,1.2795E-95,2.36938E-91,11
AT3G02245,0.94,3.4123E-52,6.3189E-48,11
