Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT2G05790,0.77,6.63256E-12,8.76294E-08,1
AT5G22300,0.76,8.93479E-13,1.18046E-08,1
AT4G10640,0.76,1.10089E-15,1.4545E-11,1
AT2G20450,0.76,9.67527E-15,1.2783E-10,1
AT1G77940,0.76,2.15213E-19,2.8434E-15,1
AT2G47610,0.76,1.1432E-25,1.5104E-21,1
AT5G58420,0.76,5.40289E-20,7.1383E-16,1
AT5G15200,0.76,2.15639E-30,2.84903E-26,1
AT5G23900,0.75,1.37979E-21,1.82298E-17,1
AT2G19750,0.75,2.06747E-17,2.73154E-13,1
AT1G67810,0.75,1.00844E-10,1.33235E-06,1
AT3G48930,0.75,6.52769E-26,8.62439E-22,1
AT4G27090,0.75,6.44497E-36,8.5151E-32,1
AT1G30550,0.75,7.53452E-14,9.95461E-10,1
AT3G25520,0.74,4.1459E-23,5.47756E-19,1
AT3G13510,0.74,2.41016E-13,3.1843E-09,1
AT2G42740,0.74,2.85889E-12,3.77717E-08,1
AT3G09630,0.74,8.09198E-17,1.06911E-12,1
AT1G57660,0.74,1.5926E-19,2.10414E-15,1
AT2G36170,0.74,7.08198E-17,9.35672E-13,1
AT5G16130,0.74,5.19224E-25,6.85999E-21,1
AT1G23290,0.73,2.69555E-20,3.56136E-16,1
AT5G59850,0.73,6.88909E-15,9.10186E-11,1
AT1G26880,0.73,2.97443E-18,3.92981E-14,1
AT2G43535,0.73,7.04002E-07,0.009301272,1
AT3G45030,0.72,4.10545E-20,5.42411E-16,1
AT5G09510,0.72,2.25045E-16,2.9733E-12,1
AT4G18100,0.72,8.83541E-22,1.16733E-17,1
AT1G09590,0.72,1.64942E-15,2.17921E-11,1
AT3G62530,0.72,7.62377E-18,1.00725E-13,1
AT1G54690,0.72,1.50194E-07,0.001984366,1
AT1G15250,0.72,1.17771E-12,1.55599E-08,1
AT5G48360,0.72,6.47662E-14,8.55691E-10,1
AT1G20220,0.72,1.06037E-11,1.40096E-07,1
AT3G16080,0.72,8.61646E-20,1.13841E-15,1
AT3G09200,0.72,2.30814E-20,3.04952E-16,1
AT3G18130,0.71,7.63928E-11,1.0093E-06,1
AT2G40205,0.71,2.98484E-19,3.94357E-15,1
AT2G36930,0.71,1.72195E-14,2.27504E-10,1
AT1G67430,0.71,2.89441E-27,3.8241E-23,1
AT3G05560,0.71,1.43483E-18,1.8957E-14,1
AT2G03830,0.71,1.43765E-08,0.000189942,1
AT3G11940,0.71,2.86514E-31,3.78543E-27,1
AT1G41880,0.71,3.82218E-20,5.04987E-16,1
AT1G27400,0.71,3.8156E-21,5.04118E-17,1
AT1G74060,0.70,9.98888E-16,1.31973E-11,1
AT5G61170,0.70,1.88463E-14,2.48997E-10,1
AT2G41650,0.70,1.29833E-16,1.71535E-12,1
AT1G72370,0.70,9.30991E-21,1.23003E-16,1
AT1G74100,0.69,3.6208E-08,0.00047838,1
AT1G23410,0.69,2.15953E-12,2.85317E-08,1
AT1G18540,0.69,4.60826E-18,6.08843E-14,1
AT1G73940,0.69,1.88276E-15,2.4875E-11,1
AT3G07880,0.69,1.35203E-12,1.7863E-08,1
AT4G39940,0.69,7.58534E-08,0.001002175,1
AT4G16720,0.69,1.47546E-25,1.94938E-21,1
AT3G44010,0.69,3.19747E-18,4.22449E-14,1
AT5G09650,0.68,8.83438E-11,1.1672E-06,1
AT3G60770,0.68,1.21141E-25,1.60052E-21,1
AT2G18020,0.68,9.68557E-24,1.27966E-19,1
AT4G31360,0.68,5.62998E-15,7.43833E-11,1
AT5G42630,0.68,2.14066E-10,2.82824E-06,1
AT4G28410,0.68,6.26405E-13,8.27606E-09,1
AT5G27700,0.68,6.62799E-21,8.7569E-17,1
AT5G60890,0.68,5.52231E-08,0.000729607,1
