Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT2G33790,1.71,6.16838E-15,8.96142E-11,1
AT3G29250,1.61,8.67962E-46,1.26097E-41,1
AT4G19030,1.61,9.44346E-32,1.37195E-27,1
AT3G09260,1.55,2.91083E-59,4.22885E-55,1
AT3G26520,1.15,8.00138E-14,1.16244E-09,1
AT3G16450,1.06,4.75032E-19,6.90126E-15,1
AT1G28290,1.06,3.0496E-28,4.43045E-24,1
AT3G16240,1.04,8.844E-20,1.28486E-15,1
AT3G16420,1.03,2.02796E-36,2.94622E-32,1
AT4G14880,1.02,1.69779E-45,2.46655E-41,1
AT5G47990,1.00,1.66319E-23,2.41628E-19,1
AT5G15230,0.99,6.32403E-18,9.18756E-14,1
AT3G16400,0.98,1.14419E-18,1.66229E-14,1
AT4G22230,0.96,9.48135E-22,1.37745E-17,1
AT3G50640,0.93,1.58893E-24,2.3084E-20,1
AT3G08030,0.91,4.64607E-37,6.74982E-33,1
AT1G41830,0.91,2.36649E-28,3.43804E-24,1
AT4G37410,0.90,2.56736E-19,3.72986E-15,1
AT1G78040,0.89,1.93717E-51,2.81432E-47,1
AT3G16430,0.89,4.36879E-27,6.34698E-23,1
AT2G43535,0.88,9.81971E-12,1.42661E-07,1
AT5G53250,0.87,3.23017E-20,4.6928E-16,1
AT5G26280,0.87,1.04527E-25,1.51856E-21,1
AT1G62480,0.87,4.67966E-14,6.79862E-10,1
AT2G38120,0.85,1.829E-34,2.65717E-30,1
AT5G44585,0.85,3.58161E-18,5.20337E-14,1
AT1G77330,0.84,2.11721E-19,3.07589E-15,1
AT1G65845,0.84,1.45352E-27,2.11168E-23,1
AT1G09560,0.83,2.71108E-34,3.93866E-30,1
AT1G63220,0.83,6.20053E-13,9.00813E-09,1
AT5G03240,0.82,1.10867E-18,1.61067E-14,1
AT1G49240,0.80,6.0186E-20,8.74383E-16,1
AT1G04250,0.80,7.92334E-19,1.1511E-14,1
AT1G36060,0.79,6.28274E-18,9.12756E-14,1
AT5G47950,0.79,3.01252E-32,4.37659E-28,1
AT1G03870,0.77,2.48333E-18,3.60778E-14,1
AT3G56800,0.75,8.65628E-26,1.25758E-21,1
AT5G48000,0.75,2.75781E-19,4.00655E-15,1
AT1G66800,0.75,5.83791E-17,8.48131E-13,1
AT3G01470,0.74,1.68851E-32,2.45307E-28,1
AT3G14595,0.74,1.469E-31,2.13417E-27,1
AT1G54000,0.74,2.65923E-27,3.86333E-23,1
AT5G59290,0.73,3.35592E-27,4.87548E-23,1
AT5G64260,0.73,8.62318E-14,1.25278E-09,1
AT5G66280,0.73,5.64347E-17,8.19883E-13,1
AT5G12940,0.73,3.11828E-20,4.53023E-16,1
AT4G24275,0.73,1.27967E-18,1.85911E-14,1
AT4G22010,0.73,8.47855E-29,1.23176E-24,1
AT5G10430,0.72,4.45706E-11,6.47521E-07,1
AT4G31550,0.72,2.43955E-24,3.54418E-20,1
AT4G25250,0.72,2.40163E-19,3.48909E-15,1
AT5G19340,0.71,3.91841E-26,5.69267E-22,1
AT5G56320,0.71,3.43778E-12,4.9944E-08,1
AT5G19230,0.71,3.55381E-14,5.16298E-10,1
AT5G62340,0.70,5.44318E-09,7.90785E-05,1
AT1G05850,0.70,2.01226E-27,2.92342E-23,1
AT1G08200,0.70,3.94304E-23,5.72845E-19,1
AT2G34300,0.70,5.53459E-28,8.04065E-24,1
AT1G54030,0.69,4.13824E-21,6.01203E-17,1
AT5G27670,0.69,6.05219E-11,8.79262E-07,1
AT4G36640,0.69,8.61665E-25,1.25183E-20,1
AT2G22170,0.69,3.3901E-19,4.92514E-15,1
AT1G70490,0.68,4.44642E-20,6.45976E-16,1
AT1G76240,0.68,4.21695E-11,6.12638E-07,1
AT1G20696,0.68,3.62718E-22,5.26957E-18,1
AT4G30440,0.68,1.41966E-23,2.06248E-19,1
AT5G13870,0.68,1.88903E-12,2.74438E-08,1
AT1G73260,0.68,1.87228E-10,2.72005E-06,1
AT1G78570,0.67,1.22055E-16,1.77322E-12,1
AT2G06850,0.67,6.19733E-16,9.00347E-12,1
AT3G16460,0.67,2.97819E-25,4.32672E-21,1
AT3G17390,0.67,8.80716E-16,1.2795E-11,1
AT5G65660,0.66,4.14671E-13,6.02434E-09,1
AT1G03220,0.66,9.38246E-13,1.36308E-08,1
AT3G12610,0.66,3.41671E-27,4.9638E-23,1
AT3G23820,0.66,2.01163E-26,2.92249E-22,1
AT1G76670,0.66,8.70549E-30,1.26473E-25,1
AT3G04730,0.66,6.5202E-24,9.47254E-20,1
AT2G41475,0.65,2.50279E-25,3.63606E-21,1
AT3G44320,0.65,2.25616E-22,3.27775E-18,1
AT1G23190,0.65,3.68837E-24,5.35847E-20,1
AT5G42590,0.65,1.45807E-22,2.11829E-18,1
AT5G47200,0.64,1.72835E-23,2.51094E-19,1
AT1G11545,0.64,8.02417E-15,1.16575E-10,1
AT1G23490,0.64,1.20468E-16,1.75016E-12,1
AT1G78150,0.64,5.22195E-29,7.58646E-25,1
AT5G10830,0.64,4.28645E-16,6.22735E-12,1
AT3G15950,0.64,1.39036E-21,2.01991E-17,1
AT5G44110,0.64,3.29771E-12,4.79092E-08,1
AT1G74840,0.63,1.86254E-15,2.7059E-11,1
AT5G23420,0.63,1.87307E-07,0.0027212,1
AT3G54810,0.63,7.77596E-20,1.12969E-15,1
AT5G15350,0.63,5.87329E-24,8.53271E-20,1
AT3G54770,0.63,1.44159E-14,2.09434E-10,1
AT4G01610,0.63,2.13394E-26,3.10018E-22,1
AT3G15480,0.62,7.66559E-24,1.11366E-19,1
AT2G15490,0.62,1.28131E-15,1.86148E-11,1
AT5G26667,0.62,9.68421E-17,1.40692E-12,1
AT4G40040,0.62,1.14452E-12,1.66275E-08,1
AT5G35740,0.62,1.25523E-12,1.82359E-08,1
AT5G49460,0.62,3.71534E-27,5.39765E-23,1
AT2G28760,0.61,9.01018E-21,1.309E-16,1
AT2G40475,0.61,1.59667E-20,2.31964E-16,1
AT3G29360,0.61,3.67947E-24,5.34554E-20,1
AT1G65820,0.61,2.26664E-23,3.29298E-19,1
