Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT4G37450,0.97,2.61681E-26,4.0155E-22,1
AT4G31840,0.85,4.79364E-15,7.35584E-11,1
AT2G25060,0.80,4.40795E-11,6.76399E-07,1
AT4G33260,0.74,4.66138E-10,7.15288E-06,1
AT3G15357,0.72,6.07825E-32,9.32707E-28,1
AT4G12600,0.62,4.01147E-29,6.1556E-25,1
AT3G03130,0.61,6.03391E-18,9.25904E-14,1
AT3G51740,0.58,1.08402E-11,1.66343E-07,1
AT1G31335,0.57,1.52624E-18,2.34202E-14,1
AT3G23830,0.55,1.13137E-27,1.73609E-23,1
AT1G50490,0.54,2.18715E-17,3.35618E-13,1
AT4G13850,0.54,2.26175E-33,3.47066E-29,1
AT3G44750,0.54,2.10257E-20,3.2264E-16,1
AT3G58700,0.53,9.69377E-37,1.48751E-32,1
AT1G64220,0.53,8.96443E-31,1.37559E-26,1
AT2G25980,0.52,1.75738E-26,2.6967E-22,1
AT4G25630,0.51,1.66913E-21,2.56128E-17,1
AT3G57150,0.51,4.19398E-21,6.43567E-17,1
AT4G22235,0.50,9.32646E-14,1.43114E-09,1
AT1G63100,0.48,6.8722E-11,1.05454E-06,1
AT1G56110,0.48,2.61467E-21,4.01222E-17,1
AT5G27120,0.48,4.52252E-20,6.93981E-16,1
AT1G48920,0.47,2.54617E-17,3.9071E-13,1
AT2G03505,0.47,2.03609E-15,3.12439E-11,1
AT2G15000,0.45,6.34081E-22,9.72997E-18,1
AT2G20490,0.45,1.24671E-17,1.91308E-13,1
AT3G56070,0.44,9.30973E-22,1.42858E-17,1
AT3G03920,0.44,1.03507E-26,1.58832E-22,1
AT5G17160,0.44,1.86343E-15,2.85944E-11,1
AT3G02120,0.43,3.43927E-14,5.27757E-10,1
AT3G23990,0.43,2.16762E-18,3.32621E-14,1
AT5G02050,0.42,6.5037E-18,9.97994E-14,1
AT5G61030,0.41,4.17782E-14,6.41086E-10,1
AT5G66230,0.41,1.15405E-09,1.77089E-05,1
AT4G25340,0.40,5.05983E-12,7.7643E-08,1
AT3G09200,0.40,6.37406E-35,9.78099E-31,1
AT5G62190,0.40,2.45697E-18,3.77022E-14,1
AT5G14750,0.40,7.40715E-17,1.13663E-12,1
AT3G16780,0.39,6.92119E-20,1.06206E-15,1
AT1G02690,0.39,4.37277E-12,6.71002E-08,1
AT2G27710,0.39,9.40447E-35,1.44312E-30,1
AT1G52930,0.38,7.12026E-16,1.0926E-11,1
AT2G20450,0.38,3.17852E-24,4.87744E-20,1
AT1G74500,0.37,7.66416E-11,1.17607E-06,1
AT3G44590,0.37,9.71451E-21,1.49069E-16,1
