Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT5G10400,2.05,5.5831E-238,1.0339E-233,8
AT5G59870,1.89,8.7724E-198,1.6245E-193,8
AT1G09200,1.81,9.2175E-261,1.7069E-256,8
AT5G22880,1.80,8.0255E-228,1.4862E-223,8
AT5G65360,1.74,2.5003E-234,4.63E-230,8
AT3G27060,1.72,9.8773E-153,1.8291E-148,8
AT3G27360,1.65,1.2183E-170,2.2561E-166,8
AT3G54560,1.57,1.8628E-253,3.4495E-249,8
AT5G59690,1.54,3.0255E-206,5.6026E-202,8
AT5G59970,1.51,2.9966E-187,5.5491E-183,8
AT1G54690,1.50,3.7823E-199,7.0041E-195,8
AT1G07820,1.48,1.1322E-186,2.0967E-182,8
AT5G10390,1.47,2.7618E-154,5.1144E-150,8
AT3G45930,1.46,1.5164E-190,2.8081E-186,8
AT1G51060,1.45,1.3391E-187,2.4798E-183,8
AT3G46320,1.42,3.5885E-186,6.6452E-182,8
AT2G28740,1.38,4.2299E-159,7.833E-155,8
AT3G45980,1.38,2.2665E-193,4.1971E-189,8
AT3G46030,1.22,9.6956E-150,1.7954E-145,8
AT5G23420,1.21,6.6689E-126,1.2349E-121,8
AT4G27230,1.17,5.9845E-109,1.1082E-104,8
AT5G59910,1.13,2.7557E-157,5.103E-153,8
AT1G47210,1.10,1.7396E-144,3.2214E-140,8
AT1G07790,1.06,3.2762E-120,6.0668E-116,8
AT3G53730,1.04,4.5928E-102,8.50498E-98,8
AT3G14740,0.94,5.8374E-113,1.081E-108,8
AT3G46940,0.88,1.56292E-89,2.89421E-85,8
AT2G37470,0.87,3.33567E-60,6.17699E-56,8
AT2G30620,0.86,3.95946E-68,7.33212E-64,8
AT1G08880,0.80,1.72005E-65,3.18519E-61,8
AT1G14900,0.80,2.50662E-87,4.64175E-83,8
AT5G54970,0.79,4.1382E-110,7.663E-106,8
AT4G28310,0.79,2.84334E-54,5.26529E-50,8
AT2G27710,0.78,2.06895E-93,3.83127E-89,8
AT3G16080,0.75,1.44229E-81,2.67084E-77,8
AT2G32060,0.75,1.3689E-81,2.53494E-77,8
AT3G60245,0.74,1.23348E-95,2.28417E-91,8
AT1G06760,0.73,1.31536E-60,2.43579E-56,8
AT1G07370,0.73,3.5467E-100,6.56786E-96,8
AT5G16130,0.73,9.19441E-79,1.70262E-74,8
AT5G64140,0.73,9.16657E-75,1.69747E-70,8
AT2G33790,0.72,2.15272E-16,3.9864E-12,8
AT3G11120,0.72,2.5243E-70,4.67449E-66,8
AT5G27670,0.72,1.00522E-44,1.86147E-40,8
AT3G56020,0.72,3.31587E-73,6.14034E-69,8
AT4G13850,0.72,6.53724E-50,1.21057E-45,8
AT5G61170,0.70,4.67108E-86,8.64991E-82,8
AT3G07110,0.70,2.43785E-78,4.51442E-74,8
AT3G22230,0.70,6.93886E-77,1.28494E-72,8
AT2G40205,0.70,3.10056E-76,5.74162E-72,8
AT1G77940,0.70,1.54593E-81,2.86275E-77,8
AT3G55280,0.69,1.25479E-78,2.32361E-74,8
