Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT1G05260,4.37,0,0,13
AT4G11290,3.84,5.84372972870198e-311,1.0821E-306,13
AT2G14900,3.28,3.1173E-288,5.7727E-284,13
AT3G22600,3.25,5.5224E-136,1.0226E-131,13
AT4G12520,2.71,2.3324E-148,4.3192E-144,13
AT4G11190,2.69,8.4937E-161,1.5729E-156,13
AT3G23730,2.55,6.2193E-156,1.1517E-151,13
AT2G37170,2.48,6.3565E-181,1.1771E-176,13
AT1G55330,2.47,2.0059E-159,3.7145E-155,13
AT5G65390,2.40,1.4784E-175,2.7378E-171,13
AT2G36830,2.35,5.5104E-187,1.0204E-182,13
AT2G44790,2.35,7.7811E-197,1.4409E-192,13
AT3G54400,2.30,1.1703E-182,2.1672E-178,13
AT3G32980,2.27,2.207E-271,4.0869E-267,13
AT2G37180,2.20,9.9139E-86,1.83586E-81,13
AT1G13420,2.20,1.6106E-146,2.9825E-142,13
AT4G12510,2.17,1.99003E-97,3.68514E-93,13
AT3G22620,2.11,1.7861E-101,3.30754E-97,13
AT2G32300,2.10,7.8109E-188,1.4464E-183,13
AT1G62480,2.10,1.9241E-127,3.5631E-123,13
AT2G47930,2.09,4.0327E-192,7.4678E-188,13
AT3G61430,2.00,7.8866E-135,1.4604E-130,13
AT4G04830,1.93,3.367E-120,6.235E-116,13
AT5G57620,1.92,2.4556E-196,4.5473E-192,13
AT4G17280,1.91,1.9427E-241,3.5975E-237,13
AT3G52920,1.90,5.5817E-145,1.0336E-140,13
AT3G16240,1.87,1.6781E-127,3.1075E-123,13
AT4G37450,1.83,1.1899E-128,2.2034E-124,13
AT5G10430,1.79,1.892E-103,3.5035E-99,13
AT5G40450,1.77,4.3392E-125,8.0352E-121,13
AT1G16390,1.75,2.5543E-198,4.73E-194,13
AT5G65790,1.75,5.6236E-191,1.0414E-186,13
AT3G11660,1.74,3.1646E-131,5.8603E-127,13
AT1G17300,1.73,8.305E-129,1.5379E-124,13
AT2G45960,1.69,1.6326E-158,3.0233E-154,13
AT3G53420,1.66,2.1213E-115,3.9281E-111,13
AT1G01620,1.64,1.8267E-121,3.3827E-117,13
AT3G56240,1.63,1.95626E-75,3.6226E-71,13
AT1G75750,1.58,9.27397E-46,1.71735E-41,13
AT3G43800,1.57,2.9438E-127,5.4514E-123,13
AT1G12090,1.56,3.2686E-69,6.05279E-65,13
AT2G25160,1.55,6.4183E-129,1.1885E-124,13
AT2G28670,1.54,5.94496E-79,1.10089E-74,13
AT4G20260,1.54,9.96674E-96,1.84564E-91,13
AT4G35100,1.53,1.9355E-100,3.58412E-96,13
AT1G03870,1.52,1.03378E-86,1.91435E-82,13
AT5G24580,1.52,1.8192E-101,3.36874E-97,13
AT5G46890,1.52,1.08604E-72,2.01114E-68,13
AT2G30520,1.52,4.3119E-133,7.9848E-129,13
AT4G16270,1.52,2.8311E-173,5.2427E-169,13
AT5G15290,1.50,6.96509E-61,1.2898E-56,13
AT3G02770,1.50,1.8967E-135,3.5124E-131,13
AT1G76090,1.47,2.3571E-124,4.365E-120,13
AT3G05920,1.46,1.8445E-125,3.4157E-121,13
AT2G34070,1.45,3.02877E-95,5.60868E-91,13
AT5G28020,1.43,3.3357E-121,6.1771E-117,13
AT4G22110,1.43,2.1998E-203,4.0736E-199,13
AT2G30930,1.43,1.38269E-70,2.56047E-66,13
AT1G02900,1.42,6.61138E-46,1.2243E-41,13
AT1G20190,1.41,4.0593E-106,7.5169E-102,13
AT1G22640,1.40,2.0409E-108,3.7794E-104,13
AT5G13930,1.40,6.21422E-33,1.15075E-28,13
AT4G09030,1.37,3.248E-105,6.0146E-101,13
AT3G19030,1.37,3.6087E-81,6.68259E-77,13
AT5G15350,1.36,2.2355E-114,4.1397E-110,13
AT3G30180,1.36,2.4087E-122,4.4603E-118,13
AT5G53250,1.35,5.40934E-74,1.0017E-69,13
AT1G11580,1.35,2.36497E-79,4.37945E-75,13
AT3G19450,1.34,3.375E-100,6.24974E-96,13
AT1G11740,1.34,1.1853E-102,2.1949E-98,13
AT1G19450,1.33,1.5752E-108,2.9169E-104,13
AT1G49660,1.33,2.5719E-148,4.7626E-144,13
AT5G08640,1.32,4.92408E-47,9.11841E-43,13
AT3G56230,1.32,2.16237E-93,4.00428E-89,13
AT4G35080,1.31,4.6347E-186,8.5825E-182,13
AT4G37470,1.31,1.6407E-158,3.0383E-154,13
AT4G18930,1.31,1.7917E-143,3.3178E-139,13
AT4G12730,1.30,7.4678E-102,1.38289E-97,13
AT2G22000,1.30,1.0414E-184,1.9284E-180,13
AT4G00430,1.28,4.14432E-84,7.67445E-80,13
AT5G02270,1.28,1.69866E-75,3.14557E-71,13
AT1G78860,1.27,1.2303E-99,2.27818E-95,13
AT4G05100,1.27,2.15081E-61,3.98288E-57,13
AT1G48480,1.26,1.2574E-143,2.3284E-139,13
AT2G43150,1.26,1.68349E-74,3.11748E-70,13
AT3G45070,1.25,1.24481E-58,2.30514E-54,13
AT2G14890,1.25,1.04234E-73,1.9302E-69,13
AT3G50640,1.25,1.80735E-55,3.34685E-51,13
AT1G10200,1.24,2.21396E-92,4.09981E-88,13
AT5G24410,1.23,6.7421E-128,1.2485E-123,13
AT5G25460,1.22,2.42969E-63,4.4993E-59,13
AT3G06590,1.22,3.91822E-91,7.25576E-87,13
AT5G04120,1.20,2.2267E-40,4.12341E-36,13
AT4G34050,1.20,5.4467E-100,1.00863E-95,13
AT2G16720,1.20,4.69407E-33,8.69247E-29,13
AT3G23810,1.19,1.60905E-58,2.97963E-54,13
AT1G52760,1.18,1.49992E-76,2.77755E-72,13
AT1G72630,1.18,2.3544E-154,4.3598E-150,13
AT5G49800,1.18,1.8082E-123,3.3485E-119,13
AT1G16370,1.18,7.3995E-100,1.37024E-95,13
AT5G25890,1.16,3.00842E-73,5.571E-69,13
AT4G28100,1.15,1.0931E-117,2.0243E-113,13
AT5G51780,1.14,1.09235E-75,2.02282E-71,13
AT4G12420,1.14,5.1376E-102,9.51387E-98,13
AT3G51240,1.14,1.55029E-41,2.87083E-37,13
AT3G18820,1.13,1.6165E-123,2.9934E-119,13
AT2G31360,1.13,3.668E-60,6.79239E-56,13
AT5G06730,1.11,6.6678E-127,1.2347E-122,13
AT3G57010,1.11,3.45834E-66,6.40415E-62,13
AT4G24220,1.11,5.4209E-109,1.0038E-104,13
AT5G42500,1.10,5.4021E-100,1.00036E-95,13
AT3G07460,1.10,3.2645E-102,6.04526E-98,13
AT2G45180,1.10,1.01856E-53,1.88616E-49,13
AT5G54160,1.10,4.48693E-93,8.3089E-89,13
AT1G72150,1.10,7.16363E-61,1.32656E-56,13
AT3G49780,1.09,7.30057E-09,0.000135192,13
AT4G28840,1.09,1.00003E-70,1.85185E-66,13
AT4G22460,1.09,2.07859E-42,3.84914E-38,13
AT5G36180,1.08,8.1699E-116,1.5129E-111,13
AT4G28085,1.08,2.78922E-73,5.16509E-69,13
AT1G23205,1.08,1.12333E-97,2.08019E-93,13
AT2G31750,1.07,3.707E-113,6.8646E-109,13
AT1G44608,1.07,8.52718E-92,1.57906E-87,13
AT2G48030,1.07,2.41248E-83,4.46743E-79,13
AT1G72940,1.06,1.0073E-111,1.8653E-107,13
AT2G36410,1.05,3.18618E-73,5.90017E-69,13
AT5G13910,1.05,1.36104E-40,2.52036E-36,13
AT5G23750,1.04,2.15256E-63,3.98611E-59,13
AT1G78260,1.04,9.25069E-72,1.71304E-67,13
AT3G01220,1.03,4.0054E-63,7.4172E-59,13
AT2G46330,1.03,3.50003E-71,6.48136E-67,13
AT3G17820,1.02,1.5662E-104,2.9003E-100,13
AT1G11545,1.02,5.10669E-55,9.45658E-51,13
AT4G23870,1.02,1.79173E-59,3.31793E-55,13
AT5G18690,1.01,1.91327E-93,3.543E-89,13
AT3G22240,1.01,1.3802E-102,2.55586E-98,13
AT3G05900,1.00,1.85094E-64,3.42757E-60,13
AT1G12240,1.00,7.87062E-71,1.45748E-66,13
AT4G31470,1.00,7.32558E-83,1.35655E-78,13
AT3G30580,1.00,2.51793E-89,4.66271E-85,13
AT1G10960,1.00,6.48979E-58,1.20178E-53,13
AT4G10840,1.00,7.27656E-90,1.34747E-85,13
AT4G13340,1.00,5.02256E-84,9.30078E-80,13
AT2G36890,1.00,9.98091E-86,1.84826E-81,13
AT5G43760,0.99,3.30353E-92,6.11748E-88,13
AT1G61590,0.99,2.88677E-76,5.34572E-72,13
AT3G29370,0.99,3.01831E-66,5.5893E-62,13
AT5G08370,0.99,3.0294E-133,5.6098E-129,13
AT4G08770,0.99,1.68386E-59,3.11817E-55,13
AT5G45210,0.98,8.3433E-143,1.545E-138,13
AT4G32710,0.98,3.7545E-137,6.9526E-133,13
AT3G54220,0.98,4.4848E-109,8.3049E-105,13
AT5G08330,0.98,6.91347E-65,1.28024E-60,13
AT1G59940,0.97,2.33506E-75,4.32407E-71,13
AT1G22740,0.96,6.59535E-85,1.22133E-80,13
AT5G60890,0.96,3.04344E-67,5.63584E-63,13
AT2G36290,0.96,3.46327E-80,6.41328E-76,13
AT1G22530,0.95,1.52778E-61,2.82914E-57,13
AT1G14580,0.95,4.3704E-167,8.0932E-163,13
AT5G46900,0.95,1.21036E-32,2.24134E-28,13
AT2G36880,0.94,8.03277E-71,1.48751E-66,13
AT1G07750,0.93,9.76869E-63,1.80897E-58,13
AT3G54770,0.93,5.71202E-44,1.05775E-39,13
AT4G16447,0.93,5.8228E-113,1.0783E-108,13
AT2G29330,0.92,1.19714E-64,2.21687E-60,13
AT4G14750,0.92,2.14388E-70,3.97004E-66,13
AT1G25230,0.92,8.77869E-60,1.62564E-55,13
AT1G64640,0.92,1.39382E-41,2.58107E-37,13
AT2G23130,0.91,1.9494E-147,3.61E-143,13
AT4G17670,0.90,1.0947E-86,2.02717E-82,13
AT2G35880,0.90,1.50556E-63,2.788E-59,13
AT2G38170,0.89,9.06979E-68,1.67954E-63,13
AT1G28110,0.89,1.70175E-82,3.1513E-78,13
AT5G25770,0.89,1.91133E-70,3.53941E-66,13
AT1G09560,0.89,1.99973E-78,3.7031E-74,13
AT4G30170,0.88,2.54642E-63,4.71546E-59,13
AT3G07010,0.88,3.58924E-51,6.64655E-47,13
AT3G14310,0.88,2.08901E-75,3.86842E-71,13
AT5G39340,0.88,4.0701E-70,7.53701E-66,13
AT3G10525,0.88,1.5768E-48,2.91991E-44,13
AT5G64570,0.87,1.12645E-72,2.08595E-68,13
AT3G16180,0.87,6.38394E-69,1.18218E-64,13
AT2G38180,0.86,4.42747E-76,8.1988E-72,13
AT3G23690,0.86,5.00615E-65,9.27039E-61,13
AT5G58300,0.86,9.5802E-112,1.7741E-107,13
AT2G29550,0.85,3.71594E-53,6.88118E-49,13
AT2G45820,0.85,6.90343E-66,1.27838E-61,13
AT2G45310,0.84,8.09718E-58,1.49944E-53,13
AT5G15900,0.84,4.2261E-126,7.8258E-122,13
AT1G75780,0.83,1.1046E-46,2.04549E-42,13
AT4G01140,0.83,1.02999E-55,1.90733E-51,13
AT1G54580,0.83,2.66375E-39,4.93273E-35,13
AT3G07470,0.82,3.32929E-57,6.16518E-53,13
AT5G16590,0.82,2.0909E-58,3.87193E-54,13
AT4G23100,0.82,1.57055E-55,2.90835E-51,13
AT5G19190,0.82,4.5467E-45,8.41958E-41,13
AT1G65840,0.82,4.92193E-49,9.11443E-45,13
AT4G39070,0.82,2.63282E-45,4.87545E-41,13
AT1G72160,0.81,5.41528E-60,1.0028E-55,13
AT1G70230,0.81,4.39896E-80,8.146E-76,13
AT2G40970,0.80,1.13801E-47,2.10737E-43,13
AT5G64850,0.80,1.09983E-47,2.03666E-43,13
AT1G20840,0.80,8.72114E-58,1.61498E-53,13
AT2G40060,0.79,1.03317E-62,1.91323E-58,13
AT3G27390,0.79,4.59051E-52,8.5007E-48,13
AT2G46600,0.79,9.87269E-28,1.82822E-23,13
AT5G42100,0.79,1.48574E-49,2.7513E-45,13
AT5G45800,0.79,6.2858E-123,1.164E-118,13
AT4G14640,0.78,1.30913E-54,2.42424E-50,13
AT3G22840,0.78,5.49998E-25,1.01849E-20,13
AT3G24450,0.78,1.06468E-58,1.97158E-54,13
AT5G23860,0.77,2.03133E-37,3.76163E-33,13
AT1G09812,0.77,2.5566E-114,4.7343E-110,13
AT5G61130,0.77,6.09787E-42,1.1292E-37,13
AT1G76240,0.76,3.24989E-19,6.01815E-15,13
AT3G16850,0.76,1.04765E-51,1.94003E-47,13
AT5G07110,0.76,3.52429E-35,6.52627E-31,13
AT2G24040,0.76,2.77294E-52,5.13492E-48,13
AT5G16390,0.76,5.50237E-72,1.01893E-67,13
AT3G05150,0.76,7.46138E-85,1.3817E-80,13
AT1G14280,0.76,1.18486E-76,2.19412E-72,13
AT5G15230,0.75,1.06882E-21,1.97923E-17,13
AT3G55770,0.75,2.02937E-65,3.75798E-61,13
AT1G17970,0.75,2.04414E-84,3.78533E-80,13
AT1G15400,0.75,5.11372E-49,9.46958E-45,13
AT1G70670,0.75,2.28558E-68,4.23243E-64,13
AT4G26940,0.75,8.19412E-54,1.51739E-49,13
AT5G12250,0.75,2.49341E-43,4.61729E-39,13
AT5G03520,0.75,4.3358E-51,8.02904E-47,13
AT2G24260,0.74,2.23958E-44,4.14726E-40,13
AT1G09090,0.74,1.83099E-53,3.39063E-49,13
AT5G39240,0.74,8.51473E-38,1.57676E-33,13
AT5G19770,0.74,2.12644E-51,3.93774E-47,13
AT1G61740,0.74,1.14482E-49,2.11998E-45,13
AT2G16580,0.73,1.74913E-81,3.23903E-77,13
AT3G23820,0.73,2.07202E-41,3.83697E-37,13
