Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT3G23830,1.52,2.4866E-257,4.6047E-253,7
AT4G12600,1.38,2.1563E-232,3.9931E-228,7
AT4G25630,1.30,2.6217E-186,4.8549E-182,7
AT3G03920,1.27,1.179E-222,2.1832E-218,7
AT3G57150,1.26,7.3788E-197,1.3664E-192,7
AT4G15910,1.24,4.2682E-186,7.9038E-182,7
AT1G48920,1.23,1.7428E-170,3.2273E-166,7
AT4G13850,1.21,6.0542E-219,1.1211E-214,7
AT5G60670,1.19,6.7395E-241,1.248E-236,7
AT4G10450,1.17,8.9883E-228,1.6645E-223,7
AT3G58700,1.16,1.0242E-249,1.8967E-245,7
AT2G44120,1.16,2.1121E-286,3.9113E-282,7
AT2G32060,1.15,1.9075E-233,3.5323E-229,7
AT1G27400,1.15,3.5282E-264,6.5335E-260,7
AT5G27120,1.14,8.2222E-192,1.5226E-187,7
AT3G56070,1.14,4.2092E-224,7.7946E-220,7
AT2G37190,1.14,3.6947E-292,6.8418E-288,7
AT3G22230,1.14,1.3974E-276,2.5877E-272,7
AT3G44750,1.13,4.5472E-182,8.4206E-178,7
AT2G20490,1.12,6.5096E-173,1.2055E-168,7
AT5G16130,1.12,4.7382E-251,8.7742E-247,7
AT1G15930,1.12,4.8103E-265,8.9078E-261,7
AT5G62190,1.10,3.3642E-181,6.2298E-177,7
AT5G27850,1.10,7.8242E-296,1.4489E-291,7
AT3G16080,1.09,3.9424E-238,7.3006E-234,7
AT5G22650,1.09,9.2116E-196,1.7058E-191,7
AT3G07110,1.09,1.1336E-247,2.0993E-243,7
AT3G02080,1.09,1.5084E-267,2.7932E-263,7
AT4G16720,1.09,6.846E-301,1.2677E-296,7
AT2G19730,1.08,1.5413E-251,2.8542E-247,7
AT4G18730,1.08,1.2938E-233,2.3958E-229,7
AT3G45030,1.07,5.7227E-252,1.0597E-247,7
AT5G23740,1.07,4.4806E-266,8.2971E-262,7
AT1G25260,1.07,4.2027E-182,7.7825E-178,7
AT5G22440,1.06,4.5031E-232,8.3389E-228,7
AT5G52470,1.06,1.6175E-175,2.9953E-171,7
AT3G62870,1.06,4.502E-270,8.3367E-266,7
AT4G17390,1.05,4.263E-245,7.8943E-241,7
AT4G36130,1.05,7.9628E-237,1.4746E-232,7
AT2G18020,1.05,2.5646E-282,4.7492E-278,7
AT1G77940,1.05,4.6972E-236,8.6983E-232,7
AT3G15357,1.04,2.0596E-205,3.8139E-201,7
AT3G09200,1.04,3.8796E-205,7.1843E-201,7
AT3G53740,1.04,1.4652E-266,2.7133E-262,7
AT3G60245,1.03,4.419E-231,8.1831E-227,7
AT3G49010,1.03,2.3545E-274,4.36E-270,7
AT2G25210,1.02,1.2477E-203,2.3105E-199,7
AT5G23900,1.02,1.0556E-244,1.9548E-240,7
AT3G56020,1.02,1.5991E-192,2.9612E-188,7
AT4G00100,1.02,4.8526E-268,8.986E-264,7
AT2G20450,1.02,2.3443E-201,4.3411E-197,7
AT5G08180,1.02,2.307E-180,4.2721E-176,7
AT5G27700,1.01,3.161E-244,5.8535E-240,7
AT2G27710,1.01,4.3424E-237,8.0413E-233,7
AT3G59540,1.01,7.8175E-229,1.4477E-224,7
AT3G05560,1.01,6.5142E-249,1.2063E-244,7
AT5G47700,1.01,9.5606E-227,1.7704E-222,7
AT1G72370,1.01,2.3965E-236,4.4378E-232,7
AT1G22780,1.01,1.2171E-230,2.2538E-226,7
AT1G57660,1.00,8.7384E-249,1.6182E-244,7
AT3G61110,1.00,1.264E-241,2.3408E-237,7
AT5G15200,1.00,4.8229E-273,8.9311E-269,7
AT1G08360,1.00,2.1648E-241,4.0088E-237,7
AT5G58420,1.00,4.7787E-228,8.8492E-224,7
AT4G34670,1.00,2.5104E-247,4.6488E-243,7
AT5G02610,1.00,2.0918E-199,3.8737E-195,7
AT2G36160,1.00,3.1078E-262,5.755E-258,7
AT3G23390,1.00,2.6437E-196,4.8956E-192,7
AT1G48630,0.99,1.5411E-179,2.8538E-175,7
AT3G56340,0.99,1.0865E-260,2.012E-256,7
AT4G29410,0.99,7.2396E-215,1.3406E-210,7
AT2G42740,0.99,9.6088E-189,1.7794E-184,7
AT2G37270,0.99,3.7823E-218,7.0041E-214,7
AT2G21580,0.99,5.3368E-243,9.8826E-239,7
AT5G02960,0.99,2.2658E-246,4.1958E-242,7
AT2G47110,0.98,2.9783E-245,5.5152E-241,7
AT2G09990,0.98,7.1189E-205,1.3183E-200,7
AT5G45775,0.98,2.7824E-207,5.1525E-203,7
AT4G14320,0.98,6.2607E-206,1.1594E-201,7
AT3G11120,0.98,6.3617E-179,1.1781E-174,7
AT5G39740,0.98,2.0042E-227,3.7115E-223,7
AT1G29250,0.98,2.6128E-185,4.8384E-181,7
AT5G20290,0.97,6.169E-292,1.1424E-287,7
AT2G44860,0.97,5.9274E-179,1.0976E-174,7
AT1G56110,0.97,1.5036E-157,2.7844E-153,7
AT2G33370,0.97,1.2041E-235,2.2297E-231,7
AT3G25520,0.96,2.3931E-242,4.4315E-238,7
AT3G55280,0.96,9.0475E-198,1.6754E-193,7
AT3G28900,0.96,2.3947E-204,4.4346E-200,7
AT1G43170,0.96,2.359E-174,4.3684E-170,7
AT2G19740,0.96,2.1763E-212,4.03E-208,7
AT3G24830,0.96,1.2354E-278,2.2878E-274,7
AT1G09690,0.95,3.3741E-264,6.2482E-260,7
AT3G09500,0.95,1.4942E-231,2.7669E-227,7
AT3G04920,0.95,1.8279E-239,3.3848E-235,7
AT4G26110,0.95,2.1673E-171,4.0134E-167,7
AT5G18380,0.95,5.7691E-283,1.0683E-278,7
AT3G49910,0.95,1.3146E-264,2.4344E-260,7
AT5G27770,0.95,1.6144E-214,2.9896E-210,7
AT3G02560,0.95,2.4968E-217,4.6235E-213,7
AT5G28060,0.95,9.7896E-237,1.8128E-232,7
AT2G19750,0.94,9.3369E-188,1.729E-183,7
AT3G14600,0.94,6.0051E-246,1.112E-241,7
AT3G18130,0.93,1.2955E-160,2.399E-156,7
AT2G01250,0.93,4.9609E-243,9.1865E-239,7
AT5G07090,0.93,4.8659E-228,9.0107E-224,7
AT1G69620,0.93,1.3372E-220,2.4763E-216,7
AT3G05060,0.93,1.7363E-165,3.2153E-161,7
AT1G52300,0.93,1.6386E-245,3.0344E-241,7
AT5G64140,0.93,1.6639E-175,3.0813E-171,7
AT2G39390,0.93,1.9912E-189,3.6874E-185,7
AT2G40205,0.92,3.7836E-156,7.0064E-152,7
AT1G73230,0.92,8.2721E-220,1.5318E-215,7
AT1G74560,0.92,9.3942E-159,1.7396E-154,7
