Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT1G04040,1.73,4.2454E-279,7.8617E-275,5
AT2G18980,1.68,1.3749E-224,2.5461E-220,5
AT5G46890,1.51,5.2607E-125,9.7418E-121,5
AT1G27140,1.51,1.0998E-271,2.0366E-267,5
AT1G58270,1.50,2.352E-261,4.3553E-257,5
AT3G01190,1.40,1.0168E-119,1.8829E-115,5
AT4G30170,1.37,2.8222E-160,5.2261E-156,5
AT1G21750,1.32,2.7427E-288,5.079E-284,5
AT5G46900,1.30,8.85012E-91,1.63886E-86,5
AT3G54960,1.28,9.4939E-304,1.7581E-299,5
AT1G67330,1.23,5.6539E-223,1.047E-218,5
AT5G42020,1.17,3.8206E-148,7.075E-144,5
AT4G22666,1.16,4.22257E-80,7.81935E-76,5
AT1G66270,1.13,4.196E-163,7.7702E-159,5
AT3G20370,1.07,1.3129E-162,2.4313E-158,5
AT1G63220,1.03,2.1312E-170,3.9466E-166,5
AT3G02230,1.03,3.9904E-223,7.3894E-219,5
AT3G28550,1.03,2.60749E-98,4.82854E-94,5
AT3G03250,1.00,3.11E-201,5.7591E-197,5
AT5G39320,0.94,1.3598E-183,2.5181E-179,5
AT2G25810,0.93,6.1624E-117,1.1412E-112,5
AT3G26520,0.93,1.9739E-119,3.6553E-115,5
AT2G47650,0.92,4.215E-184,7.8054E-180,5
AT5G14030,0.92,1.1965E-244,2.2157E-240,5
AT4G30460,0.91,3.4373E-108,6.3652E-104,5
AT3G53370,0.88,9.5965E-212,1.7771E-207,5
AT2G20750,0.86,2.5475E-125,4.7174E-121,5
AT2G21160,0.85,3.36E-214,6.222E-210,5
AT5G48580,0.85,3.7192E-203,6.8872E-199,5
AT3G06300,0.85,4.9956E-155,9.2509E-151,5
AT2G32380,0.84,3.8539E-207,7.1367E-203,5
AT1G23720,0.83,3.2008E-100,5.9273E-96,5
AT5G14330,0.83,4.8565E-129,8.9932E-125,5
AT1G56340,0.82,7.5391E-126,1.3961E-121,5
AT3G17780,0.81,1.1682E-187,2.1633E-183,5
AT2G35610,0.81,5.0029E-161,9.2645E-157,5
AT2G17720,0.80,1.3433E-137,2.4875E-133,5
AT1G19360,0.80,6.9554E-143,1.288E-138,5
AT5G50460,0.79,1.4871E-131,2.7539E-127,5
AT3G18780,0.79,7.6145E-171,1.4101E-166,5
AT5G28540,0.78,2.07903E-92,3.84996E-88,5
AT3G62120,0.77,7.3743E-189,1.3656E-184,5
AT5G61790,0.76,2.13116E-91,3.94648E-87,5
AT1G13950,0.75,4.2541E-146,7.8778E-142,5
AT2G21045,0.75,9.0009E-110,1.6668E-105,5
AT5G58710,0.74,2.0798E-125,3.8514E-121,5
AT3G62600,0.73,1.8211E-125,3.3722E-121,5
AT3G61270,0.71,2.3839E-159,4.4145E-155,5
AT1G32210,0.71,7.7284E-179,1.4311E-174,5
AT3G15950,0.70,2.83008E-66,5.24075E-62,5
AT3G23190,0.70,9.1142E-185,1.6878E-180,5
AT4G00430,0.69,2.65296E-38,4.91276E-34,5
AT4G19030,0.69,1.61517E-97,2.99098E-93,5
AT2G24260,0.69,5.415E-151,1.0028E-146,5
AT1G62660,0.69,2.968E-112,5.4962E-108,5
AT4G30980,0.68,1.4918E-169,2.7625E-165,5
AT3G07680,0.67,2.1494E-142,3.9802E-138,5
AT1G56330,0.67,6.9082E-135,1.2793E-130,5
AT4G25570,0.66,1.52E-127,2.8148E-123,5
AT1G27330,0.66,3.67112E-96,6.79818E-92,5
AT3G23175,0.66,2.6956E-173,4.9917E-169,5
AT2G47690,0.66,1.2216E-135,2.2622E-131,5
AT2G03120,0.66,2.0255E-135,3.7508E-131,5
AT5G03760,0.65,8.7681E-140,1.6237E-135,5
AT1G09210,0.65,3.85277E-81,7.13455E-77,5
AT1G16000,0.65,4.2393E-113,7.8503E-109,5
AT1G47640,0.64,1.063E-139,1.9684E-135,5
AT1G16560,0.64,8.743E-121,1.619E-116,5
AT4G29520,0.64,9.0353E-111,1.6732E-106,5
AT1G20050,0.64,3.9953E-150,7.3986E-146,5
AT4G12510,0.64,4.93841E-40,9.14495E-36,5
AT2G34250,0.64,3.6202E-135,6.7039E-131,5
