Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT4G39675,2.58,2.03398E-30,2.98182E-26,1
AT3G49780,2.36,1.05599E-41,1.54808E-37,1
AT4G37790,2.15,8.82882E-55,1.2943E-50,1
AT2G22880,2.14,2.23343E-37,3.2742E-33,1
AT5G15970,2.13,9.92037E-33,1.45433E-28,1
AT4G30460,2.02,7.72588E-27,1.13261E-22,1
AT2G46680,2.00,6.18105E-64,9.06141E-60,1
AT3G53980,1.85,8.06785E-11,1.18275E-06,1
AT3G18280,1.84,2.39515E-21,3.51128E-17,1
AT2G33830,1.83,3.9389E-46,5.77443E-42,1
AT1G07590,1.81,3.77282E-27,5.53095E-23,1
AT1G28330,1.79,1.45009E-50,2.12583E-46,1
AT3G61060,1.77,4.73024E-47,6.93453E-43,1
AT5G60200,1.74,1.34952E-23,1.97839E-19,1
AT1G23040,1.69,4.31142E-34,6.32054E-30,1
AT1G13360,1.69,5.65003E-43,8.28294E-39,1
AT5G09440,1.69,1.9233E-40,2.81955E-36,1
AT1G09970,1.64,2.69127E-64,3.9454E-60,1
AT5G43180,1.60,1.72728E-24,2.53219E-20,1
AT5G47450,1.59,1.88825E-41,2.76817E-37,1
AT2G36320,1.58,1.20588E-57,1.76782E-53,1
AT3G03990,1.57,5.6647E-57,8.30445E-53,1
AT5G64260,1.57,3.51647E-61,5.15514E-57,1
AT2G37750,1.56,6.19437E-13,9.08094E-09,1
AT4G29905,1.54,6.48803E-22,9.51146E-18,1
AT5G23830,1.53,6.6736E-43,9.7835E-39,1
AT1G76410,1.52,7.5103E-35,1.10101E-30,1
AT4G15340,1.52,4.10037E-40,6.01114E-36,1
AT4G27410,1.51,3.35376E-36,4.91661E-32,1
AT3G47510,1.50,8.71167E-37,1.27713E-32,1
AT4G02590,1.49,2.19474E-62,3.21749E-58,1
AT5G65660,1.45,7.18368E-49,1.05313E-44,1
AT4G34600,1.44,9.58228E-36,1.40476E-31,1
AT1G44800,1.44,6.80374E-27,9.97429E-23,1
AT4G34230,1.43,3.89468E-50,5.7096E-46,1
AT3G11340,1.43,8.91016E-33,1.30623E-28,1
AT1G03220,1.43,3.64956E-29,5.35025E-25,1
AT4G30960,1.42,8.2242E-64,1.20567E-59,1
AT4G28290,1.39,8.0062E-34,1.17371E-29,1
AT1G55210,1.38,5.58442E-38,8.18676E-34,1
AT3G11280,1.37,1.04582E-39,1.53317E-35,1
AT5G19875,1.36,1.31604E-44,1.92932E-40,1
AT3G25710,1.33,6.75911E-29,9.90886E-25,1
AT5G19120,1.32,1.69502E-42,2.4849E-38,1
AT1G15380,1.32,5.31089E-22,7.78576E-18,1
AT1G80920,1.30,8.40411E-37,1.23204E-32,1
AT5G37540,1.28,3.9719E-31,5.82281E-27,1
AT4G33420,1.28,1.12042E-23,1.64254E-19,1
AT1G67810,1.27,3.5865E-29,5.25782E-25,1
AT1G06570,1.26,1.07081E-44,1.56981E-40,1
AT5G03240,1.26,3.06043E-69,4.48659E-65,1
AT4G30450,1.25,2.37079E-10,3.47557E-06,1
AT5G20160,1.23,3.87544E-36,5.68139E-32,1
AT3G44326,1.23,4.35246E-26,6.38071E-22,1
AT4G29930,1.23,1.08347E-31,1.58836E-27,1
AT1G01550,1.22,4.25943E-57,6.24433E-53,1
AT4G33550,1.22,5.40224E-14,7.91969E-10,1
AT3G10985,1.20,1.3779E-39,2.02E-35,1
AT1G64720,1.20,1.09561E-36,1.60616E-32,1
AT1G52342,1.20,4.5951E-15,6.73642E-11,1
AT2G24550,1.20,1.43376E-43,2.1019E-39,1
AT2G03730,1.19,9.70991E-34,1.42347E-29,1
AT5G54980,1.19,4.92489E-35,7.21989E-31,1
AT5G51850,1.19,9.21528E-18,1.35096E-13,1
AT3G15450,1.18,1.52449E-21,2.2349E-17,1
AT5G59780,1.18,7.19138E-36,1.05426E-31,1
AT5G35110,1.17,3.10919E-13,4.55807E-09,1
AT1G21050,1.17,4.28492E-18,6.28169E-14,1
AT2G33310,1.16,8.03568E-32,1.17803E-27,1
