Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT1G49310,1.15,3.12314E-26,4.57853E-22,1
AT5G44005,1.15,1.73574E-26,2.5446E-22,1
AT1G61660,1.14,3.97564E-18,5.82829E-14,1
AT3G11660,1.13,1.11844E-34,1.63963E-30,1
AT3G59940,1.13,1.95168E-26,2.86116E-22,1
AT1G23800,1.13,1.17617E-23,1.72426E-19,1
AT5G20020,1.12,4.99838E-40,7.32763E-36,1
AT3G13910,1.11,7.72426E-31,1.13238E-26,1
AT2G44940,1.11,1.03895E-15,1.5231E-11,1
AT2G16720,1.11,7.30219E-29,1.0705E-24,1
AT1G62990,1.11,7.10751E-30,1.04196E-25,1
AT2G41100,1.11,1.15829E-17,1.69805E-13,1
AT4G17340,1.10,2.15385E-20,3.15755E-16,1
AT2G23810,1.10,3.01207E-31,4.4157E-27,1
AT4G01450,1.07,4.69362E-17,6.88085E-13,1
AT4G02520,1.07,1.56725E-11,2.29759E-07,1
AT4G24060,1.07,1.5943E-33,2.33725E-29,1
AT3G48530,1.07,1.56183E-44,2.28964E-40,1
AT2G02100,1.06,6.59359E-14,9.6662E-10,1
AT4G39190,1.06,6.35925E-10,9.32266E-06,1
AT1G56580,1.06,3.94173E-28,5.77857E-24,1
AT1G61820,1.06,5.05189E-27,7.40607E-23,1
AT1G74840,1.06,5.73815E-51,8.41213E-47,1
AT5G58787,1.05,5.1581E-37,7.56177E-33,1
AT1G76790,1.05,3.78131E-19,5.54339E-15,1
AT2G22080,1.04,2.91614E-31,4.27507E-27,1
AT4G05070,1.04,2.39123E-30,3.50554E-26,1
AT2G22122,1.03,9.91355E-11,1.45333E-06,1
AT1G50640,1.03,1.1605E-38,1.7013E-34,1
AT5G18130,1.03,2.7902E-25,4.09044E-21,1
AT5G46780,1.03,3.69521E-22,5.41718E-18,1
AT1G75540,1.03,3.21994E-31,4.72043E-27,1
AT2G25900,1.02,1.59678E-12,2.34088E-08,1
AT1G63180,1.02,2.71919E-14,3.98633E-10,1
AT4G04840,1.02,1.04814E-17,1.53658E-13,1
AT1G24530,1.02,2.2779E-21,3.3394E-17,1
AT5G62770,1.01,3.6977E-23,5.42082E-19,1
AT2G37180,1.01,6.8961E-19,1.01097E-14,1
AT1G48750,1.01,2.58107E-22,3.78384E-18,1
AT5G46730,1.01,5.96631E-22,8.74662E-18,1
AT3G26760,1.01,7.27058E-28,1.06587E-23,1
AT2G30860,1.00,3.72154E-27,5.45578E-23,1
AT1G21140,1.00,3.94832E-09,5.78824E-05,1
AT1G15420,0.98,1.18437E-35,1.73628E-31,1
AT1G23760,0.98,4.92591E-23,7.22139E-19,1
AT5G05790,0.97,1.16849E-21,1.713E-17,1
AT5G13740,0.97,5.1102E-26,7.49156E-22,1
AT3G53260,0.97,2.92743E-15,4.29161E-11,1
AT2G31345,0.96,8.73394E-10,1.2804E-05,1
AT2G18196,0.96,3.83181E-23,5.61743E-19,1
AT2G04795,0.96,1.07597E-21,1.57737E-17,1
AT2G22800,0.96,3.97207E-24,5.82305E-20,1
AT1G75380,0.96,1.32685E-25,1.94517E-21,1
AT3G62990,0.95,1.63598E-15,2.39835E-11,1
AT4G16490,0.95,4.63004E-27,6.78764E-23,1
AT3G03150,0.95,6.98043E-30,1.02333E-25,1
AT3G10340,0.94,3.68458E-20,5.40159E-16,1
AT1G32640,0.94,1.26554E-14,1.85528E-10,1
AT3G22530,0.94,1.4162E-25,2.07615E-21,1
AT5G20900,0.93,1.10495E-29,1.61986E-25,1
AT1G27030,0.93,3.69104E-23,5.41106E-19,1
AT3G23090,0.93,1.43797E-23,2.10806E-19,1
AT3G12630,0.93,1.85601E-36,2.72091E-32,1
AT2G36120,0.93,1.79018E-10,2.6244E-06,1
AT3G25190,0.92,5.9957E-07,0.008789694,1
AT1G64660,0.92,1.63576E-17,2.39802E-13,1
AT2G46690,0.92,5.607E-12,8.21986E-08,1
AT2G28305,0.92,7.89384E-11,1.15724E-06,1
AT5G56760,0.92,4.82637E-39,7.07546E-35,1
AT2G28660,0.91,4.11517E-15,6.03284E-11,1
AT3G25910,0.91,7.70076E-39,1.12893E-34,1
AT1G32700,0.91,1.20359E-26,1.76446E-22,1
AT1G78600,0.90,5.53305E-28,8.11145E-24,1
AT5G39670,0.90,5.36594E-15,7.86647E-11,1
AT1G47128,0.89,2.11437E-32,3.09966E-28,1
AT2G15970,0.89,5.22154E-30,7.65477E-26,1
AT5G17300,0.89,5.76542E-21,8.4521E-17,1
AT4G22212,0.89,6.16514E-21,9.0381E-17,1
AT2G36420,0.89,1.02726E-23,1.50596E-19,1
AT3G26744,0.88,2.46027E-19,3.60676E-15,1
AT1G31050,0.88,1.27144E-23,1.86394E-19,1
AT4G15330,0.88,7.56991E-28,1.10975E-23,1
AT5G24530,0.88,3.38675E-18,4.96497E-14,1
AT5G61600,0.87,1.22199E-09,1.79144E-05,1
AT3G22930,0.87,4.29346E-17,6.29421E-13,1
AT5G47370,0.87,1.23563E-11,1.81143E-07,1
AT3G58190,0.87,2.22066E-14,3.25548E-10,1
AT5G42980,0.87,1.14275E-41,1.67527E-37,1
AT1G70300,0.87,3.49733E-30,5.12709E-26,1
AT4G28240,0.86,1.08737E-17,1.59409E-13,1
AT4G17030,0.86,6.80134E-16,9.97076E-12,1
AT1G51680,0.86,7.99102E-11,1.17148E-06,1
AT3G25930,0.86,4.81431E-16,7.05777E-12,1
AT4G35090,0.86,9.1581E-29,1.34258E-24,1
AT4G18610,0.85,1.00486E-17,1.47312E-13,1
AT4G35490,0.85,1.83013E-33,2.68297E-29,1
AT1G13930,0.85,1.65906E-16,2.43219E-12,1
AT2G41130,0.84,2.61227E-17,3.82959E-13,1
AT1G79180,0.84,4.31807E-18,6.3303E-14,1
AT3G11930,0.84,3.46792E-09,5.08398E-05,1
AT4G27260,0.84,4.46942E-07,0.006552171,1
AT2G20940,0.84,1.18855E-28,1.74241E-24,1
AT1G53580,0.83,1.67567E-25,2.45653E-21,1
AT2G47420,0.83,4.7316E-24,6.93653E-20,1
AT1G76990,0.83,5.3364E-28,7.82317E-24,1
AT1G75950,0.83,1.70742E-38,2.50308E-34,1
AT4G14410,0.82,1.69132E-31,2.47947E-27,1
AT1G15340,0.82,6.6974E-28,9.81839E-24,1
AT1G30760,0.82,3.28687E-15,4.81856E-11,1
AT3G54950,0.82,5.33345E-27,7.81884E-23,1
AT1G32100,0.82,5.96335E-13,8.74227E-09,1
AT5G37260,0.82,1.02302E-16,1.49975E-12,1
AT1G67360,0.82,2.59513E-17,3.80446E-13,1
AT2G21560,0.82,1.78472E-07,0.002616395,1
AT2G01670,0.82,1.63985E-16,2.40403E-12,1
AT5G57685,0.82,6.93486E-10,1.01665E-05,1
AT3G58710,0.81,3.05707E-19,4.48167E-15,1
AT5G06280,0.81,7.32179E-30,1.07337E-25,1
AT3G07350,0.80,4.94349E-18,7.24716E-14,1
AT3G61990,0.80,6.28003E-22,9.20652E-18,1
AT5G47730,0.80,6.65824E-22,9.76098E-18,1
AT5G23680,0.79,7.75908E-26,1.13748E-21,1
AT5G54160,0.79,2.64849E-20,3.88268E-16,1
AT1G18140,0.79,1.14209E-14,1.6743E-10,1
AT1G25550,0.79,3.37162E-20,4.9428E-16,1
AT2G34730,0.78,3.9848E-24,5.84171E-20,1
AT1G74660,0.78,2.34443E-15,3.43693E-11,1
AT2G36460,0.78,3.92054E-19,5.74751E-15,1
AT1G53910,0.77,3.141E-32,4.6047E-28,1
AT5G39660,0.77,8.83679E-22,1.29547E-17,1
AT5G16110,0.77,1.58253E-23,2.32E-19,1
AT3G47540,0.76,1.26542E-10,1.85511E-06,1
AT2G01850,0.76,4.66759E-18,6.84268E-14,1
AT1G67030,0.76,2.38616E-12,3.49811E-08,1
AT1G53560,0.76,1.53551E-21,2.25106E-17,1
AT2G28570,0.76,5.22595E-12,7.66124E-08,1
AT2G37040,0.76,2.43903E-13,3.57561E-09,1
AT2G17120,0.76,6.41901E-21,9.41027E-17,1
AT4G25030,0.76,4.13466E-29,6.06142E-25,1
AT1G28400,0.75,5.69654E-14,8.35113E-10,1
AT3G57870,0.75,3.89814E-23,5.71467E-19,1
AT4G28640,0.75,1.71459E-15,2.51359E-11,1
AT2G30490,0.75,3.42927E-16,5.02731E-12,1
AT3G52870,0.75,1.90481E-12,2.79245E-08,1
AT4G25170,0.75,1.31534E-22,1.92829E-18,1
AT4G13235,0.75,2.52123E-17,3.69613E-13,1
AT2G44300,0.74,1.17166E-09,1.71766E-05,1
AT3G04730,0.74,2.31601E-26,3.39527E-22,1
AT4G38580,0.74,4.49843E-16,6.5947E-12,1
AT5G05100,0.74,1.31051E-28,1.92121E-24,1
AT4G31730,0.74,6.28393E-11,9.21223E-07,1
AT2G28840,0.74,9.66778E-24,1.4173E-19,1
AT5G43260,0.74,1.52411E-20,2.23434E-16,1
AT5G61880,0.73,6.92767E-25,1.0156E-20,1
AT3G29240,0.73,1.44617E-16,2.12008E-12,1
AT4G38060,0.73,2.31094E-19,3.38783E-15,1
AT2G45710,0.73,1.24074E-25,1.81893E-21,1
AT5G06110,0.73,3.01021E-23,4.41296E-19,1
AT3G44720,0.72,3.91967E-11,5.74624E-07,1
AT5G59450,0.72,1.14699E-14,1.68149E-10,1
AT3G46600,0.72,1.01685E-12,1.4907E-08,1
AT1G14040,0.72,3.74897E-22,5.496E-18,1
AT3G16400,0.72,2.77193E-08,0.000406365,1
AT1G03040,0.72,5.57572E-22,8.17401E-18,1
AT1G18480,0.72,2.94156E-28,4.31232E-24,1
AT2G32070,0.72,1.1402E-24,1.67154E-20,1
AT2G39020,0.72,1.29371E-23,1.89657E-19,1
AT3G04670,0.72,1.42639E-21,2.09109E-17,1
AT5G35732,0.71,1.59047E-18,2.33163E-14,1
AT2G24260,0.71,1.36883E-24,2.0067E-20,1
AT2G38800,0.71,2.14458E-22,3.14396E-18,1
AT1G53210,0.71,4.8208E-25,7.06729E-21,1
AT5G58650,0.71,4.76733E-14,6.9889E-10,1
AT3G28200,0.71,3.24153E-18,4.75208E-14,1
AT4G25700,0.71,1.19079E-13,1.7457E-09,1
AT5G09590,0.71,6.35917E-18,9.32254E-14,1
AT5G03230,0.71,1.88404E-15,2.762E-11,1
AT4G23410,0.70,3.85316E-08,0.000564873,1
AT5G48930,0.70,1.8425E-16,2.7011E-12,1
AT4G34881,0.70,1.07429E-18,1.57491E-14,1
AT4G29100,0.70,3.84774E-18,5.64078E-14,1
AT5G65210,0.70,4.37698E-19,6.41665E-15,1
AT4G25130,0.70,1.9286E-24,2.82733E-20,1
AT1G01490,0.70,4.57633E-18,6.70891E-14,1
AT2G30440,0.69,3.71615E-26,5.44788E-22,1
AT1G60140,0.69,1.00781E-23,1.47745E-19,1
AT3G23430,0.69,3.87089E-15,5.67472E-11,1
AT5G24310,0.69,7.72404E-18,1.13234E-13,1
AT4G14430,0.69,1.15351E-22,1.69104E-18,1
AT4G28270,0.69,1.7892E-14,2.62296E-10,1
AT1G76810,0.69,1.2025E-21,1.76287E-17,1
AT3G14990,0.69,7.37253E-19,1.08081E-14,1
AT2G44160,0.69,1.23082E-14,1.80438E-10,1
AT1G22410,0.69,1.08028E-12,1.58369E-08,1
AT1G23390,0.69,6.34609E-17,9.30336E-13,1
AT2G23090,0.69,2.73711E-27,4.0126E-23,1
AT5G49400,0.68,3.14001E-26,4.60325E-22,1
AT3G15510,0.68,3.16981E-13,4.64695E-09,1
AT2G18510,0.68,7.23317E-23,1.06038E-18,1
AT2G38400,0.68,1.30434E-13,1.91216E-09,1
AT4G03180,0.68,4.9178E-23,7.20949E-19,1
AT4G32860,0.68,2.10323E-12,3.08334E-08,1
AT3G14230,0.68,3.07834E-22,4.51284E-18,1
AT1G70670,0.68,9.776E-11,1.43316E-06,1
AT4G25680,0.68,4.95651E-23,7.26625E-19,1
AT3G01290,0.68,1.17012E-12,1.71539E-08,1
AT1G78090,0.68,3.18662E-10,4.67158E-06,1
AT3G48450,0.67,8.89611E-08,0.00130417,1
AT1G49032,0.67,1.67676E-19,2.45814E-15,1
AT5G22630,0.67,5.18651E-11,7.60342E-07,1
AT5G10930,0.67,1.371E-13,2.00988E-09,1
AT1G73390,0.67,3.97267E-25,5.82393E-21,1
AT1G14740,0.67,1.03776E-19,1.52136E-15,1
AT1G61570,0.67,3.41514E-18,5.00659E-14,1
AT4G22820,0.67,3.06438E-19,4.49238E-15,1
AT5G01350,0.67,2.82496E-23,4.14139E-19,1
AT3G15352,0.67,2.12132E-24,3.10986E-20,1
AT5G14120,0.67,4.25074E-18,6.23158E-14,1
AT3G20898,0.66,5.70685E-19,8.36624E-15,1
AT5G55970,0.66,5.97319E-16,8.7567E-12,1
AT1G69850,0.66,4.90171E-13,7.18591E-09,1
AT3G55620,0.66,4.68046E-25,6.86156E-21,1
AT2G03820,0.66,3.13459E-19,4.59531E-15,1
AT2G46080,0.66,1.8493E-24,2.71108E-20,1
AT1G51700,0.66,7.39849E-15,1.08462E-10,1
AT1G02460,0.66,1.05547E-09,1.54732E-05,1
AT3G04530,0.65,1.82685E-08,0.000267817,1
AT2G38310,0.65,3.46381E-20,5.07795E-16,1
AT3G58680,0.65,3.23994E-25,4.74975E-21,1
AT1G02870,0.65,1.22439E-19,1.79496E-15,1
AT1G07200,0.65,4.3218E-22,6.33576E-18,1
AT4G32940,0.65,1.2037E-19,1.76462E-15,1
AT4G34120,0.65,1.30472E-24,1.91272E-20,1
AT5G66052,0.65,8.21527E-17,1.20436E-12,1
AT5G65670,0.65,7.77591E-26,1.13995E-21,1
AT4G25690,0.64,6.4641E-25,9.47636E-21,1
AT2G34070,0.64,2.09453E-11,3.07058E-07,1
AT4G31510,0.64,1.16937E-17,1.7143E-13,1
AT1G48920,0.64,9.25163E-14,1.35629E-09,1
AT5G14440,0.64,3.02642E-19,4.43674E-15,1
AT2G01490,0.64,5.79655E-24,8.49774E-20,1
AT3G17790,0.64,3.87253E-13,5.67714E-09,1
AT3G14362,0.64,7.08073E-14,1.03804E-09,1
AT5G21020,0.64,6.03705E-22,8.85032E-18,1
AT2G16600,0.64,7.6322E-16,1.11888E-11,1
AT1G30820,0.63,1.80173E-15,2.64133E-11,1
AT3G14560,0.63,1.17649E-08,0.000172474,1
AT3G61430,0.63,7.03374E-11,1.03115E-06,1
AT3G26610,0.63,9.13768E-08,0.001339584,1
AT5G60850,0.63,1.08628E-12,1.59248E-08,1
AT2G20670,0.63,1.43389E-07,0.002102076,1
AT2G29430,0.63,3.66843E-12,5.37792E-08,1
AT4G27830,0.63,1.3213E-22,1.93703E-18,1
AT5G17380,0.63,7.75224E-20,1.13648E-15,1
AT2G42760,0.63,5.45893E-10,8.00278E-06,1
AT1G17090,0.63,8.07084E-17,1.18319E-12,1
AT5G62070,0.63,2.03948E-12,2.98988E-08,1
AT5G57120,0.63,1.21838E-24,1.78615E-20,1
AT2G31350,0.62,5.21502E-17,7.64521E-13,1
AT4G39730,0.62,2.36222E-19,3.46301E-15,1
AT1G02220,0.62,5.53247E-18,8.11061E-14,1
AT1G48850,0.62,5.24788E-15,7.69339E-11,1
AT3G03780,0.62,1.82648E-07,0.002677619,1
AT5G56460,0.62,1.31762E-20,1.93163E-16,1
AT1G04070,0.62,1.50196E-20,2.20187E-16,1
AT3G26980,0.62,1.23007E-17,1.80328E-13,1
AT4G34000,0.62,9.23239E-19,1.35347E-14,1
AT4G31910,0.62,4.35059E-14,6.37797E-10,1
AT1G01120,0.62,1.98301E-09,2.9071E-05,1
AT1G17745,0.62,2.52939E-13,3.70808E-09,1
AT1G76900,0.62,2.4123E-16,3.53644E-12,1
AT3G48360,0.62,9.23534E-13,1.3539E-08,1
AT2G15270,0.62,4.5708E-21,6.70079E-17,1
AT5G53420,0.62,2.16264E-11,3.17044E-07,1
AT1G66180,0.61,6.13722E-10,8.99717E-06,1
AT4G22530,0.61,2.25606E-13,3.30739E-09,1
AT4G23450,0.61,5.17318E-16,7.58389E-12,1
AT1G69295,0.61,4.78807E-15,7.01931E-11,1
AT1G23780,0.61,6.70128E-20,9.82408E-16,1
AT2G38530,0.61,1.45011E-08,0.000212586,1
AT1G16490,0.61,7.23674E-08,0.001060906,1
AT4G38620,0.61,5.76788E-14,8.45571E-10,1
AT1G16310,0.61,4.23496E-19,6.20845E-15,1
AT2G37220,0.61,3.49048E-17,5.11704E-13,1
AT2G15890,0.61,2.14841E-12,3.14956E-08,1
AT3G14280,0.61,2.04921E-09,3.00414E-05,1
AT1G79160,0.61,5.34188E-10,7.83119E-06,1
AT5G43150,0.60,7.03509E-15,1.03134E-10,1
AT3G02750,0.60,9.14999E-19,1.34139E-14,1
AT3G20830,0.60,5.52013E-10,8.0925E-06,1
AT5G24890,0.60,3.04476E-22,4.46362E-18,1
AT1G65840,0.60,7.62067E-18,1.11719E-13,1
AT1G36730,0.60,3.93897E-18,5.77454E-14,1
AT1G06550,0.60,1.1173E-10,1.63796E-06,1
AT4G22380,0.59,3.79288E-14,5.56036E-10,1
AT5G47240,0.59,3.80024E-11,5.57115E-07,1
AT5G45430,0.59,1.47629E-14,2.16423E-10,1
AT4G35750,0.59,5.18854E-11,7.60641E-07,1
AT3G18165,0.59,1.01956E-22,1.49467E-18,1
AT2G19110,0.59,3.47603E-17,5.09586E-13,1
AT4G29690,0.59,3.96756E-10,5.81645E-06,1
AT5G42500,0.59,1.77888E-13,2.60783E-09,1
AT1G01940,0.59,1.1432E-19,1.67594E-15,1
AT3G12320,0.59,2.70959E-09,3.97227E-05,1
AT1G77370,0.59,8.56325E-20,1.25537E-15,1
AT3G52740,0.59,5.61563E-19,8.23252E-15,1
AT5G44790,0.59,2.37686E-17,3.48447E-13,1
AT3G63200,0.58,8.55217E-15,1.25375E-10,1
AT2G31200,0.58,2.07437E-10,3.04102E-06,1
AT3G23000,0.58,1.21799E-10,1.78557E-06,1
AT5G54500,0.58,1.8358E-11,2.69129E-07,1
AT2G39570,0.58,1.55296E-13,2.27664E-09,1
AT5G28080,0.58,2.37069E-12,3.47543E-08,1
AT3G61260,0.58,1.72182E-17,2.52418E-13,1
AT3G20310,0.58,2.97488E-20,4.36117E-16,1
AT5G57887,0.58,1.89711E-13,2.78117E-09,1
AT3G48890,0.58,1.15466E-17,1.69274E-13,1
AT1G77885,0.57,1.06712E-15,1.56439E-11,1
AT3G60140,0.57,1.42583E-14,2.09026E-10,1
AT3G09770,0.57,8.44172E-16,1.23756E-11,1
AT3G23800,0.57,2.26928E-08,0.000332676,1
AT5G19140,0.57,8.06703E-16,1.18263E-11,1
AT3G11690,0.57,6.00307E-15,8.8005E-11,1
AT4G31100,0.57,1.57049E-14,2.30233E-10,1
AT1G09740,0.57,7.32102E-16,1.07326E-11,1
AT3G18560,0.57,1.30614E-14,1.9148E-10,1
AT5G57990,0.57,3.33174E-19,4.88433E-15,1
AT4G11211,0.57,3.36702E-10,4.93605E-06,1
AT4G34990,0.57,2.74336E-16,4.02177E-12,1
AT5G23050,0.57,8.85799E-13,1.29858E-08,1
AT4G04830,0.57,1.15695E-07,0.001696091,1
AT1G65980,0.57,2.19744E-19,3.22144E-15,1
AT1G02090,0.56,8.02411E-19,1.17633E-14,1
AT1G10150,0.56,3.5659E-18,5.22761E-14,1
AT1G03090,0.56,1.66679E-11,2.44351E-07,1
AT1G27970,0.56,7.5769E-19,1.11077E-14,1
AT3G53500,0.56,1.69224E-17,2.48082E-13,1
AT5G37550,0.56,5.84406E-11,8.56739E-07,1
AT1G09140,0.56,4.45249E-17,6.52736E-13,1
AT5G58620,0.56,3.08384E-20,4.52091E-16,1
AT5G47390,0.56,6.10523E-15,8.95026E-11,1
AT1G02500,0.56,3.04501E-13,4.46399E-09,1
AT5G41990,0.56,7.92668E-20,1.16205E-15,1
AT1G66880,0.56,3.36864E-23,4.93843E-19,1
AT5G49645,0.56,3.37734E-20,4.95119E-16,1
AT5G46250,0.56,4.42659E-20,6.48938E-16,1
AT2G01570,0.56,9.69911E-15,1.42189E-10,1
AT4G34350,0.56,8.30983E-17,1.21822E-12,1
AT1G21450,0.56,4.65284E-18,6.82107E-14,1
AT2G35940,0.56,2.20792E-17,3.23681E-13,1
AT3G02470,0.56,2.5523E-12,3.74168E-08,1
AT5G07220,0.56,1.57507E-14,2.30905E-10,1
AT5G12140,0.56,2.89594E-15,4.24545E-11,1
AT2G40900,0.56,6.4103E-10,9.3975E-06,1
AT3G51790,0.55,5.73242E-16,8.40372E-12,1
AT2G42620,0.55,1.01556E-18,1.48882E-14,1
AT2G47710,0.55,3.1573E-14,4.6286E-10,1
AT5G14105,0.55,5.23994E-16,7.68175E-12,1
AT4G29840,0.55,1.76811E-14,2.59205E-10,1
AT4G31110,0.55,4.86524E-12,7.13244E-08,1
AT2G15320,0.55,6.71715E-10,9.84735E-06,1
AT1G35260,0.55,5.20534E-08,0.000763103,1
AT2G13660,0.55,4.74743E-13,6.95974E-09,1
AT5G65790,0.55,4.81255E-08,0.000705519,1
AT2G40830,0.55,2.14819E-19,3.14925E-15,1
AT5G35680,0.55,1.04614E-15,1.53363E-11,1
AT2G44500,0.55,1.07638E-08,0.000157797,1
AT1G62422,0.55,1.13558E-13,1.66476E-09,1
AT2G44310,0.54,3.04956E-18,4.47066E-14,1
AT4G21580,0.54,3.60245E-17,5.28119E-13,1
AT4G33565,0.54,4.7285E-19,6.93198E-15,1
AT1G04400,0.54,2.29127E-19,3.359E-15,1
AT5G53330,0.54,8.97169E-21,1.31525E-16,1
AT3G62980,0.54,5.98111E-15,8.7683E-11,1
AT5G06530,0.54,6.58477E-11,9.65327E-07,1
AT2G04240,0.54,2.52577E-12,3.70277E-08,1
AT2G22360,0.54,1.58654E-15,2.32587E-11,1
AT5G61590,0.54,6.95091E-13,1.019E-08,1
AT5G40770,0.54,4.80675E-16,7.0467E-12,1
AT1G80750,0.54,4.70164E-15,6.8926E-11,1
AT3G55880,0.54,1.26695E-13,1.85734E-09,1
AT4G24440,0.54,1.60387E-18,2.35128E-14,1
AT3G30580,0.54,1.77193E-10,2.59765E-06,1
AT2G36930,0.53,1.89033E-16,2.77123E-12,1
AT5G06360,0.53,4.94202E-14,7.245E-10,1
AT5G11090,0.53,1.8092E-11,2.65229E-07,1
AT5G43850,0.53,4.38861E-15,6.43371E-11,1
AT5G65720,0.53,6.40201E-15,9.38535E-11,1
AT1G60680,0.53,1.57147E-12,2.30377E-08,1
AT4G03520,0.53,2.47441E-19,3.62749E-15,1
AT4G28930,0.53,1.20732E-07,0.001769929,1
AT3G58040,0.53,1.24987E-17,1.83231E-13,1
AT5G06980,0.53,3.51007E-13,5.14576E-09,1
AT1G50920,0.53,1.38538E-18,2.03096E-14,1
AT3G06350,0.53,4.02831E-13,5.9055E-09,1
AT2G20920,0.53,4.45175E-17,6.52626E-13,1
AT5G16370,0.53,1.48793E-11,2.18131E-07,1
AT2G45210,0.53,1.87503E-09,2.7488E-05,1
AT4G16520,0.53,5.18526E-14,7.60159E-10,1
AT2G04520,0.53,4.83121E-21,7.08255E-17,1
AT3G19960,0.53,4.05554E-16,5.94542E-12,1
AT3G26830,0.53,1.09865E-08,0.000161063,1
AT4G15910,0.53,2.74322E-11,4.02157E-07,1
AT3G08760,0.53,3.12376E-12,4.57943E-08,1
AT5G01840,0.53,2.00166E-12,2.93443E-08,1
AT4G26060,0.53,4.34458E-16,6.36916E-12,1
AT1G47970,0.53,2.16387E-11,3.17223E-07,1
AT1G75810,0.52,8.82333E-17,1.2935E-12,1
AT1G71730,0.52,6.16481E-19,9.03761E-15,1
AT5G01340,0.52,1.67156E-13,2.45051E-09,1
AT1G64200,0.52,2.93637E-12,4.30472E-08,1
AT5G43780,0.52,3.09464E-11,4.53674E-07,1
AT3G11420,0.52,7.87387E-12,1.15431E-07,1
