Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT1G12090,3.72,5.9109E-272,1.0946E-267,9
AT1G21310,3.44,0,0,9
AT5G13930,3.06,9.6699E-207,1.7907E-202,9
AT2G45180,2.83,8.0302E-207,1.487E-202,9
AT1G20190,2.37,1.5934E-213,2.9506E-209,9
AT1G13930,2.29,5.70432E-55,1.05633E-50,9
AT5G08640,2.22,1.3104E-193,2.4265E-189,9
AT1G17300,2.21,2.2925E-156,4.2453E-152,9
AT5G47450,2.11,1.21832E-39,2.25609E-35,9
AT3G51240,2.10,8.3693E-206,1.5498E-201,9
AT4G23400,1.97,1.0496E-104,1.9437E-100,9
AT1G62510,1.96,6.2711E-148,1.1613E-143,9
AT4G22460,1.96,4.5112E-116,8.3538E-112,9
AT5G05270,1.95,1.5719E-143,2.9108E-139,9
AT4G30170,1.95,1.3585E-151,2.5157E-147,9
AT1G03870,1.94,4.9684E-126,9.2005E-122,9
AT1G75780,1.93,3.3275E-176,6.1618E-172,9
AT5G40450,1.93,4.2226E-143,7.8195E-139,9
AT5G65390,1.87,6.122E-130,1.1337E-125,9
AT4G17340,1.84,3.9834E-27,7.37647E-23,9
AT2G43150,1.84,1.6027E-131,2.9679E-127,9
AT3G61430,1.82,8.2852E-122,1.5343E-117,9
AT3G53420,1.81,8.68118E-86,1.60758E-81,9
AT4G12520,1.77,1.33443E-88,2.4711E-84,9
AT4G04830,1.74,2.6146E-136,4.8417E-132,9
AT5G25460,1.71,1.1982E-129,2.2188E-125,9
AT3G19450,1.69,2.4885E-132,4.6082E-128,9
AT5G09440,1.68,1.99404E-31,3.69257E-27,9
AT5G64620,1.66,4.5417E-175,8.4103E-171,9
AT5G15180,1.65,1.45565E-44,2.69558E-40,9
AT3G25930,1.63,6.2056E-49,1.14915E-44,9
AT3G44310,1.62,3.3221E-134,6.1518E-130,9
AT1G01620,1.61,1.5363E-132,2.8449E-128,9
AT1G19450,1.61,4.3126E-169,7.9861E-165,9
AT2G06850,1.61,3.1477E-162,5.8289E-158,9
AT5G11420,1.61,1.2085E-149,2.2379E-145,9
AT2G34070,1.61,8.8055E-128,1.6306E-123,9
AT4G27410,1.58,1.5411E-32,2.85382E-28,9
AT2G45960,1.58,5.254E-202,9.7294E-198,9
AT1G62660,1.58,1.2267E-139,2.2715E-135,9
AT4G20260,1.58,4.4024E-107,8.1524E-103,9
AT4G35100,1.57,1.91389E-91,3.54413E-87,9
AT3G55120,1.57,7.316E-160,1.3548E-155,9
AT1G76090,1.54,4.7059E-143,8.7143E-139,9
AT5G42250,1.53,1.0671E-242,1.976E-238,9
AT5G10430,1.52,3.50594E-78,6.4923E-74,9
AT4G00430,1.52,1.0756E-99,1.99187E-95,9
AT3G16240,1.44,1.53432E-71,2.84126E-67,9
AT3G12700,1.43,4.4837E-159,8.3029E-155,9
AT5G60660,1.43,4.34449E-95,8.04513E-91,9
AT2G23910,1.42,6.8928E-142,1.2764E-137,9
