Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT3G29250,1.26,7.1519E-33,9.5299E-29,1
AT1G28290,1.19,1.1799E-61,1.57221E-57,1
AT5G56320,1.11,3.45567E-30,4.60468E-26,1
AT1G66800,0.93,2.16353E-23,2.8829E-19,1
AT1G66270,0.87,1.94848E-45,2.59635E-41,1
AT1G54410,0.87,4.42936E-38,5.90212E-34,1
AT5G42600,0.81,9.61467E-17,1.28115E-12,1
AT4G15390,0.80,6.95222E-18,9.26384E-14,1
AT1G76240,0.77,1.08337E-09,1.44359E-05,1
AT1G17890,0.77,2.62438E-27,3.49699E-23,1
AT1G41830,0.76,2.21486E-27,2.95131E-23,1
AT5G13870,0.76,2.47698E-11,3.30057E-07,1
AT4G22235,0.75,1.86934E-24,2.49089E-20,1
AT5G47950,0.75,1.35138E-18,1.80072E-14,1
AT2G31570,0.69,2.35819E-15,3.14228E-11,1
AT3G16430,0.68,3.80439E-15,5.06935E-11,1
AT5G42020,0.67,7.37587E-18,9.82834E-14,1
AT5G44585,0.63,2.13839E-13,2.8494E-09,1
AT4G12880,0.63,9.53094E-16,1.27E-11,1
AT1G36060,0.62,6.55398E-12,8.73318E-08,1
AT5G66580,0.61,5.71878E-08,0.000762027,1
AT2G38120,0.61,5.67384E-19,7.56039E-15,1
AT4G38740,0.60,6.72137E-13,8.95623E-09,1
AT5G61790,0.59,1.79446E-16,2.39111E-12,1
AT3G16420,0.58,8.63025E-19,1.14998E-14,1
AT1G54000,0.58,3.71823E-21,4.95454E-17,1
AT4G12730,0.57,1.42695E-13,1.90141E-09,1
AT1G09210,0.57,4.02329E-16,5.36103E-12,1
AT5G48000,0.57,6.86399E-15,9.14627E-11,1
AT1G04430,0.56,1.11538E-15,1.48625E-11,1
AT3G63200,0.56,4.11205E-12,5.47931E-08,1
AT4G21960,0.55,6.87415E-26,9.15981E-22,1
AT5G28540,0.55,6.82145E-14,9.08958E-10,1
AT4G30610,0.54,3.43064E-17,4.57133E-13,1
AT1G31950,0.54,5.35099E-14,7.13019E-10,1
AT3G57020,0.53,4.93671E-11,6.57817E-07,1
AT1G56340,0.53,1.1934E-12,1.5902E-08,1
AT3G50640,0.52,1.88143E-10,2.50701E-06,1
AT5G62340,0.52,4.6463E-10,6.1912E-06,1
AT3G22850,0.50,1.78881E-13,2.38359E-09,1
AT4G00360,0.50,6.67293E-11,8.89168E-07,1
AT4G25900,0.50,1.53781E-12,2.04913E-08,1
AT1G14080,0.48,1.12081E-10,1.49347E-06,1
AT1G54030,0.48,1.87228E-16,2.49481E-12,1
AT1G21750,0.48,1.88561E-13,2.51257E-09,1
AT5G59290,0.48,3.488E-13,4.64776E-09,1
AT3G17390,0.47,4.99637E-12,6.65766E-08,1
AT3G46700,0.47,7.10417E-11,9.4663E-07,1
AT3G23820,0.47,2.08272E-11,2.77523E-07,1
AT2G45790,0.46,1.11E-09,1.47908E-05,1
AT5G15490,0.45,9.03928E-08,0.001204484,1
AT1G60810,0.45,1.22321E-10,1.62993E-06,1
AT1G27330,0.45,1.97561E-11,2.6325E-07,1
AT4G11820,0.45,3.19892E-13,4.26256E-09,1
AT3G20590,0.44,8.70491E-09,0.000115993,1
AT4G22010,0.44,2.48368E-10,3.30951E-06,1
AT5G14750,0.43,4.23921E-08,0.000564875,1
AT5G48230,0.43,4.11475E-09,5.48291E-05,1
AT5G15950,0.43,3.38691E-07,0.004513056,1
AT2G04780,0.42,2.18687E-09,2.91401E-05,1
AT3G01470,0.42,5.92351E-08,0.000789308,1
AT3G47810,0.42,1.13579E-09,1.51344E-05,1
AT3G62600,0.42,3.15775E-09,4.2077E-05,1
AT1G31070,0.42,1.36093E-08,0.000181344,1
AT3G15950,0.42,1.37791E-17,1.83607E-13,1
AT2G21160,0.41,1.09289E-15,1.45628E-11,1
AT4G39660,0.41,2.22887E-08,0.000296998,1
AT3G60530,0.41,5.66034E-07,0.007542398,1
AT3G08030,0.41,5.81691E-07,0.007751033,1
AT3G16450,0.41,1.71572E-12,2.2862E-08,1
AT1G04680,0.41,3.66568E-08,0.000488451,1
AT5G26280,0.40,4.10826E-07,0.005474253,1
AT4G11050,0.40,1.80418E-11,2.40407E-07,1
AT2G45050,0.39,2.27838E-07,0.003035942,1
AT3G45310,0.39,8.60423E-09,0.000114651,1
AT5G48580,0.39,4.53369E-09,6.04115E-05,1
AT5G39320,0.39,2.74145E-09,3.65298E-05,1
AT4G14550,0.38,3.32619E-08,0.000443215,1
AT2G47470,0.38,1.15007E-10,1.53247E-06,1
AT3G46720,0.38,3.0971E-10,4.12689E-06,1
AT1G56330,0.38,2.22277E-08,0.000296184,1
AT3G09260,0.37,1.72527E-16,2.29892E-12,1
AT5G50460,0.37,2.47439E-07,0.003297118,1
AT1G79440,0.37,6.69616E-07,0.00892263,1
AT1G67730,0.37,4.4944E-08,0.000598879,1
AT3G08610,0.37,1.23851E-10,1.65031E-06,1
AT2G25980,0.37,5.35049E-15,7.12953E-11,1
AT1G14210,0.37,1.30722E-08,0.000174187,1
AT4G01850,0.36,9.221E-08,0.001228698,1
AT1G02430,0.36,2.00781E-10,2.67541E-06,1
AT1G13950,0.36,4.73379E-07,0.006307771,1
AT4G21105,0.36,1.18902E-09,1.58437E-05,1
AT2G36880,0.36,9.40168E-08,0.001252774,1
AT3G45230,0.35,2.22001E-07,0.002958169,1
AT5G60920,0.35,5.35429E-07,0.007134597,1
AT1G78570,0.35,2.1392E-07,0.002850484,1
AT2G22795,0.35,4.76451E-08,0.000634871,1
AT1G66410,0.35,1.77884E-08,0.00023703,1
AT5G14030,0.35,4.40167E-09,5.86523E-05,1
AT2G27730,0.35,8.67136E-10,1.15546E-05,1
AT3G20130,0.35,2.26191E-07,0.003013998,1
AT5G37780,0.35,3.91583E-09,5.21784E-05,1
AT1G77200,0.35,1.87439E-07,0.002497619,1
AT5G08690,0.35,3.64023E-08,0.000485061,1
AT5G62530,0.34,9.75214E-08,0.001299473,1
AT4G12420,0.34,2.92581E-07,0.003898638,1
AT2G47650,0.34,3.14792E-07,0.004194598,1
AT4G14940,0.34,3.43365E-08,0.000457534,1
AT2G42570,0.34,3.41913E-09,4.55599E-05,1
AT2G40470,0.33,1.72784E-08,0.000230235,1
AT3G08580,0.33,7.78196E-22,1.03695E-17,1
AT1G04820,0.33,3.37562E-08,0.000449801,1
AT3G46430,0.32,1.66547E-07,0.002219244,1
AT1G33540,0.32,1.35155E-07,0.00180094,1
AT4G24190,0.32,2.35003E-07,0.003131421,1
AT1G53500,0.32,1.22446E-07,0.001631589,1
AT3G18410,0.32,2.88249E-08,0.000384092,1
AT1G63000,0.32,6.39376E-08,0.000851968,1
AT1G10630,0.32,9.49738E-09,0.000126553,1
AT3G14530,0.31,4.36134E-07,0.005811491,1
AT4G34700,0.31,5.14751E-08,0.000685906,1
AT3G48260,0.30,1.16555E-07,0.001553092,1
AT5G53560,0.30,4.23869E-12,5.64805E-08,1
AT2G45070,0.30,9.49697E-08,0.001265471,1
AT1G78040,0.30,6.04428E-13,8.054E-09,1
AT4G29480,0.29,3.40162E-07,0.004532663,1
AT1G09560,0.29,9.75997E-12,1.30052E-07,1
AT1G08830,0.29,1.78143E-07,0.002373759,1
AT2G31490,0.29,1.63895E-07,0.002183905,1
AT5G39950,0.28,5.10983E-11,6.80884E-07,1
AT1G28130,0.27,3.04931E-08,0.000406321,1
AT4G37830,0.26,1.44661E-08,0.000192761,1
AT1G65985,0.26,1.62632E-07,0.002167074,1
AT1G20696,0.26,2.88793E-07,0.00384817,1
AT5G66460,0.25,1.9538E-10,2.60344E-06,1
AT5G43040,0.25,6.79166E-08,0.000904989,1
AT5G02380,1.45,1.17113E-40,1.56053E-36,2
AT2G30860,1.42,1.63621E-14,2.18025E-10,2
AT2G04025,1.36,4.20891E-17,5.60837E-13,2
AT2G01420,1.11,1.51738E-20,2.02191E-16,2
AT1G28330,0.93,6.71935E-17,8.95354E-13,2
AT5G09960,0.92,3.38975E-19,4.51685E-15,2
AT5G64260,0.91,3.71056E-18,4.94432E-14,2
AT3G15450,0.88,1.75066E-13,2.33276E-09,2
AT1G56280,0.84,2.47531E-24,3.29836E-20,2
AT5G21020,0.78,7.99158E-20,1.06488E-15,2
AT1G11580,0.77,1.29136E-13,1.72074E-09,2
AT1G64720,0.75,6.62226E-18,8.82417E-14,2
AT5G65660,0.71,6.48203E-07,0.008637305,2
AT5G59690,0.71,1.64551E-09,2.19265E-05,2
AT3G52870,0.71,5.81733E-14,7.75159E-10,2
AT2G28900,0.70,2.08296E-11,2.77555E-07,2
AT4G02290,0.69,5.34489E-14,7.12207E-10,2
AT3G01840,0.65,1.31298E-13,1.74955E-09,2
AT1G06980,0.63,1.18834E-07,0.001583465,2
AT1G80920,0.63,5.45507E-13,7.26888E-09,2
AT5G50740,0.62,7.95854E-14,1.06048E-09,2
AT2G29980,0.62,1.00131E-15,1.33425E-11,2
AT4G35100,0.62,3.27566E-14,4.36481E-10,2
AT5G03240,0.61,5.84986E-08,0.000779494,2
AT4G37410,0.61,1.17948E-10,1.57165E-06,2
AT5G26670,0.61,1.27805E-17,1.703E-13,2
AT1G56680,0.61,6.74851E-08,0.000899239,2
AT1G56220,0.61,2.41442E-09,3.21722E-05,2
AT3G10780,0.61,2.48945E-10,3.31719E-06,2
AT3G10985,0.59,1.9826E-09,2.64182E-05,2
AT4G30960,0.58,1.20411E-14,1.60447E-10,2
AT4G15910,0.58,8.21528E-16,1.09469E-11,2
AT5G41700,0.58,1.2747E-14,1.69853E-10,2
AT1G64230,0.58,1.91029E-21,2.54547E-17,2
AT2G36320,0.58,1.27141E-12,1.69415E-08,2
AT2G45820,0.57,4.78093E-08,0.000637059,2
AT1G67810,0.56,1.06912E-07,0.0014246,2
