Gene,Average Log FC,p value,Adjusted                p value ,Cluster
AT4G31840,2.04,1.5829E-242,2.9312E-238,2
AT4G23800,1.91,4.9467E-210,9.1604E-206,2
AT5G16250,1.80,2.609E-212,4.8313E-208,2
AT1G50490,1.54,0,0,2
AT2G28790,1.36,1.4954E-234,2.7691E-230,2
AT5G28640,1.33,3.39267E-93,1.8291E-306,2
AT1G73620,1.32,2.9166E-257,5.401E-253,2
AT2G25060,1.21,1.1732E-174,2.1726E-170,2
AT2G21660,1.20,9.155E-272,1.6953E-267,2
AT4G25630,1.15,4.5925E-167,8.5043E-163,2
AT2G30860,1.12,1.43639E-81,2.65991E-77,2
AT3G57150,1.12,1.9308E-180,3.5754E-176,2
AT3G23830,1.10,7.3823E-164,1.3671E-159,2
AT3G02640,1.10,1.1593E-159,2.1468E-155,2
AT4G13850,1.06,5.1527E-191,9.5418E-187,2
AT3G02120,1.05,1.1142E-131,2.0633E-127,2
AT1G08560,1.04,2.0338E-186,3.7663E-182,2
AT4G12600,1.04,6.7546E-168,1.2508E-163,2
AT2G20490,1.04,7.2055E-171,1.3343E-166,2
AT1G48920,1.03,7.9174E-154,1.4661E-149,2
AT2G37190,1.02,2.3481E-240,4.3481E-236,2
AT3G03920,1.02,8.6872E-170,1.6087E-165,2
AT3G44750,1.00,2.6557E-162,4.9179E-158,2
AT3G16080,1.00,4.9197E-219,9.1103E-215,2
AT3G60245,0.99,4.8324E-236,8.9486E-232,2
AT5G60670,0.99,1.261E-184,2.3352E-180,2
AT2G37600,0.98,1.7079E-187,3.1627E-183,2
AT5G22650,0.98,5.6382E-173,1.0441E-168,2
AT4G17390,0.98,6.9241E-224,1.2822E-219,2
AT2G27710,0.97,4.3837E-210,8.1177E-206,2
AT2G18020,0.96,1.6149E-234,2.9905E-230,2
AT2G11910,0.96,1.9734E-206,3.6543E-202,2
AT2G09990,0.96,2.0858E-209,3.8625E-205,2
AT3G22230,0.96,1.5442E-218,2.8596E-214,2
