"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"AT4G22230",0,2.21675677150011,1,0.167,0
"AT4G22235",1.4293017538256e-279,1.90455617284554,0.979,0.244,2.85002769712825e-275
"AGP30",1.1221571202862e-226,3.06302307283917,0.915,0.197,2.23758129785069e-222
"MYB23",1.1185336400703e-221,1.61335282571437,0.983,0.258,2.23035607830017e-217
"GATA2",8.6873935770012e-217,2.14334603872164,0.953,0.166,1.73226627925404e-212
"AT5G66590",5.32876753244986e-207,1.42866991088197,0.894,0.143,1.0625562459705e-202
"PAE2",8.71812290049636e-197,1.18931411770724,0.737,0.041,1.73839370635897e-192
"GATA4",2.25326776786227e-188,1.47064203358892,0.869,0.105,4.49301592911736e-184
"PME60",3.11183919689255e-185,0.736789077978117,0.636,0.014,6.20500735860374e-181
"AGP31",3.14933675571921e-185,1.85189176342593,0.996,0.251,6.27977749090411e-181
"AT1G66800",3.61093822047372e-181,1.5555121186742,0.987,0.272,7.20021081162459e-177
"AT2G41800",2.50067183753365e-179,1.42247876353099,1,0.365,4.98633964404209e-175
"AT1G54890",1.1512226622992e-167,1.31788290637419,0.771,0.081,2.29553798862461e-163
"PRE3",1.67586494028203e-166,1.49781108409219,0.979,0.275,3.34167469092237e-162
"LBD13",1.06944133721823e-165,1.31328132088858,0.979,0.266,2.13246602641315e-161
"WRKY44",8.83124921235087e-163,0.909916620478601,0.826,0.078,1.76095109294276e-158
"GRH1",4.99836241495554e-160,1.40195164195886,0.97,0.374,9.96673465542135e-156
"AT5G44585",1.48671614600305e-158,1.13184032202808,0.78,0.073,2.96451199513009e-154
"GRI",3.55073343621026e-156,0.786236270313873,0.585,0.02,7.08016247180327e-152
"AT1G67400",2.34556257458141e-155,0.769280799414317,0.644,0.072,4.67705177371533e-151
"AT2G43880",7.8904542597002e-152,0.947999971653802,0.763,0.096,1.57335657938422e-147
"JAL41",1.81283218440904e-151,1.58197451123087,0.987,0.375,3.61478737571163e-147
"WER",3.94571021189631e-150,1.41272166473058,0.962,0.201,7.86774616252123e-146
"KAN4",3.77214890060895e-147,0.998442114862246,0.843,0.117,7.52166490781425e-143
"AT4G23590",1.99133167792174e-144,1.31154952540923,0.949,0.194,3.97071536577595e-140
"AT2G40475",4.99426418235289e-143,1.17214413442196,0.924,0.192,9.95856277961167e-139
"NSP4",8.50299825876119e-143,1.3233175123444,0.987,0.337,1.69549785279698e-138
"PSK1",4.20351074675846e-142,1.31072384165502,0.915,0.21,8.38180042903636e-138
"PBP2",7.12062792550911e-142,1.17794623515148,0.962,0.247,1.41985320834652e-137
"WRKY9",2.56801414166277e-141,1.0655871883587,0.831,0.144,5.12062019847556e-137
