"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"EXPA18",0,2.55615032423145,1,0.199,0
"GA20OX5",0,2.38346797897831,0.968,0.23,0
"EXPA7",0,2.32980182665926,1,0.186,0
"AT5G05500",0,2.29411371443408,0.998,0.26,0
"MT1C",0,2.2826658714446,0.968,0.348,0
"PER7",0,2.23968289460151,0.998,0.174,0
"AT1G48745",0,2.13186904361996,0.985,0.22,0
"AT3G09925",0,2.10634490157493,1,0.161,0
"AT2G34910",0,2.08893186489918,1,0.254,0
"SFH1",0,2.05996532823746,0.998,0.226,0
"AtGH9C1",0,2.05489301249444,0.989,0.11,0
"RSH4",0,2.00308357270878,0.976,0.113,0
"AT3G54040",0,1.94268342639759,0.998,0.228,0
"PER60",0,1.93545417577656,0.991,0.131,0
"BHLH82",0,1.90366772066665,0.998,0.158,0
"AT1G15040",0,1.84633433083532,0.976,0.228,0
"AT5G40860",0,1.83627339031103,0.978,0.132,0
"AT2G39518",0,1.82664729657943,0.974,0.167,0
"AT1G06923",0,1.81095543650177,0.98,0.117,0
"BHLH54",0,1.81003257689157,0.998,0.21,0
"AT2G25240",0,1.78084552065958,0.994,0.134,0
"TET12",0,1.75701890755818,0.931,0.069,0
"AT2G41970",0,1.6955956491373,0.994,0.156,0
"RHS14",0,1.67428869235157,0.948,0.084,0
"MLO15",0,1.67404101636684,0.996,0.238,0
"AT3G23190",0,1.64194734652688,0.976,0.188,0
"CYCU4-3",0,1.61921493616487,0.786,0.047,0
"PER73",0,1.61212060185002,1,0.269,0
"PLP1",0,1.60527570393581,0.998,0.275,0
"AT1G09932",0,1.59345796809768,0.974,0.281,0
"ADF8",0,1.58283608100779,1,0.257,0
"RTNLB6",0,1.57819237997731,0.994,0.302,0
"SP1L4",0,1.56829345753566,1,0.365,0
"AHA7",0,1.56190116359076,0.985,0.101,0
"AT3G54580",0,1.55973088371107,1,0.222,0
"GLTP2",0,1.53343041374145,0.957,0.128,0
"AT2G38790",0,1.52647106081745,0.89,0.098,0
"RABH1C",0,1.5003925385646,0.996,0.358,0
"AT5G57625",0,1.47475159395991,0.996,0.2,0
