"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"PDX11",2.98540455906789e-144,1.37832989599078,0.747,0.13,5.95289669078138e-140
"AT4G23590",8.29947719539074e-140,2.0303274908679,0.969,0.201,1.65491575276091e-135
"CYP81F4",2.42366967149482e-138,1.91956563191114,0.833,0.397,4.83279732496067e-134
"BAM2.1",3.61990089207714e-138,0.828749973646111,0.617,0.167,7.21808237880181e-134
"ADF9",1.25540765288013e-128,3.36683453444754,0.333,0.031,2.50328285984298e-124
"AT1G70420",2.68231352042345e-127,1.26748392792226,0.778,0.154,5.34853315972436e-123
"YUC3",8.72002253909905e-123,2.13001727114804,0.463,0.04,1.73877249429635e-118
"HTR2",5.08703024669409e-121,2.27237721488215,0.759,0.372,1.0143538311908e-116
"LBD6",7.22896561925447e-121,1.278938035706,0.623,0.022,1.44145574447934e-116
"NAI1",2.43743067083325e-119,1.45955244988097,0.957,0.38,4.8602367576415e-115
"RGF3",7.90580808785536e-116,2.84364483516182,0.457,0.013,1.57641813271836e-111
"XBAT35",5.9119515442329e-114,0.757377291168503,0.556,0.364,1.17884313792004e-109
"AT3G51750",7.69534413208435e-113,1.28344384274001,0.784,0.324,1.53445161993762e-108
"YUC8",2.44955665359624e-110,1.67217871290416,0.889,0.18,4.8844159672709e-106
"SPT",1.5179499836823e-108,0.936789833991715,0.549,0.094,3.02679226746252e-104
"AT3G01690",4.64298426912384e-107,0.6940834076335,0.444,0.112,9.25811063263293e-103
"ENODL2",2.43053090151878e-106,1.9846123547606,0.58,0.044,4.84647861762845e-102
"AT1G56680",2.48040764930262e-105,1.07737059095541,0.636,0.035,4.94593285270943e-101
"PRE2",2.67093328392447e-105,1.40117223000844,0.778,0.072,5.3258409681454e-101
"AT5G53500",1.11923325946629e-103,1.08740325812214,0.685,0.182,2.23175111937578e-99
"HTR2.4",1.01114292336477e-102,2.3842169054003,0.623,0.309,2.01621898918935e-98
"AT3G47800",2.03711931751961e-101,1.39921462145532,0.759,0.17,4.0620159191341e-97
"LSF2",1.40660988798399e-100,0.882977404832928,0.679,0.222,2.80478011664008e-96
"AT1G72490",2.81309914805642e-100,1.91419716566422,0.426,0.049,5.6093197012245e-96
"HTB1",1.14714057678602e-98,1.45810022999526,0.648,0.237,2.28739831011132e-94
"At17.1",1.13959593200336e-96,1.2813932300017,0.833,0.259,2.27235428841469e-92
"DFC",4.30642635109769e-96,1.58863784402919,0.895,0.197,8.58701414408879e-92
"UXS6",4.42948922574562e-95,0.989781507581351,0.932,0.222,8.83240151613677e-91
"HTR2.1",4.64662156329543e-95,1.94058455751589,0.531,0.155,9.26536339721108e-91
"AT2G44280",5.88132286865313e-95,0.857674808893568,0.636,0.232,1.17273578000943e-90
"HTA8",9.98466301717106e-94,1.17065170138292,0.778,0.098,1.99094180562391e-89
"AT2G41800",5.71266339466131e-93,1.29079565087623,0.988,0.372,1.13910508089547e-88
"AT4G24710",1.81074660279324e-92,0.533429637857454,0.383,0.045,3.61062872596971e-88
"AT3G18230",1.55096359444073e-91,0.78868182755677,0.537,0.144,3.09262140731482e-87
"AT2G31940",1.35304251756629e-90,1.74259040212433,0.914,0.267,2.69796678002719e-86
"AT5G62340",7.8910789828039e-87,1.49685248027484,0.87,0.159,1.5734811491711e-82
"WOX12",9.69856835244844e-86,1.15785701169139,0.494,0.059,1.93389452947822e-81
"PHYA",7.29849679544231e-83,0.512937074888552,0.377,0.246,1.4553202610112e-78
"DOF1.2",2.90680494002894e-82,1.03274967576406,0.537,0.031,5.7961690504177e-78
"AT3G61930",1.38176564763206e-80,1.30406748503095,0.679,0.073,2.75524070137832e-76
