"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"AT1G44800",0,2.23974007442854,0.973,0.132,0
"RALFL32",0,2.19584546864416,0.987,0.243,0
"AT3G16330",0,1.77935679503345,0.983,0.218,0
"AT5G43180",0,1.42326996537587,0.725,0.053,0
"OFP2",0,1.39683122351527,0.971,0.235,0
"WNK9",3.37446836109571e-321,1.41460908628775,0.837,0.129,6.72868991202485e-317
"JP630",4.04415357845443e-315,1.3636909184713,0.856,0.127,8.06404223543813e-311
"anac096",2.94806072663148e-312,1.43377292938293,0.84,0.1,5.87843308890318e-308
"PDF2.3",1.56361221651443e-310,1.69321082998049,0.965,0.238,3.11784275972978e-306
"AT3G28600",5.3682999975441e-309,1.33056302549701,0.91,0.149,1.07043901951029e-304
"ENT3",5.17490284917611e-305,1.5321406776889,0.956,0.33,1.03187562812572e-300
"MTP10",7.16078601162698e-301,0.877841605954894,0.692,0.044,1.42786073071842e-296
"CLE2",1.04794143330069e-299,1.66843783353537,0.925,0.176,2.08959521800158e-295
"AT1G14890",1.12048511291195e-286,1.51324205310974,0.95,0.365,2.23424731514642e-282
"AT2G13820",1.34764265709272e-283,0.42301824725758,0.948,0.263,2.68719945824288e-279
"AT4G34600",1.50697968557048e-278,1.48368163029267,0.835,0.133,3.00491749302753e-274
"AT5G54980",6.01187055007403e-269,1.28850333189341,0.819,0.131,1.19876698768476e-264
"TRN2",3.16457287699796e-261,1.08945352218662,0.996,0.383,6.31015831673393e-257
"CDF4",9.06951340879039e-260,1.50462796181667,0.944,0.273,1.8084609737128e-255
"PER30",6.64994498331307e-254,1.21955258199663,0.977,0.4,1.32599902967263e-249
"WRKY28",1.05368768318348e-249,1.52847919946272,0.838,0.195,2.10105324026785e-245
"LIP2.1",1.80030205058036e-242,1.41448539592244,0.875,0.244,3.58980228885723e-238
"AT3G18280",4.82182353572697e-233,1.60143478820717,0.754,0.133,9.61471613023958e-229
"MYB78",6.20794025249998e-233,0.83177228782273,0.565,0.033,1.2378632863485e-228
"AT3G55690",1.57379813934558e-232,1.20073966405413,0.712,0.152,3.13815348985508e-228
"AGL12",7.10996312620979e-231,0.782549320988116,0.75,0.116,1.41772664736623e-226
"AT5G46730",4.31652044131023e-230,0.917880337169936,0.794,0.136,8.60714175997259e-226
"AT5G05790",1.77870382590794e-228,1.06986726053231,0.919,0.232,3.54673542886043e-224
"AT5G47720",6.97481424316007e-226,0.791871917002433,0.608,0.056,1.39077796008612e-221
"APT2",7.64389750492396e-226,0.75349531784732,0.558,0.04,1.52419316248184e-221
"APT3",9.25345503488105e-226,0.947850008791108,0.913,0.241,1.84513893395528e-221
"AT3G26760",1.57707940131296e-224,1.18569953828477,0.858,0.229,3.14469632621804e-220
"AT3G11150",2.3003209557988e-223,0.731166152470877,0.571,0.04,4.58683998586281e-219
"AT5G03610",7.83739455961726e-223,0.949928385005052,0.954,0.285,1.56277647518768e-218
"XTH21",9.80106892659376e-220,0.702775321971324,0.65,0.086,1.9543331439628e-215
"AT4G11211",2.87410152645942e-219,1.13500091192541,0.925,0.278,5.73095844376009e-215
"DIR14",5.13199316411309e-213,0.797998422020826,0.913,0.27,1.02331943692415e-208
"LBD16",7.32903628210013e-212,1.17667332767534,0.833,0.2,1.46140983465077e-207
"PEN1",1.73145210268381e-211,0.99720053685595,0.908,0.246,3.45251549275151e-207
"AT1G64700",1.76760800734743e-211,0.792425990658906,0.794,0.163,3.52461036665077e-207
"AT1G16350",1.27335447165754e-209,0.987560915812068,0.823,0.226,2.53906881648514e-205
"BGLU10",2.30483803168855e-209,0.815236590248426,0.806,0.256,4.59584703518698e-205
"DOF3.7",3.48571217777331e-208,0.662871920493814,0.912,0.264,6.95051008247997e-204
"TUBA1",5.2413646550432e-208,0.938148832297049,0.852,0.221,1.04512811221561e-203
"DHAR1",7.68334561113391e-208,0.867258824016546,0.748,0.163,1.5320591148601e-203
"AT1G30820",1.31850675139308e-203,1.06030934165989,0.85,0.293,2.6291024622778e-199
"AT1G27030",1.79168598391557e-203,1.14761724342819,0.835,0.21,3.57262185192764e-199
"BHLH68",3.66099684236349e-202,0.983892871861627,0.908,0.296,7.30002770367281e-198
"BT1",6.1027751370901e-202,0.846204856011053,0.896,0.368,1.21689336233577e-197
"MYB20",1.07697514107103e-200,0.939706679987749,0.827,0.188,2.14748843129564e-196
"SDH",1.4849932304001e-200,0.848493205410683,0.844,0.306,2.96107650141779e-196
"AT2G05830",1.98702029536672e-200,0.951097098868331,0.887,0.291,3.96211846896124e-196
"ACO2",2.91703854248979e-200,1.12063376986562,0.925,0.302,5.81657485372464e-196
"UGE3",2.9757083010176e-200,1.14423662965074,0.894,0.257,5.93356235222909e-196
