"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"XTH21",0,1.93543940538825,0.892,0.074,0
"APT3",0,1.55210468315951,0.983,0.242,0
"PDF2.3",1.39874924994115e-319,2.03343002361718,0.981,0.243,2.78910600438266e-315
"FLA8",5.85618572585915e-314,1.76786833843835,0.965,0.259,1.16772343373631e-309
"AT5G07030",3.70501596988666e-297,1.3545145589536,0.851,0.133,7.387801843954e-293
"AGL12",2.49227776273353e-289,1.11943142784223,0.883,0.112,4.96960185889066e-285
"AT3G26610",1.18811988223307e-284,1.23569797693034,0.773,0.081,2.36911104517275e-280
"AT2G13820",5.45133867434772e-277,1.20941145045178,0.981,0.267,1.08699693166494e-272
"DIR14",2.91995022534719e-276,1.71745286333123,0.972,0.272,5.82238074934229e-272
"NPF2.4",1.25045243611657e-273,1.58936364765825,0.877,0.193,2.49340215761644e-269
"AT5G44530",1.87920644695855e-270,0.737910912841051,0.676,0.052,3.74713765523536e-266
"AT2G05830",4.57597182352413e-266,1.17802908400058,0.957,0.291,9.12448781610711e-262
"GLN1-4",1.3370536712099e-258,1.03744814488151,0.739,0.084,2.66608502039254e-254
"BHLH68",6.08594130456989e-257,1.16512457157712,0.974,0.296,1.21353669613124e-252
"XTH15",2.60788007833757e-249,1.43907614291792,0.965,0.248,5.20011287620511e-245
"TPS08",3.84050174090601e-249,0.69191000777197,0.581,0.027,7.65796047136659e-245
"AT1G43910",2.59095225443693e-239,1.30832667271401,0.883,0.227,5.16635879534724e-235
"AT1G77020",5.86827440343043e-235,1.02892765145373,0.944,0.227,1.17013391604403e-230
"AT1G80690",8.99786995382883e-232,1.07814522267093,0.916,0.214,1.79417526879347e-227
"HDT2",1.55512343652385e-230,1.23366328678066,0.95,0.342,3.10091613242856e-226
"AHA11",2.00900121796698e-230,0.820499401995159,0.683,0.112,4.00594842862616e-226
"AT1G16350",7.35313278533245e-228,1.08325712817753,0.868,0.228,1.46621467739529e-223
"CLE2",9.06759036566172e-228,1.53141705844216,0.883,0.184,1.80807751891295e-223
"RPL13AC",4.26111970735359e-225,1.14617390863226,0.873,0.231,8.49667269646306e-221
"BHLH110",2.61896013204872e-217,0.686721062262488,0.633,0.052,5.22220650330514e-213
"CP31A",1.02113738974359e-213,0.760739310555594,0.715,0.114,2.03614795514872e-209
"RALFL32",1.64840109948692e-212,1.04337748111008,0.924,0.253,3.28691179237692e-208
"AT5G03610",8.28976656894434e-206,0.823523854267221,0.961,0.29,1.6529794538475e-201
"PYRE-F",1.31872381799352e-205,0.939104801180977,0.866,0.25,2.62953529307908e-201
"SOT18",1.44170055092613e-205,0.770392649028376,0.698,0.112,2.8747508985467e-201
"AT4G22160",3.57226128742646e-201,0.855224222339143,0.823,0.171,7.12308900712835e-197
"ACT3.1",7.45741686968828e-198,0.945904373098136,0.933,0.348,1.48700892381584e-193
"AT3G59670",2.26774364935099e-196,0.737050792967372,0.695,0.114,4.52188083680588e-192
"FLA1",9.56822346012972e-193,1.09355297691544,0.866,0.306,1.90790375794987e-188
"AT1G55360",8.34192876627564e-192,0.8991792749168,0.849,0.2,1.66338059599536e-187
"RPL12C.1",2.70610853886884e-189,1.19360890271531,0.862,0.242,5.39598042650447e-185
"SUC1",2.814290864993e-188,0.991276667732927,0.903,0.247,5.61169598479604e-184
"RBG2",2.79484451997583e-187,1.17951693031147,0.864,0.271,5.5729199728318e-183
"AT5G48480",6.01194906390207e-187,0.998463597568033,0.769,0.148,1.19878264334207e-182
"AT5G56940",1.86470711276609e-186,0.850744995351235,0.901,0.36,3.71822598285558e-182
"CP29A",7.79643372635121e-185,0.827485366222949,0.762,0.152,1.55460888503443e-180
"AT5G58090",8.82847254601196e-185,0.800143923741631,0.892,0.329,1.76039742567478e-180
"AT5G50150",7.0405395021894e-184,0.737581424466496,0.698,0.109,1.40388357673657e-179
"AT1G74458",6.11453505843548e-183,0.852406892472736,0.719,0.118,1.21923829065204e-178
"DOF3.7",4.10235149810842e-182,0.903883974676963,0.909,0.269,8.18008888722818e-178
"NUC",3.42311298330325e-179,0.63440179933866,0.629,0.074,6.82568728870669e-175
"RPS26A",5.1237389453394e-179,0.971568241737121,0.94,0.396,1.02167354570068e-174
"RPS10A",1.32624334985891e-178,1.02940213099441,0.922,0.379,2.64452923961867e-174
"PGK1",3.05517717555493e-178,0.731801748580762,0.81,0.298,6.09202328805653e-174
"AT3G59680",9.46083027899035e-178,0.626730264864732,0.724,0.13,1.88648955763068e-173
"EBP1",1.32046584930789e-177,0.919379020074431,0.911,0.361,2.63300890351992e-173
"CYP90A1",6.82823565164443e-177,0.585559485991561,0.801,0.197,1.3615501889379e-172
"AT5G05790",8.32304239934633e-177,1.04784236189985,0.87,0.241,1.65961465442966e-172
"RACK1A",5.91228257633842e-174,0.970805946366721,0.909,0.364,1.17890914572188e-169
