"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"DIR6",0,2.98698637001679,1,0.232,0
"AT5G02640",0,2.78895323203311,0.847,0.035,0
"TRX1",0,2.29714779899829,0.987,0.089,0
"BHLH30",0,2.27215569979986,0.977,0.012,0
"PATL6",0,2.14579518201865,0.971,0.147,0
"FLA12",0,1.99008019294974,0.785,0.007,0
"FLA11",0,1.98348211552083,0.85,0.015,0
"NAC076",0,1.906791948271,0.925,0.009,0
"AT1G79620",0,1.84050589196215,0.71,0.007,0
"AT2G04850",0,1.54993010474993,0.788,0.011,0
"SAH7",0,1.48573256300611,0.889,0.105,0
"AGD15",0,1.25251315073472,0.831,0.126,0
"NAC105",0,1.18551135390081,0.866,0.009,0
"AT2G47670",0,0.898006485313839,0.537,0.003,0
"AGL1",0,0.84250966144355,0.365,0.002,0
"AT3G05180",0,0.697976585231843,0.502,0.002,0
"AT3G08490",0,0.574661504087658,0.238,0.001,0
"ZHD4",0,0.424913871227321,0.179,0.001,0
"NDB3",0,0.305406065728467,0.186,0.001,0
"ERF054",6.97111804312624e-319,2.41181856923671,0.863,0.065,1.39004093779937e-314
"FUM2",8.89709092619431e-300,2.6348638674523,0.674,0.014,1.77407993068315e-295
"AT5G01070",1.23388236784717e-293,1.36352079614101,0.746,0.023,2.46036144148726e-289
"DOF3.1",5.19716442914927e-293,2.21653389089622,0.765,0.095,1.03631458717236e-288
"AGAL2",7.96355477405486e-289,1.62139224225208,0.915,0.129,1.58793282194654e-284
"AT3G10080",1.53620429403174e-281,1.45286490497182,0.635,0.005,3.06319136229929e-277
"ATHB-8",5.94300662255331e-280,1.30449207281251,0.824,0.051,1.18503552053713e-275
"SFH3",5.64958232925412e-267,1.19224675136026,0.684,0.138,1.12652671645327e-262
"ATHB-15",1.8022385769985e-264,1.18564598917698,0.713,0.034,3.59366372253502e-260
"AT2G21300",3.76293675470566e-254,1.02670728404431,0.798,0.218,7.50329588888308e-250
"ROPGEF7",6.10837324318677e-249,1.19858220112325,0.642,0.128,1.21800962469144e-244
"AT2G19810",7.03682333044556e-247,1.2362206476072,0.691,0.041,1.40314257209084e-242
"AT1G33470",7.41638712891817e-246,1.45494447571823,0.964,0.278,1.47882759350628e-241
"VQ33",1.34656736691812e-236,1.23391442976535,0.619,0.033,2.68505532963473e-232
"PUB63",1.78431095822838e-234,0.927100631080246,0.651,0.107,3.55791605070738e-230
"NAC007",2.74146380826408e-234,1.16149063640165,0.622,0.01,5.46647883367858e-230
"AT3G48185",6.45527694828752e-232,0.909878081309827,0.86,0.083,1.28718222348853e-227
"LOG3",3.75136369280286e-231,1.10948824916515,0.606,0.011,7.48021920344891e-227
"ARAC9",6.91675741204171e-227,1.13094472508091,0.779,0.066,1.37920142796112e-222
"AT2G04800",7.08510679850322e-226,1.60590000413555,0.909,0.302,1.41277029562154e-221
"PME33",2.68771503105088e-221,1.68286560081401,0.606,0.055,5.35930377191545e-217
"RIC2",8.50422389901537e-221,0.914920146115958,0.531,0.043,1.69574224546366e-216
"AT5G06670",1.9484249795978e-219,0.70371261130469,0.515,0.007,3.88515940931802e-215
"AT2G28570",1.6731853055734e-218,1.76355747941574,0.886,0.267,3.33633149931336e-214
"AT5G62770",1.56762836314591e-217,1.45533347947944,0.912,0.389,3.12585095611295e-213
"AT1G03820",4.63488006152107e-216,1.71383671206129,0.661,0.035,9.241950842673e-212
"AT4G23680",7.62140328848285e-215,1.45052890678462,0.577,0.01,1.51970781572348e-210
"AT5G57410",7.65927734418206e-211,0.944069446058106,0.883,0.327,1.5272599024299e-206
"ACT3",4.47003815530694e-210,0.957957808218305,0.928,0.386,8.91325608168203e-206
"AT1G62981",2.33909925929131e-209,1.81137782618716,0.583,0.013,4.66416392302686e-205
"BHLH32",1.01690172752471e-207,1.61316429120807,0.805,0.084,2.02770204468427e-203
"AT5G64030",2.11261665737158e-207,1.03361929728242,0.85,0.371,4.21255761479893e-203
"iqd9",2.34262492146306e-206,1.27065141563241,0.945,0.374,4.67119409339734e-202
"TUBB8",6.50008906131205e-206,1.27554506803428,0.769,0.257,1.29611775882562e-201
"ACR8",1.30520333909584e-205,0.966968873178115,0.638,0.125,2.60257545815711e-201
"AT2G35760",1.54911853539172e-204,1.39272734946669,0.606,0.027,3.08894235957108e-200
"ATHB-14",1.75310528710249e-202,0.762835990865911,0.632,0.034,3.49569194248236e-198
"AT4G23670",4.3196864712012e-202,1.82721278257597,0.684,0.046,8.61345482357518e-198
"AT1G03010",2.41461707016049e-201,0.809040120183046,0.586,0.016,4.81474643790001e-197
"TBL33",1.8053087137447e-196,1.10450138583378,0.57,0.013,3.59978557520694e-192
"UGD1",1.94691678580448e-194,0.634285955401945,0.482,0.007,3.88215207089413e-190
"AT5G53710",1.47856708887917e-192,1.41767807019556,0.603,0.036,2.94826277522507e-188
"AT5G64690",2.35661908321498e-190,1.06134290965613,0.739,0.082,4.69909845193066e-186
"GUX1",5.24708942642968e-190,0.952368898645592,0.498,0.008,1.04626963163008e-185
"iqd33",6.7535815370926e-190,1.31162379221552,0.818,0.128,1.34666415849626e-185
"PLC8",7.68117141769987e-185,0.642316911357854,0.456,0.004,1.53162558068935e-180
"PIP2-5",2.24664969869074e-184,1.4193530965577,0.485,0.009,4.47981949918933e-180
"AT4G09890",2.42755282104323e-184,1.31213052166976,0.635,0.036,4.8405403251602e-180
"AT4G24780",9.04508256263107e-184,1.51844860059737,0.85,0.207,1.80358946298864e-179
"iqd17",1.97256311326231e-181,0.957155130459113,0.85,0.287,3.93329084784504e-177
"AT1G73760",2.34910336009505e-180,0.804187563652819,0.697,0.12,4.68411210002952e-176
"MAP70.2",8.14987003971687e-179,0.914333378601268,0.759,0.251,1.62508408591954e-174
"TBL3",1.19143350668709e-178,0.815619305134437,0.492,0.007,2.37571841233405e-174
"AT4G32950",2.46345240604309e-178,0.915985487066971,0.557,0.028,4.91212409764992e-174
"ACL5",2.75816365506276e-177,1.49791203618318,0.518,0.026,5.49977832819515e-173
"EXPA15",4.2008542126823e-177,1.70348063357801,0.785,0.131,8.37650330008851e-173
"AT3G61380",2.48077162863211e-176,0.720124982893795,0.56,0.02,4.94665862749243e-172
"HIPP20",9.82560668224346e-176,1.52797308217637,0.749,0.081,1.95922597243935e-171
"AT5G48500",2.95537757984797e-175,1.18980767419474,0.801,0.154,5.89302289421684e-171
"PXC2",5.60484798680012e-175,0.791621807748183,0.577,0.08,1.11760668856794e-170
"AT1G69080",1.38718434258331e-174,1.46866708075283,0.697,0.075,2.76604557911112e-170
"RALFL24",3.65848555109961e-174,0.811828043860496,0.782,0.256,7.29502018889262e-170
"TMN4",4.98979145559276e-173,0.72782354326572,0.687,0.194,9.94964416245197e-169
"AT1G63520",5.70545390569186e-173,0.805602708199538,0.482,0.007,1.13766750879496e-168
"AT1G14890",6.64931204414629e-173,1.60222655898899,0.964,0.381,1.32587282160277e-168
"AT3G18280",5.98593941740815e-172,3.01500671560956,0.743,0.152,1.19359631983119e-167
"ROPGAP4",7.65454757537063e-171,0.705527951276073,0.524,0.118,1.5263167865289e-166
"AT5G53730",1.67766922324934e-170,0.531456793455348,0.42,0.002,3.34527243115918e-166
"SCPL45",3.97301117066145e-170,1.00520688180105,0.733,0.109,7.92218427429893e-166
"IQD30",1.167409710103e-169,0.964123921045883,0.912,0.378,2.32781496194538e-165
"TBL40",2.75526965105003e-169,1.40225789647421,0.59,0.096,5.49400768419375e-165
"AT5G60650",3.96282133582178e-169,0.976258775812481,0.44,0.009,7.90186574362862e-165
"HAT14",8.43535689813862e-169,0.613034166360715,0.502,0.019,1.68201016548884e-164
"TBL36",1.03015176374062e-167,1.43150635162987,0.521,0.032,2.0541226168988e-163
"AT2G20500",1.26938007540663e-167,1.61720019911028,0.772,0.167,2.53114387036081e-163
"AT2G28315",2.43590040148171e-167,1.79023044391919,0.521,0.015,4.85718540055453e-163
"UGE1",1.05926986218642e-166,1.71044357672928,0.798,0.176,2.11218410519973e-162
"AT5G23400",1.74088573128835e-165,1.04251681683632,0.707,0.107,3.47132614818896e-161
"AT2G40070",1.60951505645062e-164,0.916412585392371,0.749,0.195,3.20937302256253e-160
"AT2G13820",2.1722408271448e-164,1.58899590164496,0.971,0.283,4.33144820932672e-160
"RIC4",9.30528950402078e-164,1.74841266362045,0.498,0.014,1.85547472710174e-159
"UKL4",1.14336863508925e-163,0.705046749658266,0.743,0.263,2.27987705836796e-159
"AT2G19780",9.06004048212941e-162,0.562175876384377,0.482,0.013,1.8065720721366e-157
"ZPR1",1.71250975993472e-161,1.97824782672015,0.446,0.117,3.41474446130983e-157
"AT5G57270",7.93296799898609e-160,0.730534147560456,0.671,0.186,1.58183381899783e-155
"AT5G50450",3.93031294006981e-158,1.15245815519513,0.798,0.22,7.8370440024992e-154
"AT3G59680",1.98517064878732e-157,1.08548431286128,0.769,0.14,3.95843027368192e-153
"MES11",2.5658025637482e-157,0.790506566999204,0.573,0.103,5.11621031211391e-153
"AT5G37590",1.61972598060841e-156,0.645583310887286,0.547,0.093,3.22973360533317e-152
"AT1G14190",4.23743388021365e-156,0.453850196355086,0.368,0.001,8.44944315714603e-152
"SUC1",1.03740210346597e-155,1.29845343825028,0.958,0.259,2.06857979431114e-151
"B3GALT6",1.43137479540993e-154,0.715766397318082,0.73,0.194,2.8541613420474e-150
"LAX3",2.97356268695257e-154,1.8054903267252,0.785,0.143,5.92928399778343e-150
"AGP18",8.35162662352685e-154,1.45447585783587,0.775,0.268,1.66531434873125e-149
"SBTI1.1",2.72060650886859e-153,0.928504929516995,0.394,0.004,5.42488937868397e-149
"AT1G78020",1.34292629318331e-152,1.01614763660643,0.743,0.168,2.67779502860752e-148
"ACT3.1",5.18896722368509e-152,1.03312735269673,0.951,0.36,1.03468006440281e-147
"PHR1",3.33778328115306e-151,0.559957662410651,0.485,0.056,6.6555398626192e-147
"AT1G55760",4.04330734394332e-151,0.600327423329493,0.485,0.017,8.06235484382297e-147
"BXL2",1.74354459976061e-150,1.50468489649444,0.531,0.066,3.47662793192265e-146
"ATNEK5",3.16230989816041e-150,0.848430214804884,0.726,0.121,6.30564593693186e-146
"AHL25",3.88006078742664e-149,0.980607954980584,0.775,0.148,7.73684121012872e-145
"IQD13",1.0592782899439e-148,1.11207417544877,0.919,0.248,2.11220091014814e-144
"AT3G50620",2.91340494657164e-148,0.81525912492605,0.746,0.202,5.80932946346385e-144
"GULLO6",5.49107562400886e-148,0.739606411758988,0.433,0.008,1.09492047942737e-143
"GOLS2",7.32058130881857e-148,1.42572011450621,0.668,0.163,1.45972391297842e-143
"CSLA2",3.94892683193003e-147,0.892994665972825,0.658,0.147,7.87416010286848e-143
"AT2G39400",8.86235599799471e-147,1.75995436749318,0.622,0.204,1.76715378600014e-142
"AT2G47500",9.38598893256341e-147,1.04943409855427,0.847,0.197,1.87156619315314e-142
"CYP89A9",2.03850941562547e-146,0.574985046416749,0.541,0.028,4.06478777475719e-142
"AT3G06035",1.66983366824003e-145,1.23919739076681,0.896,0.334,3.32964833447062e-141
"NAC030",7.45454792584432e-145,0.837870981250891,0.433,0.01,1.48643685641336e-140
"AT2G24230",9.33612188894871e-145,0.568863874679515,0.42,0.062,1.86162270465637e-140
"AT3G55910",1.77259521721286e-144,0.587721352914897,0.423,0.013,3.53455486312243e-140
"MYB112",3.90740900298624e-144,1.21148640826885,0.521,0.065,7.79137355195456e-140
"AP3",9.37243165159758e-144,0.579921007621912,0.45,0.016,1.86886287132856e-139
"AT2G28410",3.76474393823525e-143,0.91130950886282,0.381,0.004,7.5068994128411e-139
"SYT4",1.88161845090772e-142,0.7500936870888,0.632,0.061,3.75194719110999e-138
"AT1G53163",2.88700881775347e-142,1.47792191208853,0.541,0.051,5.75669558260041e-138
"IQD26",9.15581394939462e-142,0.739448246989091,0.433,0.03,1.82566930150929e-137
"QWRF2",1.33057264194436e-141,0.752904325222983,0.694,0.14,2.65316184803705e-137
"MRH1",6.93095642648336e-140,1.1404957473615,0.86,0.189,1.38203271144078e-135
"AT1G63430",4.28362796000167e-139,0.788153863287195,0.655,0.177,8.54155415224334e-135
"IRX14H",3.13264238210119e-137,1.14243400040019,0.524,0.03,6.24648890990978e-133
"LIP2.1",9.07540027349096e-137,1.1595395854473,0.915,0.261,1.8096348145341e-132
"AT5G01520",1.39512758322935e-136,0.816112408081039,0.7,0.139,2.78188440095933e-132
