"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"AT5G42250",8.79999524568086e-196,1.55767823978885,0.957,0.149,1.75471905198876e-191
"AT1G13930",2.25480511482158e-175,2.43525679823604,0.938,0.231,4.49608139895423e-171
"AT5G57785",1.5200960233856e-172,1.68616196740109,0.603,0.044,3.03107147063088e-168
"AT1G80180",3.38635165495857e-149,1.7111014261813,0.833,0.204,6.75238519998738e-145
"F6'H1",8.85290652034428e-149,1.25491344207957,0.627,0.073,1.76526956015665e-144
"AT2G25735",2.3674258220835e-148,2.24869452197226,0.828,0.279,4.72064708923449e-144
"AT1G06640",8.35666934481821e-146,1.59448491085025,0.981,0.335,1.66631986735675e-141
"EFL3",3.39221737047829e-142,1.79884422180726,0.876,0.339,6.76408143673371e-138
"AT4G21780",1.9880963810523e-137,0.8411379685783,0.517,0.073,3.96426418381829e-133
"AT4G24110",6.19214212294063e-137,1.20525411646743,0.761,0.314,1.23471313931436e-132
"AT5G42785",1.35432709786454e-136,1.37574081356804,0.957,0.377,2.70052823314189e-132
"LKR/SDH",6.53443814351811e-130,1.25397461331576,0.923,0.376,1.30296696581751e-125
"AT4G16146",1.60506283934804e-126,1.11385368349345,0.809,0.344,3.20049530165999e-122
"TBL41",2.07749496918731e-119,1.2994199885627,0.909,0.27,4.1425249685595e-115
"AT5G59540",1.28731653808205e-110,1.0973345103291,0.756,0.114,2.5669091769356e-106
"AT1G05710",3.81333705392619e-110,1.28508668581688,0.756,0.176,7.60379408552882e-106
"AT3G55290",2.36925964110201e-109,0.753790897993652,0.488,0.039,4.7243037243574e-105
"AT1G27030",2.98219448345251e-107,1.37043296575554,0.895,0.235,5.9464958000043e-103
"TIFY11B",2.0200466162283e-106,0.956678769931115,0.751,0.182,4.02797295275923e-102
"AT5G10770",2.04426697138906e-106,1.17402140965071,0.656,0.074,4.07626834094978e-102
"WOX5",4.17286404123754e-106,1.63488712864058,0.526,0.049,8.32069089822766e-102
"PME61",4.2943310797296e-106,0.996887018277012,0.78,0.132,8.56289617298081e-102
"AT4G22460",1.11643753360706e-102,1.29947788876437,0.727,0.132,2.22617644201247e-98
"CXE2",2.02312774048881e-102,1.07169198810238,0.885,0.233,4.03411671453469e-98
"AOC1",3.49901294220364e-101,1.56835611858566,0.77,0.197,6.97703180675405e-97
"ATTI4",2.78080344020114e-100,1.73512102299509,0.885,0.305,5.54492205976108e-96
"AT3G22235",6.59924685918795e-100,0.880872689499932,0.498,0.06,1.31588982372208e-95
"CCD1",9.58050746729684e-100,0.739164724912322,0.751,0.256,1.91035318897899e-95
"GGH3",1.75280511665776e-99,0.757055896021809,0.727,0.209,3.49509340261558e-95
"MYB86",2.28115600036391e-97,1.10170658333308,0.756,0.192,4.54862506472563e-93
"SOUL-1",5.52796271602528e-96,0.914069713536735,0.88,0.332,1.10227576557544e-91
"PGL4",1.18196980874002e-95,1.05022798118166,0.799,0.177,2.35684779862759e-91
"SCPL51",4.39090542307079e-93,0.617358338649204,0.555,0.042,8.75546541360315e-89
"AAP1",1.8391135672424e-92,1.00684483421909,0.871,0.207,3.66719245308134e-88
"TGA7",3.6679645706691e-92,0.889311962488051,0.794,0.247,7.31392135391419e-88
"VTC5",4.98840516197641e-91,1.04188918525246,0.78,0.307,9.94687989298096e-87
"JAL44",2.09261418590175e-90,0.747374638960782,0.617,0.065,4.17267268668809e-86
"CHS",3.59632744891012e-90,1.77047686633455,0.871,0.366,7.17107693312679e-86
"CBSX2",2.67123569323667e-88,0.827301908021698,0.727,0.298,5.32644397231391e-84
"AT1G04490",9.09113977521522e-87,0.932583641872107,0.612,0.127,1.81277327117792e-82
"ATMYB102",1.17880682903844e-86,1.17531264900968,0.722,0.126,2.35054081710264e-82
"AT3G26590",2.54197340139159e-86,0.797634656374598,0.742,0.178,5.06869496237484e-82
"CYP708A2",7.26295449660845e-86,1.18905109975818,0.919,0.371,1.44823312662373e-81
"AT4G13860",3.90601525080726e-85,0.665594379726571,0.397,0.068,7.78859441010967e-81
"AT5G50560",4.73121501316939e-84,1.14863711451504,0.598,0.124,9.43404273625976e-80
"CPRD49",6.99544309826032e-84,0.865966741400652,0.694,0.142,1.39489135379311e-79
"CML40",6.21672104539496e-82,1.34914688463806,0.598,0.215,1.23961417645175e-77
"SOT5",9.47080550395341e-82,1.28361826353554,0.923,0.388,1.88847861748831e-77
"PUB20",2.34293984849211e-81,0.852301315122906,0.565,0.151,4.67182205789326e-77
"CML42",3.65889847391484e-81,1.29218078093387,0.847,0.373,7.29584355698619e-77
"AT4G33660",7.24287819943526e-81,0.819321584487252,0.727,0.146,1.44422991296739e-76
"AT1G62510",4.12313406905093e-80,1.4368710433612,0.531,0.051,8.22152933368756e-76
"PSY1.1",4.79311727420026e-80,1.01026970708401,0.67,0.149,9.55747584475532e-76
"AT3G24420",1.7346934024018e-78,1.16145612697475,0.856,0.289,3.45897864438919e-74
"AT4G15390",6.82842245180829e-78,1.00819834881637,0.732,0.187,1.36158743689057e-73
"AT5G19240",1.50103271281615e-77,1.38698797341495,0.785,0.219,2.99305922935541e-73
"AT3G56290",7.00303801624359e-75,0.518041265765937,0.455,0.064,1.39640578043897e-70
"NUDT1",9.84033752639507e-75,0.718299721863351,0.641,0.299,1.96216330276318e-70
"LBD25",3.42134886630667e-74,1.16026115401033,0.421,0.074,6.82216963941551e-70
"AT3G22240",1.9039276987228e-73,1.39730824610761,0.809,0.246,3.79643183125327e-69
"AOC2",1.35169974560138e-70,1.11163304434887,0.885,0.309,2.69528929272915e-66
