"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"AT1G26450",9.99824863608053e-228,3.05136881548272,1,0.1,1.99365077803446e-223
"BZIP9",9.20123809591928e-192,2.67156937506809,1,0.14,1.8347268763263e-187
"TET5",9.27170967724449e-173,2.15112965112603,0.977,0.067,1.84877890964255e-168
"AT3G14780",2.66311723451402e-172,2.07984156491233,0.962,0.068,5.31025576562096e-168
"ATSBT4.12",4.79855587506329e-169,2.75886679729796,1,0.102,9.56832041487619e-165
"CLE5",5.38179372249801e-159,3.28951830350641,0.946,0.079,1.0731296682661e-154
"AT4G18340",2.72757201211117e-155,1.69587891138423,0.877,0.044,5.43877859214966e-151
"CRRSP60",3.6342594666508e-155,2.13344692821348,0.946,0.071,7.2467133765017e-151
"AT3G15680",1.31680019341441e-146,1.9765560163328,0.815,0.024,2.62569958566833e-142
"DOF1.1",1.11632986889062e-139,1.79079716581547,0.977,0.099,2.2259617585679e-135
"PME32",4.90564377245171e-125,1.55425126224524,0.931,0.069,9.7818536822687e-121
"AT5G23370",6.69928264810116e-125,1.80208086102445,0.769,0.065,1.33583696003137e-120
"AT4G26130",6.45779317050232e-123,1.57897158576212,0.923,0.248,1.28768395819816e-118
"DOF2.2",4.89124025802481e-121,1.47039911022609,0.9,0.079,9.75313307450147e-117
"AT3G16330",5.08404630106041e-120,1.9114243469673,1,0.258,1.01375883243145e-115
"AT4G39700",1.68263124355223e-118,2.43376608427919,0.946,0.127,3.35516669964315e-114
"DOF3.6",2.43913343781725e-117,1.56211505491772,0.985,0.177,4.8636320750076e-113
"AT5G47920",6.56939067372956e-117,2.14828010667409,0.785,0.036,1.30993650034167e-112
"TOPP7",1.58008258140862e-116,1.83938160123938,0.992,0.243,3.1506846673288e-112
"AT1G73850",3.34569460792402e-116,0.980834565364807,0.862,0.089,6.6713150482005e-112
"AT3G28600",4.21800074459794e-116,2.10098571468197,0.977,0.188,8.4106934847283e-112
"PDF2.3",1.00301044774745e-112,2.11243235343806,1,0.276,2.00000283280841e-108
"CBSDUF6",2.8322195153893e-111,1.33605602984209,0.992,0.398,5.64744571368625e-107
"PXG4",1.56285412318111e-106,1.58460032237037,0.992,0.35,3.11633112162314e-102
"AT5G44350",1.93807180081871e-106,1.81498233032472,0.846,0.149,3.86451517083251e-102
"AT1G64700",2.68203098728545e-106,1.81992305054452,0.977,0.194,5.34796978864719e-102
"PEN1",7.28307088922786e-104,1.92631500480136,0.931,0.281,1.45224433531204e-99
"AT5G17760",2.18674113822871e-103,1.65532291126894,0.985,0.395,4.36036182962806e-99
"AT1G43650",4.40071850511432e-103,1.41465790780888,0.9,0.124,8.77503269919795e-99
"AT5G05790",1.8025068401385e-100,1.61328528637945,0.992,0.267,3.59419863923618e-96
"AT5G23360",1.83276691615662e-99,1.73953552105737,0.769,0.084,3.65453723081631e-95
"AGL12",2.02336369755134e-99,1.61115638173949,0.877,0.147,4.03458721291737e-95
"AT2G21560",2.93339212399106e-99,1.56299085045674,0.623,0.033,5.84918389523818e-95
"AT5G23350",5.00333505907454e-99,1.78816822491572,0.815,0.12,9.97665010779464e-95
"C/VIF1",2.09056959656393e-98,1.29854760631324,0.723,0.044,4.16859577554847e-94
"PER37",8.48118705447406e-98,1.8162521442136,0.977,0.212,1.69114869866213e-93
"UGE3",1.15909856517956e-96,1.81440958457851,0.985,0.289,2.31124253896803e-92
"DOF1.5",2.59236397145258e-95,1.20797000297637,0.885,0.207,5.16917375907645e-91
"RMA2",4.56053919838194e-94,1.42041431499167,0.831,0.228,9.09371516157358e-90
"AT3G47540",1.17966733779304e-92,1.64402796920951,0.715,0.08,2.35225667155931e-88
"AT3G61820",3.93339766030471e-90,1.29773109867018,0.915,0.3,7.84319493464759e-86
"AT3G27030",8.29892380251554e-89,1.00166993828314,0.715,0.097,1.6548054062216e-84
"ACO2",3.03760947011483e-88,1.45584836777231,0.992,0.334,6.05699328340897e-84
"AT5G08350",2.32162149801259e-87,1.6648041559367,0.685,0.142,4.62931326703711e-83
"AT1G44800",3.20020869569095e-87,2.04437117587004,0.908,0.177,6.38121613920776e-83
"ATL8",9.17127958863475e-86,1.57618120778643,0.977,0.269,1.82875314997377e-81
"AT5G64690",2.09442142739853e-82,0.974201362484345,0.815,0.096,4.17627632623268e-78
"AT4G34560",4.02970876759489e-81,1.37646621196374,0.531,0.015,8.0352392825842e-77
"CALS8",9.87536822521291e-81,0.627018215285621,0.531,0.019,1.96914842410745e-76
"BHLH68",6.31107648587262e-80,1.22539838897224,0.977,0.327,1.258428651283e-75
"CDF4",2.70168911482757e-79,1.65117571098728,0.985,0.308,5.38716809496617e-75
"AT5G55530",4.1899984901811e-79,1.02147661612385,0.969,0.34,8.35485698942112e-75
"AT4G39190",5.58496427874088e-78,1.30049389994899,0.685,0.057,1.11364187718093e-73
"PME16",2.80675663719056e-77,0.901541038453522,0.592,0.109,5.59667273455798e-73
"AT1G52140",3.44466322603982e-76,1.11525901992339,0.692,0.067,6.86865847272339e-72
"CNGC19",1.17048939250186e-74,0.953043372445232,0.692,0.109,2.33395584864872e-70
"AT5G62820",1.19794836021296e-74,0.731034042260325,0.608,0.068,2.38870903026463e-70
"LEA18",2.34304780109819e-73,0.898605730315744,0.631,0.085,4.67203731538979e-69
"TPPJ",5.97184305220593e-73,1.44675527609395,0.838,0.234,1.19078550460986e-68
"SCL15",4.10257956520439e-72,1.27343472084609,0.9,0.235,8.18054365301755e-68
"IQD13",4.50959951354691e-72,1.00324142610558,0.977,0.263,8.99214143001254e-68
"XTH15",1.02237782110356e-71,1.47808613258557,0.977,0.28,2.0386213752805e-67
"MGL",3.66233711732664e-71,1.43299165409522,0.969,0.291,7.30270021194933e-67
"DOF3.7",6.01359466323682e-70,1.18211932286652,0.962,0.297,1.19911077584942e-65
"AT5G49320",3.11650708430667e-69,1.07917306788723,0.485,0.016,6.21431512610751e-65
"CLE2",7.47797896004479e-69,1.12514919016714,0.931,0.215,1.49110900463293e-64
"AHL2",6.87784403813853e-68,0.790526589862861,0.746,0.154,1.37144210120482e-63
"AT4G16000",1.06246504214108e-67,0.894336591590371,0.554,0.03,2.11855529402932e-63
"AT1G13340",4.72415389553299e-66,0.834438450009302,0.569,0.05,9.41996286769279e-62
"GLN1-2",1.13590536346632e-64,1.56150463843177,0.862,0.372,2.26499529475183e-60
"AT3G11280",2.40363412250643e-64,1.18751856763078,0.654,0.089,4.79284644027783e-60
"ORTH5",4.8572419460119e-64,1.3628855737458,0.931,0.35,9.68534044034774e-60
"AT2G34670",7.61785067317307e-64,0.582785381279271,0.515,0.065,1.51899942423071e-59
"AT2G36650",7.9241051964988e-64,1.11454649788809,0.862,0.184,1.58006657618186e-59
"AT1G30080",3.42851496830863e-63,0.845228898279806,0.762,0.135,6.83645884680741e-59
"AT4G27450",5.99418158120783e-63,1.2809207724205,0.931,0.325,1.19523980729284e-58
"LECRK52",6.68131511007728e-63,1.15886068167362,0.8,0.136,1.33225423294941e-58
"CPK12",1.18827909714207e-62,0.517559688063182,0.485,0.113,2.36942851970129e-58
"AtGH9B8",2.34605558416841e-62,1.09906659683235,0.723,0.132,4.6780348348318e-58
"AtbZIP6",3.15000946884839e-62,1.36478146385528,0.854,0.338,6.28111888088368e-58
"AT1G13670",1.83132274425481e-61,1.38100480967256,0.8,0.159,3.65165755204408e-57
"TPPD",9.31816936224276e-61,0.981905848650258,0.546,0.039,1.85804297083121e-56
"ABCG25",1.96895407601022e-60,0.687065133599406,0.662,0.084,3.92609442756438e-56
"OFP2",3.79274379459979e-60,1.201627421039,0.908,0.275,7.56273112643199e-56
"AtbZIP5",1.10748766546614e-59,1.22840865056533,0.938,0.364,2.20833040493949e-55
"AT2G13820",3.79972376035792e-58,0.362833369570467,0.923,0.3,7.5766491781537e-54
"AAE17",2.03856572870917e-57,0.769350891735348,0.746,0.243,4.06490006304609e-53
"AT1G52342",2.23567075973321e-57,1.39220874165604,0.846,0.286,4.45792749490803e-53
"AT4G34600",4.29216626260453e-57,1.29980299938923,0.808,0.17,8.55857952763343e-53
"AtbZIP7",4.91644980204257e-57,1.47977877908569,0.754,0.174,9.80340090527287e-53
"AT1G77020",5.40251155756944e-57,0.988521714863669,0.915,0.26,1.07726080457935e-52
"SUC4",5.50741394199955e-57,0.710312958345535,0.692,0.143,1.09817834003471e-52
"AT2G26380",6.34343941476434e-57,0.997143956948477,0.962,0.335,1.26488181930401e-52
"AT1G74055",7.42127498341981e-57,0.825754290949686,0.469,0.032,1.47980223169391e-52
"HOL1",8.49398002462463e-57,0.923471353473399,0.877,0.22,1.69369961691015e-52
"HVA22E",2.69380263876886e-56,1.3741466492248,0.785,0.199,5.37144246170511e-52
"TET6",2.83421929927721e-56,0.883067334041588,0.823,0.194,5.65143328275875e-52
