"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"MLP34",0,2.63536594555454,0.995,0.316,0
"AT2G43590",0,2.18393079641443,0.982,0.234,0
"EXPA12",0,1.92172134626698,0.772,0.089,0
"XTH17",0,1.87169591257785,0.946,0.189,0
"GULLO5",0,1.8449208074853,0.997,0.245,0
"EXPA3",0,1.82338070950317,0.861,0.254,0
"DL3625W",0,1.81627919707964,0.907,0.218,0
"PER24",0,1.66930485705157,0.876,0.123,0
"EXPA17",0,1.59640233355465,0.841,0.14,0
"AT3G21680",0,1.57237579546691,0.955,0.325,0
"AT1G70790",0,1.47058326572628,0.941,0.356,0
"AT1G06120",0,1.42068527363253,0.794,0.067,0
"AT1G53633",0,1.33674865486933,0.903,0.25,0
"AT1G23060",0,1.3057518961489,0.828,0.154,0
"CYP72C1",8.2162079365543e-318,1.160975899461,0.959,0.353,1.63831186254893e-313
"AT2G39530",4.36884884536046e-313,1.59810583876511,0.785,0.138,8.71148459764876e-309
"AT4G28940",5.76688649984413e-299,1.00480960087856,0.753,0.098,1.14991716806892e-294
"ATMYB30",3.72177727274694e-296,1.37064275654084,0.817,0.137,7.4212238818574e-292
"THAS1",9.6619840888921e-291,1.26052227208723,0.97,0.379,1.92659962732508e-286
"AT4G29270",1.20135414204468e-285,1.12673608602153,0.876,0.298,2.3955001592371e-281
"AT4G16190",9.8971374159351e-277,1.3124825983906,0.935,0.395,1.97348920073746e-272
"AT4G25830",5.73307953290068e-272,1.14745921740496,0.815,0.16,1.14317605886039e-267
"WRKY44",1.8375560011534e-268,0.742463352428005,0.625,0.054,3.66408666629988e-264
"APY3",4.50987167957723e-266,0.963169304013056,0.812,0.168,8.992684129077e-262
"COPT1",6.4990015681183e-253,1.17634139123859,0.893,0.271,1.29590091268279e-248
"CCL",1.14737264015307e-251,1.06814392954668,0.478,0.04,2.28786104446522e-247
"AT2G19460",3.6828219379089e-245,1.13583419101191,0.941,0.357,7.34354694419034e-241
"PSK1",5.1246870650477e-244,1.14888426045057,0.793,0.181,1.02186260077051e-239
"AT4G23870",1.34302549878027e-242,1.18154086168288,0.821,0.223,2.67799284456786e-238
"CML42",4.84076389110493e-236,1.06679107001265,0.923,0.338,9.65248319886323e-232
"RALFL27",4.53257903388234e-235,1.02259160370576,0.715,0.145,9.03796259356138e-231
"AT3G46280",5.14891411637183e-233,0.932608308321107,0.711,0.129,1.02669347480454e-228
"AT4G20860",6.81742397271346e-228,1.14243770398307,0.919,0.324,1.35939434015906e-223
"ZPR3",1.58326357289179e-225,1.20189475839154,0.63,0.117,3.15702756434623e-221
"UGT85A1",5.79294155904386e-223,1.00968095392335,0.915,0.34,1.15511254687335e-218
"PER27",7.78246900066252e-222,1.01794595613301,0.874,0.283,1.55182431873211e-217
"AT5G25440",1.25517968016542e-218,0.713118320222034,0.616,0.088,2.50282828224985e-214
"AT2G41810",3.04825642520703e-217,1.27372715274267,0.663,0.126,6.07822331186281e-213
"AT3G05390",5.04042349012192e-216,0.979025832547032,0.758,0.178,1.00506044393031e-211
"LHT1",9.56074767571791e-215,0.948996764006243,0.887,0.319,1.90641308653815e-210
"AT2G26370",1.48681470608707e-214,0.978924063993172,0.841,0.289,2.96470852393762e-210
"ERF011",5.99368861511877e-213,0.96957728954688,0.9,0.352,1.19514150985468e-208
"KCS5",4.78000754164209e-212,0.706886356443249,0.59,0.071,9.53133503803433e-208
"AT1G66800",7.48002811831963e-212,0.661297370986817,0.836,0.245,1.49151760679293e-207
"PGM.1",2.42502147229415e-206,0.798981347582794,0.863,0.274,4.83549281575454e-202
"RLP9",2.17634003295903e-204,0.87764585893931,0.871,0.295,4.33962202572032e-200
"AT1G30730",2.67675473897148e-203,0.950304150927518,0.793,0.213,5.33744894950913e-199
"MYB23",3.51947109907452e-201,0.92237654552169,0.818,0.232,7.01782537155459e-197
"CRRSP38",8.32609518338533e-201,0.768080176243534,0.464,0.033,1.66022337956703e-196
"AT3G05936",1.50369720633125e-200,0.968932847470318,0.758,0.275,2.99837222942452e-196
"AT2G39400",1.08302446942079e-197,0.946327063503309,0.743,0.174,2.15955079202505e-193
"AT2G41800",4.46664221179439e-195,0.961246506889907,0.898,0.338,8.90648457031801e-191
"AT3G19660",7.85802424849959e-195,1.07800133607609,0.917,0.4,1.56689003515082e-190
