"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"PME17",6.07257204918468e-306,3.01615592349725,0.899,0.064,1.21087086660742e-301
"NAC021",3.30325847670606e-238,1.20002078874019,0.809,0.05,6.58669740255188e-234
"AT2G41380",6.49414541220077e-229,1.84125372812668,0.92,0.135,1.29493259519283e-224
"AT1G80180",3.96021870659451e-207,1.83634572341795,0.975,0.201,7.89667610094944e-203
"RGF7",5.73929218326537e-201,1.77798408542112,0.864,0.077,1.14441486134312e-196
"PEP7",4.61016510178972e-196,2.13294086609135,0.915,0.199,9.1926692129687e-192
"SWEET2",6.51548486354314e-185,1.81641427984714,0.94,0.242,1.2991876817905e-180
"TGA10",5.38893917563978e-183,1.64906441244667,0.894,0.252,1.07455447162257e-178
"AT4G20860",9.87301958641796e-182,1.86175044352486,0.995,0.357,1.96868010553174e-177
"AT5G01200",1.18141799261778e-181,1.02939141483781,0.774,0.225,2.35574747727986e-177
"AT3G21710",7.11796745798621e-181,1.88572359623518,0.995,0.354,1.41932271112245e-176
"NLP4",1.31985889984162e-177,0.778540745751982,0.628,0.12,2.63179864628419e-173
"AT2G34810",1.23716946271904e-175,1.89313382624572,0.839,0.093,2.46691590866177e-171
"AT3G26440",1.40229988487083e-173,1.32688962502838,0.864,0.158,2.79618597043243e-169
"IAA1",7.24354418925704e-169,2.36205027713786,0.744,0.131,1.44436271133785e-164
"AT3G18560",1.92101809203419e-168,1.57079518032412,0.879,0.221,3.83051007551617e-164
"AT1G30700",8.96678247745448e-168,1.70117275317668,0.97,0.297,1.78797642600442e-163
"WRKY75",3.03761501811238e-166,1.83497341827548,0.95,0.314,6.05700434611609e-162
"AT5G01250",1.26553891869568e-159,1.05313178999499,0.678,0.023,2.52348460387919e-155
"AT5G48290",5.33043857428685e-154,0.907182730138958,0.608,0.02,1.0628894517128e-149
"YDK1",6.3856963918926e-148,1.71132497817107,0.724,0.144,1.27330786054339e-143
"AT5G50560",9.6659413741548e-146,1.26668819808511,0.879,0.117,1.92738871000647e-141
"AT2G34355",3.04857289198553e-142,1.16842433152361,0.799,0.244,6.07885434661915e-138
"SDI1",5.1154808612446e-139,1.60623934516046,0.814,0.152,1.02002688373217e-134
"BGAL4",3.10750677430183e-136,1.36030905577912,0.734,0.055,6.19636850795785e-132
"AT5G19240",1.52752581920378e-135,1.78365393508933,0.915,0.216,3.04588648349233e-131
"KRP1",2.30369633764569e-133,0.857316207479958,0.698,0.179,4.5935704972655e-129
"AT1G18980",2.72970637136831e-129,1.29146577884173,0.834,0.213,5.44303450450841e-125
"CML42",1.62611593057597e-126,1.51049670200178,0.94,0.371,3.24247516556849e-122
"NIA2",3.34627433271527e-126,1.29278662947216,0.719,0.329,6.67247101943425e-122
"MLO6",1.22944895999487e-122,1.01207901024881,0.668,0.073,2.45152122622976e-118
"ATNAC2.1",1.00434976441781e-120,1.28858424821964,0.879,0.267,2.00267343024912e-116
"PLP1",2.18443065199163e-120,1.36522327039343,0.98,0.309,4.35575472007131e-116
"AT3G10320",4.42388347478674e-120,0.990017281903087,0.558,0.02,8.82122364872476e-116
"PER71",6.63087342408637e-118,1.24013371369919,0.663,0.087,1.32219616076282e-113
"TBL41",9.5977559822698e-116,1.25579973205486,0.92,0.27,1.9137925428646e-111
"MO1",1.95182014310027e-114,1.38930624876209,0.945,0.34,3.89192936534195e-110
"PAP17",3.25510817750472e-114,1.46172466759862,0.839,0.307,6.49068570594441e-110
"PER56",4.20007624753294e-114,1.30619363128404,0.744,0.086,8.37495203758067e-110
"NPF8.5",6.98588568048954e-111,0.798022871709796,0.688,0.17,1.39298560468961e-106
"PUP18",1.62312954477804e-110,1.24792916720789,0.849,0.341,3.23652031228741e-106
"emb2170",2.13564500290919e-110,0.895953139580109,0.754,0.225,4.25847613580092e-106
"ATHB-17",6.26749658738039e-110,0.797396591633633,0.553,0.046,1.24973881952365e-105
"AT5G55970",3.10243583656231e-109,1.06434442221922,0.598,0.194,6.18625705810526e-105
"KAN1",1.98654397662306e-107,0.883425579294776,0.749,0.208,3.96116868938637e-103
"FAR3",6.10023022365082e-106,0.956460767240029,0.553,0.027,1.21638590659597e-101
"CSLB5",1.44229585428841e-104,0.855594829927229,0.588,0.035,2.8759379334511e-100
"ATEXT4",3.20491067778026e-104,1.39945895595301,0.573,0.052,6.39059189149384e-100
"FUT7",7.97196967897936e-104,0.531492188933245,0.372,0.006,1.58961075398848e-99
"AT5G23510",2.36416946474634e-103,1.14319137978565,0.824,0.223,4.7141539127042e-99
"GULLO5",9.46329996997643e-103,1.37835276020191,0.925,0.291,1.8869820140133e-98
"AT4G40080",1.15769898571143e-102,1.01753601618683,0.779,0.374,2.3084517775086e-98
"CDC48D",1.87472249880225e-98,0.733567462559637,0.578,0.173,3.73819666261169e-94
"NSP1",4.73565378502242e-98,1.53975694539719,0.915,0.308,9.44289364733472e-94
"AT4G29905",7.90681495260425e-98,1.8381517466939,0.879,0.321,1.57661890154929e-93
"AT4G31450",1.00410326627868e-96,0.865348620809854,0.764,0.395,2.00218191295968e-92
"ABCC4",1.13756935232318e-95,0.833171673729939,0.739,0.254,2.26831328853242e-91
"AT1G73740",1.61645075315021e-95,0.658897811931518,0.533,0.189,3.22320280178152e-91
"AT3G12977",2.33316068609771e-95,0.703772040945239,0.543,0.078,4.65232240807883e-91
"KNAT7",2.99576147250681e-95,1.14126725204549,0.925,0.298,5.97354837617857e-91
"AT5G02090",4.0271984292314e-95,1.15940494030035,0.613,0.091,8.03023366788741e-91
"CRRSP55",1.89207628695278e-93,1.1577836723864,0.849,0.29,3.77280011618384e-89
"ARR5",4.49203364982684e-93,1.48515669604224,0.563,0.305,8.95711509775473e-89
"AT1G21100",1.50455867253534e-92,1.01593266579563,0.503,0.06,3.00008999303547e-88
"AT2G25735",5.04004355157073e-92,1.63125834513244,0.864,0.279,1.0049846841832e-87
"AT1G23140",2.19869460587429e-91,0.973108315602227,0.714,0.158,4.38419704411334e-87
"AT1G24600",1.22423913034706e-90,1.13650313785605,0.729,0.121,2.44113282591203e-86
"GSTU10",2.14941844990674e-90,0.586335198460213,0.447,0.045,4.28594038911404e-86
"HIPP22",5.53625322192276e-90,1.02093582684709,0.412,0.017,1.1039288924514e-85
"AT1G33600",4.14511319611877e-89,1.09683036061156,0.719,0.182,8.26535571306083e-85
"SULTR4;1",6.00052161324061e-89,0.712009629338848,0.709,0.29,1.19650400968018e-84
"TIFY11B",6.83739846164747e-89,0.92616583639929,0.714,0.184,1.3633772532525e-84
"CHIB1",1.03043254564921e-88,1.01890017705718,0.794,0.276,2.05468249602453e-84
"AT2G43590",2.37656336794094e-88,1.50528546138504,0.884,0.28,4.73886735567424e-84
"PHT1-4",9.55143662943524e-88,0.88383226388523,0.588,0.085,1.90455646390939e-83
"AT4G15563",1.0966074648138e-87,0.652614503383351,0.538,0.085,2.18663528483872e-83
"SSL9",6.04222808513909e-87,1.06146433722182,0.879,0.298,1.20482028017673e-82
"AT2G17710",6.4671952102193e-87,1.05144452321346,0.844,0.271,1.28955872491773e-82
"AT5G51390",6.70866372290583e-87,0.81021371666699,0.729,0.216,1.33770754634742e-82
"STP7",8.85702829380315e-87,0.847128017674392,0.844,0.275,1.76609144178435e-82
"ANAC087",4.18065774869283e-86,0.861035396514145,0.759,0.27,8.3362315508935e-82
"UGT85A1",4.81727800305642e-86,1.33203592647756,0.874,0.375,9.60565233809451e-82
"AT2G27389",6.28680331186902e-86,1.29041800099297,0.915,0.341,1.25358858038668e-81
"RLP9",1.61157276298959e-85,1.00197996597688,0.92,0.328,3.21347608940125e-81
"PCR8",2.55331543510709e-84,1.40485045970935,0.503,0.05,5.09131097760355e-80
"AT2G20080",1.66139900274839e-83,1.07134136958082,0.724,0.385,3.31282961148029e-79
"CYP72A14",2.82317112241537e-83,0.672148673470223,0.457,0.058,5.62940321809625e-79
"PMAT1",4.5406807361997e-83,1.15459758664081,0.834,0.35,9.0541173879822e-79
"AT5G42010",6.38049435104501e-81,0.646372885171081,0.618,0.181,1.27227057359838e-76
"ARSK1",4.85451533436696e-80,0.935316279404544,0.704,0.2,9.67990357672772e-76
"AT5G48175",8.89725847790072e-80,1.03092418394841,0.643,0.14,1.7741133404934e-75
"IRX7",2.31637845987509e-79,1.1361848354661,0.573,0.064,4.61885864899093e-75
"WNK4",4.61490022418239e-79,0.639902318618117,0.548,0.073,9.20211104701968e-75
"NPF6.3",4.98923916738674e-79,0.989400136962593,0.759,0.264,9.94854289976916e-75
"NTMC2T6.2",6.76283222797171e-79,0.736015762495727,0.774,0.279,1.34850874625756e-74
"WRKY47",7.74024066114471e-79,0.767583583188971,0.668,0.23,1.54340398783225e-74
"AT1G52342",1.8752191320546e-78,1.49402395168093,0.774,0.283,3.73918694931687e-74
"MMP",1.05347410579902e-77,0.806994829104611,0.497,0.07,2.10062736696326e-73
"PER51",1.3242625931291e-77,0.997422059050608,0.869,0.356,2.64057961069943e-73
"YLS9",1.91716037529614e-77,0.8738729166039,0.457,0.078,3.8228177883405e-73
"AT1G33590",3.04694313649566e-77,1.13284061931059,0.899,0.326,6.07560461417235e-73
"AT1G30755",3.99486625061563e-77,0.612537199971531,0.548,0.112,7.96576330372756e-73
"GLIP3",4.94495884634815e-77,0.52001720645637,0.372,0.014,9.86024793961821e-73
"AT5G48657",6.17046606658402e-77,1.01426379548647,0.894,0.276,1.23039093367685e-72
"CYP71B6",8.12809390838562e-76,0.65164634807661,0.543,0.107,1.62074192533209e-71
"TIC32",3.26070774447482e-73,0.90680706591344,0.829,0.301,6.50185124248279e-69
"SLAH3",1.42856440662936e-72,0.80089053486968,0.739,0.22,2.84855742681895e-68
"AT2G44010",3.72475065575115e-71,0.822000840285057,0.804,0.266,7.42715280756779e-67
"AT3G09020",5.55842539001756e-71,0.597100514292842,0.442,0.075,1.1083500227695e-66
"AtMYB45",8.74570146814089e-71,0.818552973983287,0.472,0.067,1.74389287274729e-66
"TGA9",3.45379334027912e-70,0.751399907154248,0.673,0.12,6.88686392051657e-66
"AT2G35585",6.59686563432433e-70,0.490327327596522,0.387,0.038,1.31541500748427e-65
"AT5G47740",1.21224754622952e-69,0.988824441607239,0.794,0.228,2.41722160718165e-65
"ATPS3",3.04453510678299e-69,0.787719881647085,0.472,0.084,6.07080300292528e-65
"GH3.6",1.32131341009462e-68,0.925306382281686,0.578,0.177,2.63469893972867e-64
"WAKL14",1.42219350171749e-68,0.683659286646544,0.779,0.379,2.83585384242468e-64
"ABCC3",5.58612827347836e-68,0.773904357449969,0.648,0.236,1.11387397773158e-63
"WNK7",3.97065173461793e-67,0.584841269582274,0.583,0.131,7.91747955882816e-63
"AT1G02360",1.10425795619954e-66,0.991806890902417,0.709,0.197,2.20189036466188e-62
"DGD1",2.10471760482592e-66,0.426505687318663,0.477,0.171,4.19680690402288e-62
"ARR6",1.12116762191285e-65,1.30053421088987,0.578,0.212,2.23560823809421e-61
"AtMYB50",5.02365834606648e-65,1.02830965911458,0.558,0.186,1.00171747420566e-60
"AT3G60520",9.93914210010422e-65,0.939315717521673,0.784,0.237,1.98186493476078e-60
"CAT2",1.22757981065023e-64,0.631335635751315,0.688,0.302,2.44779414243656e-60
"AT3G15358",5.75140511112748e-64,0.44894717225312,0.412,0.064,1.14683017915882e-59
"WRKY61",5.7998022667872e-64,0.467435426361368,0.392,0.04,1.15648057199737e-59
"AT4G37700",1.74765235114084e-63,0.879741692759907,0.538,0.069,3.48481878817483e-59
"SPP1",5.55060845383908e-63,0.847031588366154,0.834,0.359,1.10679132569551e-58
"VSR7",1.42071701987737e-62,0.515680205805268,0.477,0.075,2.83290973763548e-58
"AT5G62150",1.47692484065306e-62,0.584629875437104,0.462,0.05,2.9449881322622e-58
"AT2G35730",2.0627803876284e-62,0.788962751725077,0.784,0.216,4.11318409293103e-58
"AT1G79160",8.22308903305861e-62,0.943195090594227,0.789,0.264,1.63968395319189e-57
"RALF1",2.67734344144965e-61,0.36667676582062,0.859,0.315,5.3386228222506e-57
"AT3G27110",4.17975103886195e-61,0.674720548165096,0.714,0.362,8.33442357149073e-57
"UNE11",5.88223436113275e-61,1.00387627356359,0.759,0.239,1.17291753160987e-56
"PUB23",9.73979309950563e-61,1.02484513787202,0.648,0.26,1.94211474404142e-56
"NLP8",1.59217649217757e-60,0.658937700455721,0.739,0.393,3.17479992540208e-56
"CLPB1",4.26879548372058e-60,0.957303404582538,0.648,0.29,8.51197819453883e-56
"ERF112",6.66066655959162e-60,0.759244995253653,0.809,0.286,1.32813691198257e-55
"AT5G08240",4.3749962389207e-59,0.837758282064452,0.869,0.359,8.72374250040788e-55
"AT1G19025",4.57168761090381e-59,0.304940661750977,0.136,0.061,9.11594509614219e-55
"AT4G21215",7.20691070853316e-59,0.682134077200128,0.709,0.331,1.43705799528151e-54
"IAA10",7.36939054528287e-59,0.697243459154431,0.719,0.372,1.4694564747294e-54
"AT1G19200",9.25650747205781e-59,0.810896031103942,0.704,0.303,1.84574758992833e-54
"GSTF6",9.52015517142423e-59,1.06535133503149,0.497,0.076,1.89831894118199e-54
"AT4G26220",9.67840535895705e-59,0.77100470207664,0.467,0.056,1.92987402857604e-54
"AT1G15385",1.59137582615059e-58,1.18935996207109,0.643,0.171,3.17320339734427e-54
"AT3G49210",2.07928017734888e-58,0.645039756562807,0.698,0.23,4.14608467363366e-54
"AT1G61360",7.45174441088794e-58,0.591180716053524,0.533,0.121,1.48587783553106e-53
"EXL4.1",7.70842574416458e-58,1.1186654758523,0.769,0.277,1.53706009338642e-53
"MPK5",5.61502450014036e-57,0.454694521076224,0.417,0.046,1.11963588532799e-52
"AT1G56140",5.99207130487294e-57,0.574233144396608,0.653,0.248,1.19481901819167e-52
"CERK1",9.34003932627441e-57,0.610397426024084,0.683,0.371,1.86240384165912e-52
"AT1G76970",4.50818301089208e-56,0.631745118177777,0.683,0.365,8.98931692371881e-52
"SBT3.5",4.80798597706897e-56,0.479061226165017,0.437,0.116,9.58712403827552e-52
"AT3G60680",7.55812236996108e-56,0.578895071613051,0.623,0.232,1.50708960057024e-51
"AT4G34920",3.45440070639417e-55,0.779673188070592,0.769,0.243,6.88807500854998e-51
