"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"AT3G59370",0,2.833256693212,0.928,0.163,0
"AT2G46890",0,2.1178401903525,0.781,0.171,0
"MGL",0,1.88399765725234,0.973,0.257,0
"SUC2",0,1.85374265341717,0.928,0.133,0
"AT1G25530",0,1.83366620285677,0.909,0.052,0
"AT2G40480",0,1.73635452709881,0.909,0.109,0
"AT3G48185",0,1.65000299730866,0.863,0.064,0
"CYP90A1",0,1.61342272662084,0.941,0.186,0
"AT5G21105",0,1.41132464207685,0.903,0.256,0
"AT4G14650",0,1.30971270845705,0.768,0.038,0
"AT1G69080",0,1.25619485101195,0.825,0.051,0
"AT5G02440",0,1.17554525616146,0.81,0.113,0
"NPY1",4.94065645841247e-324,1.42371502212386,0.924,0.18,9.85166897807446e-320
"BHLH112",7.79447844192067e-319,1.56557177004315,0.692,0.061,1.55421900131898e-314
"LAX3",1.1331260401127e-314,2.23653196551032,0.844,0.124,2.25945332398472e-310
"JOSL",1.92670571215382e-314,1.73096408169334,0.557,0.122,3.84185119003472e-310
"AT2G13820",3.32109698176665e-306,2.01671402520817,0.981,0.266,6.6222673816427e-302
"TRN2",3.99255695689833e-303,1.42154395675321,0.996,0.387,7.96115857205527e-299
"PATL6",1.8704368966137e-293,1.28733755770967,0.892,0.133,3.72965117184772e-289
"AT5G03610",2.47548927086465e-292,1.44488020782852,0.973,0.288,4.93612560610411e-288
"AT2G26380",7.05587652442881e-285,1.33187084223125,0.947,0.306,1.4069417789711e-280
"MYB20",2.42836999240354e-277,1.72857586320643,0.897,0.188,4.84216976485266e-273
"AT1G13670",2.10419888764556e-273,1.58661154308838,0.838,0.125,4.19577258196524e-269
"NPF1.2",8.12561676068143e-273,1.33397220121312,0.62,0.076,1.62024798207988e-268
"DOF3.7",6.98247219318626e-272,1.2545419453517,0.96,0.265,1.39230495532134e-267
"PATL5",5.90838599077748e-270,0.921915755116434,0.675,0.095,1.17813216656103e-265
"ENT3",6.55918781622298e-265,1.63816061803281,0.949,0.334,1.30790205055486e-260
"SUC1",9.97665021796484e-260,1.46398044823411,0.954,0.242,1.98934405346219e-255
"AT3G16330",4.27873770399227e-256,1.50093992887917,0.926,0.227,8.53180298176059e-252
"AT1G72230",1.21930047417425e-254,1.64851010027609,0.878,0.164,2.43128514550346e-250
"XTH15",5.8404634316203e-254,1.56386544937185,0.956,0.248,1.16458840826509e-249
"APK1A",2.35609534852162e-251,1.14367940523371,0.835,0.203,4.69805412495212e-247
"GGT1",5.36911103391159e-250,1.23861323853576,0.679,0.181,1.07060074016197e-245
"DTA4",2.14858980252279e-248,1.00832754153793,0.662,0.046,4.28428806623045e-244
"OFP2",3.62354299939918e-247,1.30111821137823,0.943,0.242,7.22534474080196e-243
"TRX1",1.20112623450632e-245,0.824387435216018,0.717,0.086,2.3950457116056e-241
"HOL1",1.61475989421985e-239,1.12253047225281,0.85,0.19,3.21983122907438e-235
"IQD14",1.01319202822876e-237,1.0433194887917,0.935,0.349,2.02030490428814e-233
"ATL8",8.17250847672229e-237,1.47063501785729,0.905,0.239,1.62959819025843e-232
"FLA8",3.99203797377131e-236,1.48721053676556,0.93,0.26,7.96012371969999e-232
"XTH20",2.78120540741328e-233,2.02751671190135,0.496,0.027,5.54572358238208e-229
"AT4G11211",4.20178044077811e-232,1.42991567569259,0.918,0.283,8.37835019891156e-228
"AT5G57770",2.8525255375597e-230,1.10740308178001,0.561,0.049,5.68793592189403e-226
"HIPP20",5.07701124174011e-230,1.32080288836501,0.698,0.069,1.01235604160298e-225
"AT2G04800",2.12598602355263e-227,1.27627766677506,0.878,0.29,4.23921613096394e-223
"SCL15",7.61091710472167e-226,1.25061403019604,0.869,0.204,1.5176168706815e-221
"AT3G55420",7.36026847261151e-222,1.17665621934358,0.819,0.208,1.46763753343874e-217
"KRP5",1.69647656817846e-221,0.925699220761255,0.835,0.216,3.38277427694786e-217
"AT2G28660",8.96311685752755e-220,1.19763337571735,0.791,0.214,1.78724550139099e-215
"CDF4",3.49590651123729e-217,1.51330664301179,0.926,0.279,6.97083758340716e-213
"ATK4",4.97700183260045e-217,0.912042863093248,0.639,0.093,9.92414165420529e-213
"IQD12",7.22844234422667e-217,1.33630974770783,0.584,0.059,1.4413514034388e-212
"FIM2",8.25823869058358e-217,0.948672141377195,0.62,0.13,1.64669279490237e-212
"APT3",6.10021320838357e-212,1.14842043868147,0.914,0.246,1.21638251375168e-207
"AT1G64700",1.47748058388694e-211,1.2083683678555,0.84,0.165,2.94609628427057e-207
"UGE3",4.09683229990876e-211,1.57752786689101,0.884,0.262,8.16908360601806e-207
"AT1G14890",4.42265932147918e-211,1.76244758130367,0.89,0.373,8.81878268702949e-207
"PG1",1.77656399796956e-205,0.798743540119352,0.542,0.061,3.54246861195131e-201
"SCPL35",3.09173354391793e-204,0.783944892984191,0.654,0.092,6.16491668657235e-200
"DIR14",9.26938702626242e-203,1.43486723068424,0.918,0.274,1.84831577303673e-198
"BRL2",1.46962816535302e-202,0.793330909408492,0.551,0.044,2.93043856171393e-198
"GDU3",2.09223658583935e-202,1.4371378153445,0.724,0.125,4.17191975216366e-198
"WAKL18",2.55323341438487e-202,0.8840059882495,0.835,0.21,5.09114742828344e-198
"MAKR5",1.84565375824247e-201,1.00985306393179,0.728,0.186,3.68023359393549e-197
"WRKY63",7.1458197735711e-199,1.57852546839866,0.669,0.121,1.42487646285008e-194
"MYB43",1.60225641137685e-195,1.1913434410926,0.745,0.18,3.19489928428544e-191
"GLN1-2",2.52471509882606e-195,1.51559180076861,0.85,0.349,5.03428190705917e-191
"AT2G46150",6.44639751550448e-195,1.23287340392007,0.759,0.344,1.28541166459159e-190
"AT2G25790",2.57122131449285e-194,0.814485956802684,0.65,0.087,5.12701530109874e-190
"ORTH5",2.03126576005948e-192,1.42124047262727,0.842,0.328,4.0503439255586e-188
"AT1G77020",4.535852812838e-192,1.11537998838654,0.861,0.231,9.04449050879896e-188
"TUBA1",5.1759305814323e-192,0.99094075051572,0.829,0.226,1.0320805579376e-187
"DOF3.6",6.25258371900107e-190,0.969895475713972,0.787,0.151,1.24676519356881e-185
"WAT1",4.23135557713502e-189,1.19228108560775,0.681,0.108,8.43732302080722e-185
"DOF4.6",5.94553211007776e-189,1.01091414921059,0.911,0.34,1.1855391027495e-184
"BGAL3",8.41051221753027e-189,0.981212383774145,0.88,0.321,1.67705613617554e-184
"LECRK52",1.02697423498381e-183,1.32942313864698,0.641,0.115,2.04778662455773e-179
"AT4G32000",4.47893382341948e-182,0.872399071675439,0.753,0.188,8.93099404389845e-178
"AT1G70800",2.57590267924533e-181,0.803311864982367,0.483,0.092,5.13634994241519e-177
"HIPP26",1.69693328770533e-180,1.05791328047462,0.774,0.171,3.38368497568442e-176
"RAX3",3.53992688992825e-180,1.46757125592942,0.736,0.187,7.05861421851694e-176
"AT5G19875",5.83123753804366e-178,1.1378649621491,0.939,0.388,1.16274876508591e-173
"AT1G52540",1.04258206813449e-176,0.837793282980922,0.852,0.4,2.07890864386017e-172
"AT2G26390",4.21287297280771e-176,0.607491538402228,0.565,0.087,8.40046870777858e-172
"PUB28",2.7704657297567e-173,0.935561531306384,0.753,0.188,5.52430866513487e-169
"AT3G48970",3.22529132254705e-173,1.01988447041271,0.435,0.023,6.43123089715882e-169
"ABCG22",8.07266619660992e-173,0.772150073832172,0.641,0.103,1.60968963960402e-168
"IAA12",1.62089564062269e-168,0.856353583814964,0.519,0.082,3.23206590740165e-164
"IQD13",2.31947403025483e-164,0.76060969976727,0.854,0.237,4.62503121632812e-160
"AT3G52920",4.21201398658884e-163,1.22583033733123,0.844,0.34,8.39875588925815e-159
"MEE59",9.97648265155397e-163,0.802267392708915,0.827,0.231,1.98931064071986e-158
"anac096",3.74170097855831e-162,1.12841431197773,0.677,0.116,7.46095175124527e-158
"MYOB7",3.74181700020215e-162,0.622707417733965,0.762,0.339,7.46118309840308e-158
"TCP15",1.15074008292203e-161,0.73298894599467,0.508,0.046,2.29457572534653e-157
"AT4G37250",1.20865229549292e-160,0.856329703163556,0.808,0.293,2.41005267721289e-156
"AT2G28570",3.18522062880044e-158,1.0769348685535,0.819,0.257,6.35132993382809e-154
"AT3G28600",3.48124393849992e-158,1.50649205450894,0.715,0.168,6.94160041336884e-154
"BHLH106",2.71101563921739e-156,0.963790775762456,0.707,0.146,5.40576518459948e-152
"IAA18",6.30283551411815e-155,0.863920176047223,0.762,0.264,1.25678540151516e-150
"RVE1",8.48031473933091e-155,0.757896072242841,0.793,0.36,1.69097475902258e-150
"AT1G31440",4.07970869832274e-154,0.746631085779593,0.842,0.394,8.13493914445554e-150
"AT4G28930",6.02893845283539e-154,0.674881670700499,0.405,0.036,1.20217032749538e-149
"AT1G80690",4.43671758881882e-152,1.10437885284348,0.77,0.223,8.84681487210472e-148
"NEK7",9.22487794420371e-152,0.571798598311511,0.557,0.165,1.83944066207422e-147
"TPS5",1.59508173370775e-151,0.501817693998425,0.414,0.079,3.18059297701325e-147
"AtbZIP7",8.19958145680433e-151,1.27810851206503,0.686,0.15,1.63499654248678e-146
"AT5G59010",6.07908282621499e-150,0.915314701646535,0.527,0.15,1.21216911554727e-145
"ACO2",6.9263941130262e-149,1.01081411095209,0.876,0.31,1.38112298613742e-144
"AT2G31345",1.05688046590498e-146,1.48105611251183,0.646,0.161,2.10741964901452e-142
"BT1.1",1.69730757566808e-146,1.16939646770923,0.804,0.319,3.38443130588215e-142
"AT5G40630",9.57223541750632e-146,1.15272106420189,0.835,0.376,1.90870374225076e-141
"AT1G08050",1.11444273937894e-145,0.805780305993109,0.696,0.274,2.22219882232161e-141
"IPS1.1",1.56154580027566e-145,1.11831557390998,0.665,0.232,3.11372232574967e-141
"PRR1",7.5098028596742e-145,1.19746656174468,0.846,0.342,1.49745469021904e-140
"AT1G33470",4.45551447278713e-144,0.929854163746591,0.804,0.272,8.88429585873754e-140
"NAC001",4.45331045005646e-142,0.853757296624471,0.783,0.359,8.87990103741259e-138
"AT4G18260",8.26688424376277e-142,0.587810778453346,0.563,0.127,1.6484167182063e-137
"AT5G67090",1.28637528217556e-141,0.39165713514183,0.361,0.017,2.56503231265806e-137
"AT3G06130",5.13244177319286e-141,0.652317733619161,0.627,0.218,1.02340888957466e-136
"AT2G01818",6.32925087830711e-141,0.79610861111164,0.914,0.388,1.26205262513444e-136
"ERF035",8.85209390309099e-141,0.933790914380544,0.677,0.141,1.76510752427634e-136
"ATEXO70H8",3.47327837833855e-139,1.21328945714234,0.633,0.158,6.92571708640707e-135
"AT5G14210",3.6997012774723e-139,0.673844067867189,0.62,0.122,7.37720434727977e-135
"ABCB19",1.19619329713974e-138,0.805829335847513,0.66,0.281,2.38520943449664e-134
"CYP71B15",8.21132245141876e-137,1.27901075283083,0.504,0.063,1.6373376968129e-132
"ATHB-8",1.04715541472661e-136,0.536339656984321,0.481,0.056,2.08802789696487e-132
"AT3G54290",2.87087165423594e-136,0.778716122901392,0.665,0.264,5.72451807854647e-132
"AT3G15530",1.94116701915851e-135,0.729303823238557,0.694,0.271,3.87068703620207e-131
"SDE5",7.58748047363725e-135,0.442764370004108,0.441,0.102,1.51294360644327e-130
"AT2G36410",1.84927313846699e-133,0.865654234933515,0.802,0.382,3.68745063810317e-129
"DOF1.1",1.38501228855255e-132,0.632736850157856,0.53,0.086,2.76171450337378e-128
"AT5G24600",1.50429020561355e-132,0.684366990690842,0.612,0.171,2.99955466999341e-128
"ANAC080",1.48839069972268e-129,0.622693783848133,0.521,0.079,2.96785105524703e-125
"AHB1",2.812895938393e-129,0.92359271143695,0.751,0.228,5.60891450115564e-125
"PAT06",8.15961173746353e-129,0.699671689846954,0.77,0.288,1.62702658045023e-124
"UGT86A2",9.85089526534954e-129,0.60935204204686,0.641,0.296,1.9642685159107e-124
"CLE2",8.67056691514036e-128,0.959241551842277,0.73,0.194,1.72891104287899e-123
"DOF5.3",3.01464775798545e-127,0.928374064263217,0.681,0.161,6.01120762942299e-123
"AT5G52050",3.13337062589178e-127,1.21712014167816,0.804,0.386,6.2479410280282e-123
"AT4G32860",4.01147698927666e-126,0.421708159564523,0.359,0.023,7.99888511661767e-122
"AT3G06750",3.06549709926724e-125,0.88920773981916,0.688,0.275,6.11260121593887e-121
"BETA-OHASE 1",1.04528447710591e-123,0.943836362136232,0.736,0.342,2.08429724734918e-119
"AT1G14480",1.0624458028728e-122,0.462107819760049,0.327,0.02,2.11851693092836e-118
"CXE15",1.9048825551e-122,0.788213394477133,0.544,0.1,3.7983358148694e-118
"AtbZIP6",6.71849931269204e-122,0.945991893189995,0.791,0.317,1.33966876295079e-117
"iqd9",1.35729374942905e-121,0.810150576724211,0.819,0.369,2.70644373636152e-117
"AT2G28310",2.02214123341041e-121,0.74912138443549,0.776,0.368,4.03214961942036e-117
"AT1G61260",9.17681142079855e-121,0.817402317013724,0.593,0.139,1.82985619730723e-116
"AGD3",3.98483383700624e-120,0.520114715654545,0.572,0.169,7.94575867099045e-116
"AT3G09070",1.25573058370495e-119,0.55225361565089,0.576,0.124,2.50392678390768e-115
"PHO1-H7",5.72115525648286e-119,0.62049368723077,0.534,0.106,1.14079835814268e-114
"AT3G46110",1.05351451994474e-118,0.776490017591068,0.557,0.103,2.10070795276982e-114
"CYCD3-3",2.14496416336751e-118,0.588136122817901,0.502,0.133,4.27705854175481e-114
"AT4G15450",5.9475164817006e-118,0.393349722567237,0.331,0.023,1.1859347864511e-113
"TCP14",1.00757001081629e-117,0.554469873656263,0.485,0.093,2.00909460156768e-113
"AT5G46730",1.33761137251078e-117,0.734236279466314,0.637,0.151,2.6671970767865e-113
"AT2G15760",5.6468678501317e-116,0.751961847131141,0.468,0.067,1.12598544931626e-111
"AT1G30080",3.08274849259696e-115,0.597221509877752,0.572,0.117,6.14700049423833e-111
"RTNLB12",2.41861595436775e-114,0.504939812765542,0.445,0.095,4.82272021300929e-110
"AT2G47500",2.82328868301904e-114,0.716098102834232,0.665,0.194,5.62963763393997e-110
"HAT9",1.04979539848201e-113,0.624515665982164,0.403,0.077,2.09329202457313e-109
"AT1G48210",1.85230847753484e-112,0.556078761738848,0.65,0.247,3.69350310420447e-108
"AT4G27450",3.73505444003307e-112,0.871547548919564,0.791,0.305,7.44769855342594e-108
"AT4G14380",1.78887774801329e-111,0.710822200967631,0.618,0.198,3.5670222295385e-107
"IAA4",4.16354129924248e-111,1.14842599438033,0.57,0.183,8.30210135068951e-107
"AT3G59680",4.40749283419917e-111,0.74250474093882,0.589,0.138,8.78854071139314e-107
"AT1G25320",1.78596033544642e-110,0.621560347515546,0.373,0.059,3.56120490888017e-106
"AT1G23850",1.82855876737732e-110,0.696256773390089,0.616,0.261,3.64614618215038e-106
"CHI-B",2.16575565076394e-110,1.01203046818219,0.483,0.133,4.31851676762329e-106
"IP5P2",2.81813275444351e-110,0.611820156502169,0.616,0.167,5.61935671236035e-106
"BAM1.1",3.84018605810388e-110,0.484712258678726,0.532,0.153,7.65733099985913e-106
"PLP7",6.26924633420799e-110,0.708751402881366,0.671,0.279,1.25008771904107e-105
"WAKL17",6.99870368659019e-110,0.633355376722301,0.715,0.247,1.39554151510608e-105
"AT5G44350",3.13532859140049e-109,0.69728462072411,0.591,0.132,6.25184521125257e-105
"MYOB3",6.4423114242709e-108,0.596454372522918,0.43,0.075,1.28459689799962e-103
"AT2G44300",8.79448875792729e-108,0.983633165199225,0.561,0.126,1.7536210583307e-103
"AT5G10410",1.40121059942617e-106,0.907871823693656,0.692,0.282,2.79401393525579e-102
"AT2G32280",8.698567912459e-106,0.622912560944262,0.605,0.176,1.73449444174432e-101
"AT1G13380",2.32074684609736e-105,0.721872094455727,0.77,0.34,4.62756921111813e-101
"BZIP9",6.20127476058789e-105,0.4735495868537,0.538,0.129,1.23653418726122e-100
"PAL4",1.11779290788617e-104,1.01227406349491,0.561,0.178,2.22887905832503e-100
"CBP60F",1.28096450561608e-104,0.477235627182342,0.411,0.086,2.55424322419846e-100
"AT1G78110",2.23909596928403e-104,0.737606159882303,0.521,0.11,4.46475736275235e-100
"MSSP2",3.8814132954166e-104,0.59179574293628,0.593,0.154,7.73953811106071e-100
"NPF4.3",9.55197787984924e-104,0.758657233214125,0.264,0.022,1.90466438924194e-99
"AATL1",2.9741329297864e-103,0.538642491452979,0.449,0.072,5.93042106199408e-99
"NEK4",9.56084994240172e-103,0.404660527836438,0.411,0.052,1.9064334785149e-98
"AT2G05830",2.00935580179761e-102,0.659189110328923,0.789,0.301,4.00665546878443e-98
"UGT87A1",2.98633270857672e-102,0.441987996238389,0.38,0.054,5.95474742090198e-98
"PMAT2",2.38984742705666e-100,1.00772924398938,0.563,0.144,4.76535576955099e-96
"ABCG29",8.59836471208411e-100,0.579213843488293,0.654,0.187,1.71451392358957e-95
"AT2G29660",1.28606974291157e-99,0.59541308461987,0.496,0.116,2.56442306736567e-95
"NPF1.1",5.32379651648594e-99,0.754468506754795,0.631,0.348,1.0615650253873e-94
"CPK30",5.52607903251622e-99,0.38892420940458,0.42,0.119,1.10190015908373e-94
"XI-F",9.14429643931703e-99,0.294440377066923,0.291,0.027,1.82337270999982e-94
"CRRSP12",1.13418671231022e-97,0.619000872638564,0.532,0.115,2.26156830434659e-93
"AT5G62770",4.28781920372265e-97,0.72446274642715,0.825,0.382,8.54991149222296e-93
"NPC3",2.22828563370087e-96,0.63656720136632,0.705,0.289,4.44320155359954e-92
"AT3G20898",2.31538815971525e-96,0.686143316293151,0.536,0.127,4.61688399047221e-92
"ARD1",2.46874692067447e-96,1.0840171474233,0.546,0.127,4.92268135982489e-92
"AT1G43650",6.63918606433818e-96,0.518758356168009,0.515,0.112,1.32385370122903e-91
"AT4G31115",8.39039763686396e-96,0.514049681312547,0.635,0.252,1.67304528879067e-91
"AT5G60580",1.20131880022808e-95,0.532735733401735,0.614,0.169,2.39542968765479e-91
"AtbZIP5",3.06719919764917e-95,0.873645448129885,0.783,0.347,6.11599520011245e-91
"MEE55",4.328830049917e-95,0.486320526229473,0.403,0.068,8.63168711953449e-91
"AT2G36420",1.25995261705805e-94,0.519882103418093,0.538,0.15,2.51234551841376e-90
"CYCD1-1",2.24211188045764e-94,0.462733940394102,0.342,0.054,4.47077108963252e-90
"WNK9",2.66214933694787e-94,0.558656115796165,0.578,0.151,5.30832577787406e-90
"BHLH68",2.74063342620129e-94,0.518261032270956,0.781,0.308,5.46482305184537e-90
"REV",6.05313954766035e-94,0.463751115225393,0.466,0.124,1.20699602580347e-89
"OPT4",8.22445364405066e-94,0.638381504188092,0.58,0.178,1.6399560566237e-89
"AT5G62360",1.12858226129813e-93,1.37841486872805,0.485,0.11,2.25039302902847e-89
"AT5G55530",3.53156450519078e-93,0.611500766997371,0.772,0.322,7.04193962335042e-89
"MYB88",7.04325659306742e-93,0.454055341530508,0.462,0.089,1.40442536465764e-88
"AT5G26730",9.71478727959975e-93,0.564010347687578,0.407,0.071,1.93712858355219e-88
"ERF106",1.00867730897861e-92,0.828581795060244,0.654,0.23,2.01130255410335e-88
"PER12",1.18960235254347e-92,0.663579945195754,0.376,0.046,2.37206709097168e-88
"AT4G34600",1.61269060371996e-92,0.792381734605084,0.586,0.154,3.21570506381759e-88
"Y-3",1.97323767585322e-91,0.455725402582701,0.47,0.126,3.93463592565132e-87
"IAA3",1.28065589233663e-90,0.959431213531688,0.327,0.064,2.55362784931925e-86
