"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"PER39",0,2.86348937843749,1,0.271,0
"GASA7",0,2.19792470683216,1,0.237,0
"PEP6",0,2.04708809787084,0.984,0.133,0
"BXL4",0,2.0062594719104,0.978,0.175,0
"MYB36",0,1.90691742502078,0.989,0.145,0
"AT1G17300",0,1.87246327679456,0.989,0.194,0
"CYSD2",0,1.83835361168833,1,0.303,0
"AGP26",0,1.72760686607472,0.959,0.109,0
"CXE5",0,1.60292626013718,0.986,0.337,0
"OCT3",0,1.54250202542565,0.851,0.04,0
"DOF1.4",0,1.43400481270227,0.911,0.125,0
"THA2",0,1.40768357749058,0.897,0.088,0
"AT2G48030",0,1.13721308565658,0.916,0.164,0
"AT4G22110",1.34949507791391e-311,1.62708481099689,0.981,0.166,2.69089318536034e-307
"AT4G17280",1.68335390019734e-308,1.24025594925252,0.878,0.137,3.3566076769935e-304
"RKL1",5.78560968048512e-303,1.13965366140445,0.921,0.175,1.15365057028873e-298
"PERK14",1.32466267103709e-293,1.08193798949269,0.87,0.137,2.64137736604797e-289
"SCPL46",2.31327837670494e-293,0.98848649337492,0.77,0.051,4.61267708314966e-289
"PER32",7.47880574484033e-286,1.5617243808709,1,0.186,1.49127386552116e-281
"IDD6",2.31272707795904e-285,1.16194443148006,0.913,0.12,4.61157779345033e-281
"AT3G25290",3.59921028971303e-277,1.49957779496412,0.981,0.333,7.17682531768777e-273
"AT4G16447",2.11380983202313e-276,1.29115876725632,0.913,0.097,4.21493680505413e-272
"PDCB1",8.52884789049311e-276,1.29342098317825,0.938,0.18,1.70065226936433e-271
"AGP25",1.49073035669259e-274,1.42406213359957,0.957,0.279,2.97251633124502e-270
"UGT74D1",1.16017364370317e-269,1.09607669284958,0.9,0.224,2.31338624554412e-265
"AT1G72940",6.1598112590387e-269,1.57793229593174,0.932,0.22,1.22826636505232e-264
"EXPA11",4.73329871721515e-268,1.51867266317842,0.965,0.315,9.43819764212702e-264
"AT5G45210",1.62342481558871e-258,0.713573831492579,0.645,0.02,3.23710908228389e-254
"UCC1",1.93733928889299e-254,1.11624751080679,0.986,0.194,3.86305454205262e-250
"AT5G24580",4.46255252435675e-254,1.44569550885869,0.976,0.306,8.89832973356735e-250
"AGAL2",4.27883841384302e-251,1.06435010336017,0.913,0.123,8.53200379720299e-247
"AT3G27390",1.55222969023347e-250,1.08445571614705,0.938,0.369,3.09514600232554e-246
"AT3G54400",8.22271172716373e-250,1.7268418109558,0.87,0.177,1.63960871839645e-245
"CYP82F1",3.39325559234766e-249,1.35847286511629,0.973,0.296,6.76615165114123e-245
"AT5G49800",1.75604119561856e-248,1.18694295958813,0.981,0.382,3.50154614406342e-244
"AT3G24450",1.64923730240934e-241,1.16403529656163,0.772,0.114,3.28857918100423e-237
"AT4G18530",2.76241052862469e-234,0.898195256666825,0.84,0.175,5.50824659407762e-230
"AT5G38790",2.05123768240425e-230,0.964740746889221,0.724,0.06,4.09016793871408e-226
"DIR13",2.23263618697016e-230,1.95789282314569,0.973,0.263,4.4518765568185e-226
"AT1G65900",2.77488785333275e-225,0.875592725859079,0.694,0.057,5.5331263795455e-221
"PAT19",2.86097040858776e-225,0.933314713073679,0.924,0.316,5.704774994724e-221
"AT4G17670",2.35845571897901e-224,1.21213083541109,0.905,0.307,4.70276070364415e-220
"AT4G03610",4.0451715707385e-224,0.910590640420387,0.902,0.241,8.06607211205256e-220
"XTH16",5.45224113604904e-222,1.71909762408208,0.734,0.067,1.08717688252818e-217
"AT4G34500",1.56813962038923e-219,0.951457210349307,0.911,0.199,3.12687040305612e-215
"SBP2",1.85757609810823e-217,1.04286551751409,0.737,0.082,3.70400673962781e-213
"SCPL1",2.65794555632154e-214,1.50569083750258,0.97,0.301,5.29994343930516e-210
"PME3",1.03739314695362e-207,1.24585928125799,0.951,0.316,2.06856193502551e-203
"MSRB5",3.63979382052948e-207,1.1865159388941,0.973,0.262,7.25774887813578e-203
"ATMYB68",1.43159447662202e-206,1.39249836250391,0.786,0.113,2.85459938638431e-202
"AT2G02780",4.22978084942719e-205,1.05222625062031,0.894,0.217,8.43418301375781e-201
"PLC9",1.51006666819184e-201,0.848526191053877,0.827,0.154,3.01107293637452e-197
"AT2G16750",2.72371826036936e-197,0.785464082730362,0.653,0.056,5.43109421117651e-193
"AT5G58300",3.40274712671961e-195,0.760976928484034,0.702,0.089,6.7850777706789e-191
"SCR",8.10486486541002e-194,0.636742105999852,0.615,0.045,1.61611005416276e-189
