"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"AT5G04080",0,4.563624964121,1,0.072,0
"AT5G66440",0,2.46481528229521,0.916,0.218,0
"ATL53",0,0.345505938050529,0.169,0.002,0
"HIPP21",0,0.290515929981966,0.201,0,0
"AT2G32275",0,0.287260807075191,0.253,0.004,0
"AT3G19550",0,0.285513898450532,0.117,0.001,0
"CML26",0,0.270907458593589,0.136,0,0
"APL",2.28178684996546e-316,2.63047416302168,0.994,0.016,4.54988297883113e-312
"PLC5",1.11160092670754e-311,1.43490194320283,0.825,0.107,2.21653224785483e-307
"HVA22E",6.87299625767934e-309,3.06974328208436,0.974,0.193,1.37047545378126e-304
"AT4G33660",2.5428904927661e-300,2.5838034191397,0.929,0.146,5.0705236425756e-296
"AT1G54575",1.15167248888557e-296,3.24430783781574,0.786,0.068,2.29643494283783e-292
"NAKR1",1.55347522323426e-285,2.65438512202615,0.89,0.044,3.09762959512911e-281
"AMC3",3.80568035354733e-283,1.83529628026944,0.89,0.258,7.58852662497338e-279
"AT3G15650",3.16397839300871e-275,3.07516362113331,0.844,0.033,6.30897291565936e-271
"AT2G36650",6.25793070959591e-275,2.61256444070895,0.974,0.18,1.24783138349342e-270
"AHA3",1.10213134993471e-259,2.07165171110566,0.942,0.016,2.19764991176981e-255
"CDS2",2.21432858273779e-234,1.09213654119726,0.747,0.19,4.41537119397916e-230
"AT5G27690",1.31264985703655e-228,1.79039078549543,0.792,0.004,2.61742381493088e-224
"ATARFB1A",2.80644232521601e-227,1.98706557306774,0.831,0.009,5.59604599648072e-223
"AT5G42146",3.7873789933996e-224,1.85952626104245,0.818,0.007,7.55203371283879e-220
"AT3G12730",4.11416232898017e-222,1.44490444653823,0.799,0.005,8.20363968398647e-218
"HSP21.7",1.80255636285677e-220,2.12879389243589,0.948,0.029,3.59429738753639e-216
"MT3",6.29916704744475e-218,2.07785907646563,0.792,0.021,1.25605390926048e-213
"AT5G53850",1.56958420574181e-211,1.16465398295417,0.831,0.298,3.12975090624917e-207
"DOF1.1",8.35110725892641e-209,2.19574935699235,0.987,0.096,1.66521078742993e-204
"TPS1",1.96898992995099e-205,1.08850255544527,0.779,0.035,3.92616592032227e-201
"TOPP7",3.24402641812036e-204,2.77023764711645,0.909,0.242,6.46858867773201e-200
"AT4G27450",6.34250140629683e-204,2.20580681639179,0.981,0.322,1.26469478041559e-199
"UBC17",7.57842646923555e-203,1.75354179268017,0.792,0.013,1.51113823796557e-198
"NAT1",1.7199748148356e-193,0.994352633148997,0.76,0.048,3.42962978078219e-189
"AT2G36330",2.90191543420343e-192,0.909446067727152,0.656,0.17,5.78641937580163e-188
"AtGH9B8",2.63953384960922e-185,1.62381018568959,0.929,0.126,5.26323049612079e-181
"AT3G06435",2.77620337024842e-185,1.12112130054153,0.812,0.166,5.53574952027535e-181
"AT5G06850",1.80488020376295e-183,1.30798399176602,0.753,0.018,3.59893112630332e-179
"AT2G18196",5.39978868743203e-183,2.0073531831989,0.773,0.157,1.07671786427395e-178
"AT3G04300",1.18093653884492e-180,2.07601130516288,0.701,0.02,2.35478745845677e-176
"DAR2",1.86842596007715e-180,1.05904342599034,0.773,0.02,3.72564136439384e-176
"PME32",4.94003420212582e-177,1.87498745653688,0.935,0.067,9.85042819903888e-173
"AT1G23530",1.20207365195684e-165,1.32432726318493,0.649,0.005,2.39693486200195e-161
"INT4",2.62925368619135e-165,0.932707434345958,0.63,0.023,5.24273185026554e-161
"TET6",4.00510713038116e-165,1.455481916307,0.903,0.191,7.98618361798003e-161
"SSL1",1.36849703390437e-162,1.2456167152112,0.805,0.031,2.72878308560531e-158
"AT3G21600",5.09384144869053e-162,1.00591580925349,0.591,0.021,1.01571198486889e-157
"AT1G64700",6.31064152184082e-160,2.19420447136115,0.987,0.191,1.25834191945506e-155
"AT1G10380",1.49278821006837e-159,1.94222308576019,0.851,0.066,2.97661969087634e-155
"SUC2",1.64369826634301e-158,2.28520447199382,0.948,0.167,3.27753434308797e-154
"ERF035",4.61668294594667e-154,1.90009134468148,0.942,0.159,9.20566579421765e-150
"AT4G39700",7.62870633855701e-154,2.80680657702716,0.896,0.125,1.52116404390827e-149
"UBC29",1.11127330095322e-153,2.281496817537,0.818,0.065,2.21587896210072e-149
"ATSBT4.12",1.08525282096074e-151,2.5340917991123,0.896,0.102,2.16399412499571e-147
"AT4G21310",6.95752953974222e-151,1.2448837832533,0.656,0.006,1.3873313902246e-146
"AT2G46630",1.56963533189877e-149,1.25706085158832,0.61,0.005,3.12985285180616e-145
"FLP2",7.94932032712052e-149,2.5451168024858,0.851,0.165,1.58509447322783e-144
"AT4G27435",2.7136312758688e-148,1.16250035153463,0.805,0.039,5.41098076408239e-144
"ACO2",6.6866860777634e-146,2.62867554583423,0.955,0.333,1.33332520390602e-141
"AT2G03500",1.33259739821566e-141,0.903857828536146,0.578,0.003,2.65719921204202e-137
"AAP4",2.92272711487833e-140,1.78955603160182,0.506,0.012,5.82791786706738e-136
"AT5G40980",3.03708692387084e-139,1.27990148915315,0.799,0.073,6.05595132619846e-135
"TET2",1.90147612825258e-138,0.915368060655316,0.714,0.1,3.79154339973564e-134
"AT1G78520",1.14396215079768e-136,1.21379141179905,0.805,0.038,2.28106052869058e-132
"GAD3",3.89865827204455e-136,1.03713638743201,0.591,0.007,7.77392459445683e-132
"AT3G14780",2.07023470801959e-135,1.69630754054139,0.851,0.068,4.12804800779107e-131
"BZIP9",4.1681804092978e-131,2.14274996420202,0.922,0.139,8.3113517361398e-127
"AT5G18970",1.49687458907734e-129,1.61404825274294,0.461,0.025,2.98476793062021e-125
"DOF2.2",8.1794722400504e-129,1.45743840592809,0.831,0.078,1.63098676466605e-124
"PP2A1.1",2.77544448755847e-128,1.62200057426763,0.532,0.006,5.5342363081916e-124
"PXG4",8.36181664509119e-126,1.75245901447641,0.981,0.348,1.66734623903118e-121
"AT1G43650",1.41025029916737e-123,1.53858377103106,0.831,0.123,2.81203909653973e-119
"AT5G47920",2.74824040823517e-123,2.01055311269997,0.74,0.035,5.47999137402093e-119
"SYT4",1.13603419790177e-122,1.1014470712549,0.714,0.071,2.26525219061612e-118
"ACI1",2.83175087027526e-121,1.35383554140843,0.682,0.059,5.64651123532887e-117
"AT2G48090",3.75176581690188e-120,1.34167332863852,0.429,0.005,7.48102103890234e-116
"AT4G28330",8.27501752852265e-120,1.0304063979909,0.74,0.129,1.65003849518742e-115
"DOF3.2",7.89448202202774e-117,1.49689545909861,0.584,0.019,1.57415971519233e-112
"AT5G23170",1.52587380207068e-114,0.721832390131576,0.571,0.027,3.04259236132894e-110
"AT1G49560",7.28071413150367e-114,0.803199911223285,0.5,0.117,1.45177439782183e-109
"AT1G68430",1.34305442108252e-113,0.834495690174751,0.584,0.043,2.67805051563854e-109
"AT1G33080",1.05288857279418e-112,0.730556660505366,0.5,0.006,2.0994598141516e-108
"DOF3.6",1.40156959356508e-112,1.44160458981684,0.961,0.175,2.79472976956876e-108
"AT3G59370",5.18805468090225e-110,1.92487876558342,0.955,0.196,1.03449810337191e-105
"NPF2.9",1.30880502188144e-109,1.24319218656903,0.831,0.157,2.60975721363158e-105
"AT3G44220",1.33265010503694e-109,1.28686288169343,0.708,0.045,2.65730430944367e-105
"AT5G40960",2.96367411013818e-107,0.873885807215825,0.688,0.054,5.90956617561553e-103
"NRAMP3",9.05380674264296e-107,0.842015865439432,0.695,0.159,1.80532906448301e-102
"MSSP2",1.03400502475892e-104,0.9815140151853,0.87,0.167,2.0618060193693e-100
"AT5G22090",4.35922864788642e-104,0.943351337537155,0.474,0.036,8.69230192388551e-100
"GCL1",1.11634498778212e-103,1.23043794947662,0.89,0.284,2.22599190563754e-99
"AT5G49320",9.13570041576132e-102,1.28483656410432,0.545,0.013,1.82165866290281e-97
"ATHB-40",2.10307353860935e-101,1.37658770355661,0.662,0.048,4.19352863598703e-97
"AT3G01950",4.05480562660119e-101,1.30747532858545,0.779,0.162,8.08528241944277e-97
"AT4G18440",3.6902262828942e-99,0.918247678761716,0.636,0.106,7.35831120809103e-95
"AT1G09460",8.61021925962889e-99,1.06998723480744,0.747,0.09,1.71687772037e-94
"AT1G80690",4.38506293020225e-98,1.37493079907743,0.942,0.243,8.74381548282328e-94
"LPR2",1.08280949410962e-96,0.778844080159932,0.649,0.086,2.15912213125458e-92
"AT2G38640",4.10541014569991e-95,1.32102818958974,0.565,0.041,8.18618783052561e-91
"AT4G00670",5.51603043159756e-95,0.54609775372921,0.338,0.025,1.09989646806055e-90
"HIPP26",1.75157824823752e-94,1.261379078374,0.922,0.194,3.49264702698562e-90
"SRO2",2.92635629621886e-94,0.834421163494668,0.649,0.057,5.83515445466041e-90
"AIR9",9.80169139191492e-93,0.861186050722207,0.831,0.24,1.95445726354784e-88
"CLE41",1.73076670875677e-92,0.996650555308257,0.597,0.055,3.451148817261e-88
"AT4G19450",1.91512487325339e-92,0.714557551605041,0.643,0.127,3.81875899726727e-88
"CRRSP15",3.17955801810443e-92,0.623438698200595,0.448,0.017,6.34003868810023e-88
"DOF3.7",1.82883047052075e-91,1.2401235979959,0.955,0.295,3.64668795821838e-87
"AT1G71870",3.28738145822571e-91,0.625153573025322,0.448,0.009,6.55503862770207e-87
"AT5G02970",1.33469683728912e-90,0.829490831763475,0.662,0.147,2.6613854935545e-86
"AT2G44130",1.80672892546749e-89,1.51921592927869,0.909,0.336,3.60261747738217e-85
"BAM3.1",2.27856625823412e-89,0.727339892908914,0.513,0.039,4.54346111891883e-85
"AT5G63710",1.34644569713597e-88,0.563212859599957,0.448,0.011,2.68481272008913e-84
"NTL",5.62956505019807e-88,0.642404899915189,0.344,0.001,1.1225352710095e-83
"ABCG14",1.47534893195761e-86,0.855460479585978,0.584,0.084,2.94184577032347e-82
"CSLC5",5.63222218400194e-86,0.841702602821391,0.747,0.192,1.12306510348999e-81
"CDS1",5.06232927261573e-85,0.757205906136151,0.753,0.338,1.00942845695958e-80
"IQD13",5.43252804983635e-85,1.03862646238947,0.968,0.261,1.08324609313737e-80
"CLV1",8.2078250902772e-85,0.462428889385393,0.357,0.01,1.63664032300127e-80
"AT4G33130",8.69337246035791e-84,0.827429796261605,0.721,0.226,1.73345846859537e-79
"CLE6",1.06473858263078e-83,1.39887890263705,0.727,0.11,2.12308873376578e-79
