"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"XTH17",6.64413329310665e-103,3.74700765745483,1,0.248,1.32484017864547e-98
"AT4G33740",5.31441380586515e-96,1.70236367920157,0.929,0.244,1.05969411288951e-91
"PER24",5.56680773383143e-80,3.05549668026362,0.929,0.182,1.11002146212599e-75
"BAHD1",5.76175782291063e-77,1.6617916049277,0.881,0.169,1.14889450988838e-72
"AT1G19900",3.13259691306328e-71,2.12178391501949,0.857,0.059,6.24639824464817e-67
"AT3G18200",2.95761249281242e-68,1.71565200608218,0.952,0.163,5.89747931066796e-64
"MLP34",4.24269402397885e-66,2.85301903767024,1,0.369,8.45993188381383e-62
"AT1G06120",4.37098990532725e-65,2.36803301324686,0.976,0.123,8.71575387122255e-61
"AT4G25830",1.75719351266546e-62,2.1975562339641,0.952,0.21,3.50384386425493e-58
"AT5G67620",1.06709923942289e-61,2.06599892112555,0.905,0.307,2.12779588340924e-57
"AT1G67910",1.44587177254927e-49,1.02563204115802,0.476,0.047,2.88306831446325e-45
"XTH33",6.01312551673472e-49,1.46145850444257,0.548,0.025,1.1990172280369e-44
"PER27",2.06248376634655e-47,2.29332489518796,0.976,0.329,4.11259263009502e-43
"AT3G46280",1.74263749471149e-44,1.73610821467868,0.786,0.174,3.47481916445471e-40
"TIP4-1",5.41568383444359e-44,1.78965325512011,1,0.384,1.07988735658805e-39
"PME2",3.06556200398367e-43,1.72611841743151,0.952,0.33,6.11273063594344e-39
"AT5G01210",2.68238568480411e-42,1.2265369385314,0.5,0.187,5.34867705549939e-38
"AT2G39530",1.71724610996889e-39,2.52198228504824,0.81,0.188,3.42418874327797e-35
"AT5G10770",2.1899180698867e-37,1.7279326678588,0.762,0.087,4.36669663135408e-33
"AT3G19400.1",1.01774242307815e-36,1.07416627728936,0.762,0.247,2.02937839161784e-32
"FAR3",3.75345343730384e-36,1.64265428592351,0.619,0.038,7.48438615398385e-32
"AT1G23110",5.01889557588463e-36,0.681824797970648,0.357,0.02,1.0007677778314e-31
"AT5G47950",1.30371851582963e-35,1.47972140525597,0.833,0.217,2.59961472056428e-31
"EXPA8",3.0412639908169e-35,1.23792891217666,0.452,0.086,6.06428039768889e-31
"RALFL27",2.05298807580552e-34,1.46193355365813,0.881,0.188,4.09365822315621e-30
"AT3G19320",1.84522362931643e-33,0.830831764067636,0.524,0.027,3.67937591685697e-29
"CYP708A2",9.64946259605713e-33,1.63186117960272,0.952,0.383,1.92410284165379e-28
"AT2G16005",1.06912939476842e-32,3.30308818177148,0.667,0.148,2.13184401316823e-28
"S-ACP-DES4",2.8497503988809e-32,1.20825372312007,0.714,0.148,5.68240229536851e-28
"AT4G26810",3.2381415563378e-32,0.815392751512773,0.524,0.157,6.45685426333757e-28
"CSLB5",5.79936338060004e-32,1.39545502038249,0.595,0.047,1.15639305809165e-27
"NSP1",3.0411103028996e-30,2.09990749528191,0.857,0.321,6.0639739439818e-26
"MPC3",4.96124105814125e-30,1.21534615362345,0.857,0.358,9.89271466993365e-26
"AGP41",1.84574702735143e-29,0.992394865005974,0.738,0.23,3.68041957253875e-25
"KCS5",2.49865776167211e-29,1.21923206221942,0.643,0.111,4.9823235767742e-25
"AT2G31540",3.06984551840655e-28,0.545256399075867,0.357,0.065,6.12127196370265e-24
"AT5G44900",7.35165626894957e-28,0.425719194966362,0.31,0.039,1.46592026002855e-23
"SSL9",3.88966631984627e-27,1.29643986861447,0.905,0.31,7.75599464177346e-23
"AT3G19370",7.21728537937322e-27,1.01917217215472,0.595,0.139,1.43912670464702e-22
"AT5G02890",9.88473931512113e-27,0.826813776566349,0.405,0.037,1.97101701943515e-22
"AT4G27740",2.24787520472179e-26,0.7319021387401,0.5,0.14,4.48226315821524e-22
"AT1G75620",5.66278496394545e-26,0.458550450763243,0.262,0.021,1.12915932181072e-21
"AT1G66800",6.65172099914911e-26,1.3957357927041,0.952,0.29,1.32635316723033e-21
"AT3G15115",1.9829974498263e-24,0.906314255820346,0.643,0.241,3.95409691495364e-20
"CXE2",2.83672145288693e-24,1.3153828013521,0.786,0.248,5.65642257705655e-20
"MYB61",4.99438828143341e-24,0.762582285332158,0.429,0.147,9.95881023317823e-20
"AT1G23720",7.2618258799885e-24,1.58455831655148,0.929,0.314,1.44800808046971e-19
"SCPL1",8.82634523071715e-24,1.76462867286783,0.881,0.331,1.759973239005e-19
"DL3625W",1.06435305043926e-23,1.62848086542725,0.905,0.272,2.12231998257588e-19
"AT2G39410",1.48448239863927e-23,0.855993850216064,0.524,0.162,2.9600579028867e-19
"CRCK2",4.2053548740464e-23,1.00631705779485,0.833,0.233,8.38547761884851e-19
"AT3G23510",5.92841023113833e-23,1.02448227738023,0.738,0.206,1.18212500008898e-18
"PCAP2",1.0869197870754e-22,0.548222708962539,0.952,0.315,2.16731805542835e-18
"AT4G29270",3.66558922956278e-22,1.19595858359658,0.857,0.344,7.30918492374818e-18
"APRL6",1.83376536414189e-21,0.675052181520933,0.405,0.191,3.65652813609893e-17
"FLA16",3.00032941388321e-21,0.888555393171664,0.857,0.396,5.98265685128312e-17
"AT1G61050",4.34882145439326e-21,0.348542107964244,0.31,0.008,8.67154998006015e-17
"TPS05",5.14969124133721e-21,0.422759299361562,0.333,0.012,1.02684843352264e-16
"TAR3",1.83122757874931e-20,0.461118630768693,0.357,0.071,3.65146779202612e-16
"AT5G38030",2.21113816525421e-20,0.859761198694326,0.405,0.048,4.40900950151689e-16
"CYP71A16",1.59623810737591e-19,1.24353822557837,0.833,0.4,3.18289878610756e-15
"FAD4L1",1.85266713194592e-19,0.482016594569042,0.238,0.048,3.69421826110017e-15
"AT2G33510",2.85688548100636e-19,0.771701947786757,0.643,0.308,5.69662964912669e-15
"CYP734A1",4.79679987162737e-19,0.633992429238139,0.405,0.119,9.56481894402497e-15
"PBP2",1.45427696257402e-18,1.2569749402327,0.833,0.266,2.8998282633726e-14
"AT5G01700",4.76967748204884e-18,0.526688138947159,0.476,0.166,9.5107368992054e-14
"AT5G20550",5.86948932848659e-18,0.829958583551554,0.738,0.318,1.17037617210023e-13
"AT4G01890",6.35352447828747e-18,0.540572038429384,0.286,0.03,1.26689278097052e-13
"AT3G09960",8.34472964380136e-18,0.330716066706724,0.238,0.053,1.66393909097399e-13
"AT4G23870",1.07792300195481e-17,1.49603179271601,0.714,0.27,2.14937846589789e-13
"SQD2",1.43701812379999e-17,1.00229775994892,0.81,0.367,2.86541413885717e-13
"AT2G26370",1.69485727586038e-17,1.04611540371774,0.833,0.332,3.37954540806559e-13
"YUC3",2.17370017357729e-17,1.06232044725849,0.524,0.046,4.33435814611311e-13
"UGT76E5",2.53912609504118e-17,0.623283324245568,0.429,0.091,5.06301743351212e-13
"UGT84A2",1.16775193990225e-16,0.51922299922594,0.214,0.026,2.32849736816508e-12
"AT4G25250",1.43271661316968e-16,0.979818310965589,0.5,0.143,2.85683692666034e-12
"AT5G22310",3.10978798729261e-16,0.601992959801047,0.5,0.12,6.20091724666146e-12
"PME20",3.63316956191424e-16,0.910769150604119,0.619,0.156,7.24454010645698e-12
"AT1G51850",5.95483996719513e-16,0.756577683717121,0.595,0.127,1.18739508945871e-11
"AT3G51150",8.18184969716212e-16,0.339797706323898,0.19,0.057,1.63146082961413e-11
"AT1G51800",9.21792376044863e-16,0.670000402254832,0.452,0.075,1.83805399783346e-11
"ACS5",1.5595614157138e-15,0.710739668346757,0.381,0.032,3.10976546293332e-11
"SKIP16",2.16378663893591e-15,0.512283493564579,0.548,0.322,4.3145905580382e-11
"AT1G28070",4.09000489652031e-15,0.575510518846405,0.405,0.225,8.1554697636615e-11
"LPPD",4.3585172203994e-15,0.577299184741549,0.69,0.4,8.6908833374764e-11
"AT3G05860",5.35622081332803e-15,0.425892341116108,0.238,0.059,1.06803043017761e-10
