"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"RACK1B",0,2.26336964453166,0.996,0.272,0
"RPL11B",0,1.92912072130685,0.95,0.216,0
"TIM9",0,1.66811201279449,0.986,0.326,0
"RPL19B",0,1.38937131387672,0.975,0.343,0
"AT5G19750",0,1.22640167692932,0.95,0.189,0
"NRPB5L1",0,0.394813371420312,0.291,0.013,0
"AT2G33840",4.49599737715534e-322,1.21953225827085,0.939,0.267,8.96501877004776e-318
"AT4G36420",6.28929658242111e-317,1.35447381841381,0.953,0.273,1.25408573853477e-312
"CPN60",1.55113741481952e-303,1.44542572288589,0.939,0.202,3.09296800515011e-299
"RPL21F.1",8.55175452986683e-303,1.67130302643431,0.975,0.395,1.70521985325545e-298
"AT1G20430",7.29818335361657e-297,1.25834817303961,0.978,0.344,1.45525776071114e-292
"RPS15AE",3.24440302747241e-295,1.1991889210141,0.957,0.299,6.46933963677999e-291
"RPS10.1",7.04472215924054e-295,1.09514692682757,0.903,0.236,1.40471759855256e-290
"RBG2",3.66149627116693e-294,2.21196175400368,0.971,0.282,7.30102356470687e-290
"TUFA",4.73991537859081e-293,1.48144133631243,0.986,0.343,9.45139126491008e-289
"RPL14A",2.37649083635837e-292,1.68415390248765,0.96,0.247,4.73872272769859e-288
"AT2G15000",4.05460183023558e-286,1.47728223043053,0.946,0.187,8.08487604948974e-282
"AT1G73940",6.29925518095402e-286,1.41555940142711,0.968,0.238,1.25607148308223e-281
"AT5G11630",1.04306181041186e-284,1.11334221491475,0.953,0.203,2.07986524996125e-280
"AT2G35790",4.29941682808212e-284,1.15454371791859,0.928,0.222,8.57303715519576e-280
"AT5G23535",1.19906507710262e-281,1.29337645269146,0.978,0.302,2.39093576374263e-277
"AT5G39600",3.96754778082173e-281,1.28115536016425,0.982,0.304,7.91129027495853e-277
"RPL35AA",8.62203641454489e-280,1.17166734917773,0.867,0.159,1.71923406106025e-275
"RPL12C.1",1.54542965671189e-277,2.17223936623571,0.982,0.253,3.08158673548351e-273
