"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"AT1G50060",0,3.57273578260989,0.62,0.054,0
"AT2G43610",0,3.36423206207478,0.994,0.4,0
"AT5G54370",0,3.28379642468783,0.875,0.171,0
"DFC",0,3.21336430098822,0.989,0.142,0
"AT3G04320",0,2.93129748347874,0.868,0.169,0
"GLL23",0,2.90633467395734,0.928,0.091,0
"AT4G08555",0,2.88825421692316,0.92,0.16,0
"AT3G04330",0,2.84776396924198,0.692,0.041,0
"JAL8",0,2.75592204346059,0.621,0.075,0
"JAL9",0,2.73016513778788,0.687,0.067,0
"AGP31",0,2.46937796168931,0.95,0.214,0
"JAL41",0,2.41705084600601,0.992,0.34,0
"AT5G60530",0,2.38915525563214,0.831,0.052,0
"AT4G23590",0,2.3497565810113,0.99,0.148,0
"PER61",0,2.18596593644545,0.926,0.049,0
"JAL33",0,2.16386253021264,0.963,0.282,0
"AT5G62340",0,2.13057357952911,0.881,0.11,0
"CYP87A2",0,2.05370531454053,0.958,0.302,0
"AT5G55110",0,1.98588112392169,0.852,0.042,0
"sks15",0,1.97786057242111,0.836,0.039,0
"MVP1",0,1.92942664657026,0.987,0.358,0
"AT2G41800",0,1.88251853456376,0.99,0.33,0
"AT3G59480",0,1.87354074156868,0.848,0.066,0
"AT2G31945",0,1.78937693411542,0.848,0.271,0
"XTH5",0,1.7854679161461,0.769,0.123,0
"PGM.1",0,1.64001529738674,0.965,0.265,0
"GLL22",0,1.60193477343714,0.95,0.321,0
"RGXT2",0,1.56252448923211,0.804,0.24,0
"ABCG1",0,1.55544744347721,0.815,0.116,0
"AT1G44760",0,1.5476351141637,0.865,0.228,0
"AIR3",0,1.54148544506482,0.941,0.238,0
"YUC8",0,1.51857445566149,0.815,0.139,0
"sks16",0,1.50090869949972,0.714,0.015,0
"AT5G12940",0,1.49563775128867,0.907,0.247,0
"SCPL25",0,1.4826200938154,0.65,0.059,0
"PCKA",0,1.41051962546218,0.92,0.368,0
"AT5G47050",0,1.36912447287046,0.878,0.293,0
"UGT73B4",0,1.36791463311874,0.904,0.354,0
"NPF5.12",0,1.35328661210405,0.864,0.243,0
"NAI1",0,1.33202082582471,0.9,0.346,0
"PRE2",0,1.31926721017586,0.708,0.031,0
"AT5G58784",0,1.29654288446431,0.551,0.011,0
"SRK2H",0,1.29653405586678,0.801,0.223,0
"LBD13",0,1.2914844137995,0.926,0.231,0
"AT5G51520",0,1.2851825628076,0.713,0.051,0
"AT1G16905",0,1.27508106290943,0.634,0.015,0
"S-ACP-DES3",0,1.22141463237389,0.738,0.152,0
"AT4G17720",0,1.1905391403821,0.896,0.362,0
"AT4G25310",0,1.18201545470485,0.681,0.027,0
"AT4G01240",0,1.1140087908303,0.766,0.072,0
"SSL2",0,1.09582558481416,0.709,0.096,0
"LBD15",0,1.07935661144266,0.684,0.038,0
"UXS6",0,1.07216326787966,0.892,0.178,0
"AT2G43600",0,1.03228197241112,0.61,0.022,0
"AT5G60520",4.94065645841247e-324,1.22458150063046,0.6,0.03,9.85166897807446e-320
"FUT6",3.34296012887106e-314,1.10174245224361,0.724,0.147,6.66586249696889e-310
"AT3G49190",8.50932402868508e-305,0.979421004078502,0.557,0.023,1.69675921131981e-300
"PBP2",1.2003456215195e-303,1.28853059612143,0.852,0.216,2.39348916930989e-299
"AT3G07320",4.35147998498165e-302,0.993248936507848,0.743,0.281,8.67685109005342e-298
"SMB",9.07967141458997e-300,0.857603880413739,0.567,0.024,1.81048648006924e-295
"AT3G42180",1.03000105441408e-295,0.970007197997899,0.587,0.031,2.05382210250167e-291
"PP2B11",3.84497984949791e-293,1.15124293498665,0.857,0.226,7.66688981989884e-289
"JAL20",1.58356730496624e-291,1.35495920872595,0.835,0.294,3.15763320610267e-287
"AT1G74490",7.78771901077384e-289,1.08293307825957,0.748,0.132,1.5528711707483e-284
"CYP705A2",9.35984366772899e-288,0.751803565149845,0.502,0.015,1.86635282734516e-283
"CYP705A30",5.56375949302041e-286,1.1548539549358,0.865,0.262,1.10941364290827e-281
"RGXT1",3.47370425765892e-285,0.941665932854686,0.612,0.072,6.92656628977188e-281
"BRN1",2.15045012253655e-283,0.893806841679815,0.526,0.021,4.28799754433789e-279
"UNE11",1.45578923070553e-282,1.2223217974829,0.82,0.201,2.90284372602682e-278
"AT5G20045",3.89514548495166e-280,1.36716780419384,0.515,0.026,7.76692009699362e-276
"AT3G61930",1.97776081334784e-279,1.40170034873877,0.586,0.041,3.94365506181559e-275
"TET3",3.41198321806793e-275,1.06036660073574,0.888,0.37,6.80349453682746e-271
"AT3G03500",3.8767150221698e-274,0.730718436587918,0.482,0.018,7.73016975420658e-270
"AT4G27400",3.55382756610077e-271,1.27256439723214,0.462,0.014,7.08633216680493e-267
"BRN2.1",6.72674075302168e-271,0.748445444760234,0.482,0.014,1.34131210615252e-266
"AT1G54120",1.45971909484854e-269,1.11875402588628,0.848,0.393,2.91067987512798e-265
"AT1G23160",1.1116344689423e-263,0.923919510503665,0.491,0.017,2.21659913107094e-259
"UGT75B1",3.70405173272493e-260,1.69654475973004,0.486,0.157,7.38587915505351e-256
"XGD1",3.79282312571371e-259,0.79167044122641,0.554,0.054,7.56288931267314e-255
"AT2G31940",2.00639736173918e-255,1.8545489499364,0.77,0.237,4.00075633930793e-251
"RABA5B",9.35210688411328e-251,0.960606436024393,0.701,0.118,1.86481011269219e-246
"AT1G33590",1.08253333397277e-249,1.27337325252561,0.868,0.293,2.15857146794171e-245
"AT3G12955",5.01392393456523e-247,1.14227928364747,0.745,0.146,9.99776432552306e-243
"ALDH3F1",9.92400548564416e-247,0.897431336287943,0.594,0.062,1.97884669383744e-242
"AT3G47380",1.21260167500167e-246,1.34104041694303,0.875,0.28,2.41792773995332e-242
"BGLU25",3.29032944016143e-246,0.958561538761437,0.839,0.352,6.5609169036819e-242
"NSP4",8.64992793925776e-245,1.19433310967046,0.88,0.31,1.724795631088e-240
"PIN2",3.96221984342949e-244,0.971938705256112,0.75,0.201,7.9006663677984e-240
"AT1G66800",4.05348680155728e-243,1.27183308277717,0.843,0.244,8.08265268230522e-239
"AT5G35735",2.51008141198447e-242,1.36919355150099,0.925,0.396,5.00510233549703e-238
"AT3G60520",5.55555195911477e-240,1.06993795031667,0.796,0.203,1.10777706064748e-235
"UGE2",6.35709058549503e-239,0.673255325018625,0.388,0.181,1.26760386274771e-234
"AT3G29430",9.79212832312269e-239,0.814491616447408,0.443,0.018,1.95255038763066e-234
"TPS22",1.04592438553159e-238,0.899122317421644,0.576,0.055,2.08557322475e-234
"GGPPS9",4.54479503168226e-237,1.03955137994607,0.642,0.083,9.06232129317442e-233
"SCPL48",6.44005596161634e-237,1.05912613415557,0.751,0.169,1.2841471587463e-232
"AT1G74010",6.48220007255116e-233,0.888124178987421,0.586,0.115,1.2925506944667e-228
"AT4G12840",3.10835563426212e-230,0.689571231710294,0.509,0.066,6.19806113471867e-226
"TIC32",1.42585320247028e-228,0.925227017762853,0.785,0.272,2.84315128572575e-224
"AT1G29290",2.10597106418435e-224,1.0373456891751,0.575,0.081,4.19930630198359e-220
"HMT3",5.98364507621685e-224,1.72558498040194,0.445,0.113,1.19313882819764e-219
"AT1G80240",4.2845832923654e-223,1.21632357825157,0.856,0.378,8.54345908497662e-219
"ABCB27",1.59778821623997e-220,0.827087954409983,0.701,0.327,3.18598970318251e-216
