"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"AT2G45180",0,3.13680746437523,0.988,0.241,0
"EXPA11",0,2.77842917275728,0.944,0.319,0
"CHS",0,2.37681789582195,0.962,0.353,0
"F3H",0,1.92664486924456,0.965,0.39,0
"AT5G65380",0,1.85771770314692,0.956,0.207,0
"AT5G11420",0,1.77999991818782,0.883,0.157,0
"AT3G05150",0,1.68053644221425,0.921,0.137,0
"AT5G25460",0,1.64732327739752,0.938,0.248,0
"PLT5",0,1.60547566367537,0.95,0.373,0
"C/VIF2",0,1.59819263854492,0.906,0.104,0
"AT4G32460",0,1.52701207910493,0.856,0.311,0
"AT1G12845",0,1.51880418457072,0.78,0.071,0
"BXL1",3.74024393320653e-317,1.44133202726949,0.918,0.231,7.45804640281382e-313
"BFRUCT4",3.84470392688011e-314,1.20673226977318,0.886,0.342,7.66633963019894e-310
"JP650",2.03282591738389e-313,1.29769169524663,0.713,0.081,4.05345487926347e-309
"AT5G18840",1.64891382458708e-312,1.32591248029928,0.739,0.043,3.28793416622663e-308
"CYP71A16",2.69954860120924e-307,1.60703007938961,0.988,0.374,5.38289991081123e-303
"PAE3",6.21240687222438e-290,1.21709042496727,0.9,0.39,1.23875393032154e-285
"AAP1",2.35821559271311e-274,1.58837290733146,0.956,0.19,4.70228189186994e-270
"AT5G42250",3.03181378203302e-271,1.45053667115469,0.906,0.136,6.04543668137385e-267
"AT1G55360",8.63032241966103e-259,1.51918902643768,0.889,0.209,1.72088629048041e-254
"AT2G48020",5.8312072382919e-254,0.992178032439209,0.716,0.122,1.1627427233154e-249
"AT3G07010",2.93951874212433e-250,1.39157957636563,0.915,0.371,5.86140037179591e-246
"AT3G26590",2.10698234674978e-246,1.01308867978864,0.806,0.164,4.20132279941906e-242
"AT1G76470",2.38159514943974e-238,1.31987376713313,0.695,0.074,4.74890072798284e-234
"AT2G38300",2.38168471351845e-238,0.876694364849084,0.613,0.02,4.74907931875578e-234
"AT4G30420",6.98192125340782e-237,0.997724814756495,0.616,0.035,1.39219509792952e-232
"FLS1",9.17934420051852e-237,1.6006635882797,0.815,0.201,1.83036123358339e-232
"CHI3",3.82676363845493e-230,1.40786947012369,0.739,0.185,7.63056669507913e-226
"JAL44",9.42354321095735e-228,1.00744291242578,0.71,0.051,1.87905451626489e-223
"AT4G24275",3.74536648852448e-227,1.54129947309228,0.806,0.244,7.46826077811781e-223
"CYP82F1",2.22197816423875e-220,1.4220783822734,0.93,0.301,4.43062445949206e-216
"AT2G02780",1.55233925158808e-215,1.12306491118908,0.912,0.219,3.09536446766662e-211
"AT1G09750",6.06130108698783e-215,0.675384318056311,0.519,0.009,1.20862343674537e-210
"AT2G39130",9.35607970913429e-215,1.02070895377565,0.853,0.377,1.86560229400138e-210
"OCT5",2.46405352911742e-214,1.02445813723374,0.848,0.254,4.91332273706013e-210
"AT2G03350",7.1179564667805e-210,1.057208442694,0.874,0.379,1.41932051947603e-205
"UGT79B11",4.13992224872881e-209,0.769439897612911,0.551,0.051,8.25500496396525e-205
"HHP3",2.39445761830222e-206,0.786959454992118,0.68,0.106,4.77454849089462e-202
"CYP708A2",1.86484411399088e-205,1.50766240417609,0.935,0.36,3.71849916329781e-201
"ALN",1.24562770809467e-203,0.839667674750299,0.874,0.344,2.48378164994077e-199
"CAX1",2.1458010554115e-200,1.10179135897971,0.83,0.216,4.27872730449054e-196
"AT1G05870",1.73555721877785e-196,1.04438820512849,0.815,0.354,3.46070109424304e-192
"TTL4",5.50095668325243e-196,0.770830073062234,0.595,0.12,1.09689076264053e-191
"AT1G21070",5.415793214382e-195,0.717244910279133,0.633,0.142,1.07990916694777e-190
"PLA2-ALPHA",5.26300338821952e-194,1.04153484462262,0.839,0.156,1.04944287561097e-189
"AT1G62510",1.43247462887225e-193,1.66798380959521,0.625,0.037,2.85635440997127e-189
"AT3G50640",1.69278633618163e-186,1.66112132408436,0.795,0.344,3.37541595434618e-182
"CSLA9",2.93922865276538e-182,1.10862896936312,0.754,0.158,5.86082193361417e-178
"AT1G17300",7.44103565503325e-180,1.19416031650299,0.915,0.201,1.48374250961363e-175
"CPRD49",4.71154814991476e-179,0.935506306365336,0.786,0.127,9.39482701093004e-175
"AT3G12700",2.07816203519899e-176,1.1104715108597,0.85,0.249,4.14385509818678e-172
"AT3G24750",2.88525744735622e-176,1.12970289737516,0.654,0.121,5.75320335002831e-172
"SQD2",4.22010647832548e-175,1.08848919081226,0.839,0.347,8.414892317781e-171
"RPT3.1",1.16291432181103e-170,1.03034845151363,0.783,0.233,2.3188511576912e-166
"ATS3",1.37830026469139e-169,0.697989274827907,0.411,0.008,2.74833072779463e-165
"CYP705A19",2.71744591166804e-169,0.695501892123041,0.56,0.073,5.41858714786607e-165
"PIP2-6",1.76932103353525e-167,1.36070169527788,0.718,0.112,3.52802614086929e-163
"CYP81F1",9.79876426317647e-167,0.664745645662917,0.563,0.109,1.95387359407739e-162
"CYP705A20",3.69601717299878e-165,0.568331348297564,0.499,0.02,7.36985824295956e-161
"BGAL5",7.99576013784571e-163,1.05859295685997,0.877,0.314,1.59435457148644e-158
"AT3G23530",1.25068044205516e-161,0.886467083562876,0.801,0.235,2.49385680145799e-157
"AT3G25290",3.82864453234773e-161,1.20713615658945,0.927,0.338,7.63431719750137e-157
"AT1G67750",2.89265399806613e-160,1.0071007129572,0.674,0.167,5.76795207214387e-156
"emb1273",2.42172890187501e-159,0.846184934797025,0.677,0.249,4.82892743033876e-155
"BGAL6",3.05531077692939e-157,0.926582811257545,0.821,0.239,6.0922896891972e-153
"ATBG-PPAP",1.47602121396116e-156,0.897230290795607,0.727,0.155,2.94318630063855e-152
"AT4G30060",3.93029308730919e-155,0.771968606983484,0.765,0.274,7.83700441609453e-151
"AT1G06640",4.22647280919003e-149,0.814551919126775,0.93,0.326,8.42758678152491e-145
"AHB2",5.47426114721733e-148,0.958473495758384,0.771,0.198,1.09156767275513e-143
"AT1G79720",1.78741357792527e-146,0.647515608677643,0.592,0.077,3.56410267438299e-142
"CIP1",3.90596733665251e-143,0.841585070237427,0.748,0.174,7.7884988692851e-139
"PMR6",5.91360883939624e-143,0.779258969808863,0.757,0.254,1.17917360257561e-138
